seq	AlphaPubDate	PathID	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	matchquality	isfiction	singlework	actualtitle	actualauthor	howpositive	genresnamed	comments
13	Sep 12, 1818	20160127230555_00007	1818	5099827	Ashford Rectory, or the Spoiled Child reformed.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jamieson, Frances Thurtle	1820.0	Ashford rectory; or, The spoiled child reformed. Containing a short introduction to the sciences of architecture and heraldry; with a particular account of the Grecian and Roman games, etc. etc	3.5696679738562094							
14	Sep 1819	20160127190208_00002	1819	8495667	29. Harold the Exile, pp. 919. 3 vols. (Concluded from p. 154.)	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833		1819.0	Harold the exile	2.20450674201864							
15	Jan 17, 1846	20160128005709_00008	1846	8394334	Sketches from Life; by the late Laman Blanchard.	Examiner	Blanchard, Laman	1846.0	Sketches from life	2.22863622194929							
16	Dec 2, 1826	20160127231005_00012	1826	5205144	Tales of a Voyager to the Arctic Ocean.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Gillies, R. P. (Robert Pearse)	1826.0	Tales of a voyager to the Arctic Ocean	3.5503679653679656							
17	Feb 7, 1863	20160127230453_00005	1863	4837207	VERNER'S PRIDE.	The Reader,  1863-1867	Wood, Ellen	1872.0	Verner's pride	2.541794871794872							
18	Oct 7, 1911	20160127192157_00006	1911	9057271	The Poems of Percy Bysshe Shelley.	The Athenaeum	Shelley, Percy Bysshe	1906.0	The prose works of Percy Bysshe Shelley ... ed. ... by Richard Herne Shepherd	2.196733333333333							
19	Sep 29, 1906	20160127192407_00009	1906	8903336	The Voyage of the Arrow.	The Athenaeum	Hains, T. Jenkins (Thornton Jenkins)	1906.0	The voyage of the Arrow : to the China Seas ; its adventures and perils, including its capture by Sea Vultures from the Countess of Warwick, as set down by William Gore, Chief Mate	2.48919600415924							
20	Sep 14, 1901	20160127190927_00008	1901	6810086	LOVE IDYLLS.	The Academy, 1869-1902, 0269-333X	Crockett, S. R. (Samuel Rutherford)	1901.0	Love idylls	2.2076968831786816							
21	Jan 1907	20160127183730_00010	1907	3165111	THE EIGHT GUESTS.	The Bookman	White, Percy	1907.0	The eight guests	2.52989417989418							
22	Jan 8, 1898	20160127192405_00018	1898	6770460	Pratt Portraits: Sketched in a New England Suburb.	The Academy, 1869-1902, 0269-333X	Fuller, Anna	1897.0	Pratt portraits, sketched in a New England suburb	3.3839109899022315							
23	Mar 7, 1828	20160127191848_00004	1828	8919149	The Kuzzilbash; a Tale of Khorasan.	The Atheneaum. London literary and critical journal, Jan. 2, 1828-July 23, 1828	Fraser, James Baillie	1828.0	The Kuzzilbash. A tale of Khorasan	2.6170746609564595							
24	Dec 9, 1826	20160128000429_00007	1826	5205297	Almack's; a Novel.	The Literary gazette : A weekly journal of literature, science, and the fine arts	White, Charles	1827.0	Almack's; a novel	2.256157472890146							
25	Apr 24, 1897	20160127190516_00005	1897	6654441	They that Sit in Darkness.	The Academy, 1869-1902, 0269-333X	Mackie, John	1897.0	They that sit in darkness. A story of the Australian Never-Never	3.1144588214722853							
26	Dec 1897	20160127183832_00011	1897	3178982	HIGHWAYS AND BYWAYS IN DEVON AND CORNWALL.	The Bookman	Johnson, Clifton	1904.0	Highways and byways of the South	2.2884571428571427							
27	Jun 17, 1865	20160127191439_00002	1865	9453297	Dunvarlick; or, Round about the Bush.	The Athenaeum	Macrae, David	1865.0	Dunvarlich; or, Round about the bush	2.6976569105691057							
28	Nov 12, 1892	20160127193122_00012	1892	8952636	PASSING THE LOVE OF WOMEN.	The Athenaeum	Needell, J. H, Mrs	1892.0	Passing the love of women	2.91855625352908							
29	Mar 12, 1870	20160127192053_00005	1870	9194214	George Canterbury's Will.	The Athenaeum	Wood, Ellen	1870.0	George Canterbury's will	3.1770332249909714							
30	Dec 6, 1913	20160127191848_00004	1913	8968934	My Recollections and Reflections.	The Athenaeum	Makino, Yoshio	1913.0	My recollections and reflections	2.949073852166121							
31	Jan 1899	20160127184845_00001	1899	3158382	THE BATTLE OF THE STRONG.	The Bookman	Parker, Gilbert, Sir	1898.0	The battle of the strong;	2.273817853672081							
32	Feb 20, 1858	20160128001855_00004	1858	8450468	German Love, from the Papers of an Alien.	Examiner	Müller, F. Max (Friedrich Max)	1877.0	German love; from the papers of an alien	2.642116350351956							
33	Feb 9, 1889	20160128003123_00004	1889	5844317	EIGHTEENTH CENTURY LITERATURE.	The Scots observer, 1888-1890		1888.0	Eighteenth century essays	2.2352103896103896							
34	Dec 18, 1869	20160128003224_00005	1869	8582856	The Ingoldsby Legends.	Examiner	Ingoldsby, Thomas	1848.0	The Ingoldsby legends	2.325396825396825							
35	Dec 1, 1849	20160127230149_00002	1849	4971272	The Puritan and his Daughter.	Critic of books, society, pictures, music and decorative art, 1848-1849	Paulding, James Kirke	1849.0	The Puritan & his daughter	2.588940682414698							
36	Apr 25, 1914	20160127191542_00003	1914	6877229	Outline Lecture on Herod's Temple of the New Testament.	The Academy, 1914											
37	Nov 4, 1899	20160127190208_00002	1899	6667732	THE SPLENDID PORSENNA.	The Academy, 1869-1902, 0269-333X	Fraser, Hugh, Mrs	1900.0	The splendid Porsenna;	2.201417398177809							
38	Oct 3, 1874	20160127183323_00005	1874	6671184	The Barber's Chair.	The Academy, 1869-1902, 0269-333X	Jerrold, Douglas William	1874.0	The barber's chair, and the hedgehog letters	2.206091065955858							
39	Feb 5, 1870	20160127191337_00011	1870	8676121	Starlight, &c.	The Athenaeum											
40	Jan 2, 1858	20160127192510_00019	1858	8771882	The Handwriting on the Wall: a Story.	The Athenaeum	Atherstone, Edwin	1858.0	The handwriting on the wall : a story	2.9788405797101447							
41	May 1804	20160127234351_00001	1804	4592855	Book review	The Critical review, or, Annals of literature											
42	Jul 18, 1846	20160127191335_00001	1846	9015794	Personal Recollections of a Ten Months' Residence in Berlin; also, Extracts from a Journal kept in Paris during the Crisis of 1839.	The Athenaeum	Charlotte Elizabeth	1845.0	Personal recollections. Osric, (a poem) The Rockite. The siege of Derry. Letters from Ireland. Miscellaneous poems	2.440366233766233							
43	Jul 23, 1859	20160127192200_00007	1859	9143557	Confessions of a Too Generous Young Lady; with a later continuation.	The Athenaeum		1859.0	Confessions of a too-generous young lady : with a later continuation	2.4538222222222217							
44	Sep 1836	20160127231415_00004	1836	6144746	Mr. Midshipman Easy.	The Metropolitan magazine,  1833-1840	Marryat, Frederick	1836.0	Mr. Midshipman Easy	2.985591397849462							
45	Jun 1808	20160127224227_00003	1808	4604142	MISCELLANIES.	The Critical review, or, Annals of literature	Goldsmith, Oliver	1806.0	Miscellanies	2.19							
46	Apr 1870	20160127190927_00008	1870	6641706	The Poetical Works of Percy Bysshe Shelley.	The Academy, 1869-1902, 0269-333X	Shelley, Percy Bysshe	1897.0	The prose works of Percy Bysshe Shelley : from the original editions	2.3284174311926606							
47	Aug 21, 1852	20160128002916_00002	1852	9432180	Journal of a Voyage in Baffin's Bay and Barrow's Straits in the Years 1850-51, performed by H. M.'s Ships Lady Franklin and Sophia, under the command of Mr William Penny in Search of the Missing Crews of H. M.'s Ships Erebus and Terror: with a Narrative of Sledge Excursions on the Ice of Wellington Channel; and Observations on the Natural History and Physical Features of the Countries and Frozen Seas visited.	Examiner	Fuller, Thomas	1851.0	Journal of a voyage to Liberia, and a visit to several of its settlements	2.153416091954023							
48	Jul 1806	20160127183425_00006	1806	8192403	126. A Letter to the Right Hon. William Windham, Secretary at War, on the Subject of exercising Volunteers on a Sabbath-day.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	pseud. Fabius	1821.0	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	2.4104545454545456							
49	Apr 7, 1803	20160127232631_00001	1803	5746585	7. A Short Account of Pelletier.	Literary journal, or, Universal review of literature, 1804-1806	Brayton, Patience Greene	1802.0	A short account of the life and religious labours of Patience Brayton, late of Swansey, in the state of Massachusetts	2.2888900432900434							
50	Dec 10, 1870	20160128003123_00004	1870	8507096	A Voyage Round the World.	Examiner	Verne, Jules	1874.0	A voyage round the world. In search of the castaways: a romantic narratives of the loss of Captain Grant of the Brig Britannia and of the adventures of his children and friends in his discovery and rescue	2.553074285221784							
51	Jun 14, 1862	20160127192053_00005	1862	9446250	Owen: a Waif.	The Athenaeum	Robinson, F. W. (Frederick William)	1862.0	Owen: a waif	2.4816666666666665							
52	Nov 16, 1861	20160127191335_00001	1861	8660460	Notice to Quit.	The Athenaeum	Wills, W. G	1861.0	Notice to quit	2.6366666666666667							
53	Mar 15, 1848	20160127230657_00008	1848	4994321	Rienzi, the last of the Roman Tribunes.	Critic of books, society, pictures, music and decorative art, 1848-1849	Lytton, Edward Bulwer Lytton, Baron	1842.0	Rienzi, the last of the tribunes	3.0405285714285712							
54	Jun 17, 1848	20160127191439_00002	1848	8993792	Harold, the Last of the Saxon Kings.	The Athenaeum	Lytton, Edward Bulwer Lytton, Baron	1848.0	Harold, the last of the Saxon kings;	3.0641666666666665							
55	Jul 1831	20160127192407_00009	1831	8252179	The Works of Lord Byron. Vols. V. and VI. 16mo. Murray.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Barón, Byron, George Gordon Byron	1828.0	The works of Lord Byron	2.53804396991897							
56	Aug 2, 1913	20160127183832_00011	1913	6870044	The Power Behind.	The Academy and literature, 1910-1914	Willcocks, M. P. (Mary Patricia)	1913.0	The power behind	2.404112554112554							
57	Aug 17, 1833	20160127231005_00012	1833	5219115	Memoirs of the Court of Charles I.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Hamilton, Anthony	1859.0	Memoirs of the court of Charles the Second	2.5034662236987817							
58	Jun 10, 1905	20160127192157_00006	1905	9429894	Rose of the World.	The Athenaeum	Castle, Agnes	1905.0	Rose of the world	2.4050396060800687							
59	Jul 18, 1857	20160127192407_00009	1857	8964993	Tallangetta, the Squatter's Home: a Story of Australian Life.	The Athenaeum	Howitt, William	1857.0	Tallangetta, the squatter's home	3.31							
60	Dec 1824	20160127191545_00013	1824	8191030	Book review	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833											
61	Dec 17, 1864	20160127192508_00001	1864	4368951	MARGARET DENZIL'S HISTORY.	The London review of politics, society, literature, art, and science	Greenwood, Frederick	1864.0	Margaret Denzil's history	3.1384722222222217							
62	Sep 1899	20160127183832_00011	1899	3160018	A DIPLOMATIST'S WIFE IN JAPAN.	The Bookman	Fraser, Hugh, Mrs	1910.0	A diplomatist's wife in many lands	2.423449255039439							
63	Dec 18, 1819	20160127230802_00010	1819	5071580	Tales of My Landlord. New Series; containing Pontefract Castle.	The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822		1820.0	Tales of my landlord	2.4707023550160807							
64	May 1816	20160127233039_00003	1816	6052304	England, and the English People.	The Literary panorama, 1806-1819	Lytton, Edward Bulwer Lytton, Baron	1833.0	England and the English	2.107398907434285							
65	Feb 1811	20160127231108_00013	1811	4683825	La Delixire delle Dame Filarmouiche, (No. IV.) a Divertimento for the Harp, with a Violin Accompaniment, (ad libi um.)	Monthly magazine, or, British regster, Feb. 1800-June 1836											
66	Apr 18, 1846	20160127235005_00006	1846	4973813	The Bushranger of Van Dieman's Land.	Critic, 1844-1847	Rowcroft, Charles	1855.0	The bush ranger of Van Diemen's Land	2.3811726495726493							
67	Jan 28, 1860	20160127230657_00008	1860	4998874	Old Leaves Gathered from "Household Words."	The Critic	Wills, W. Henry (William Henry)	1860.0	Old leaves : gathered from Household words	2.6468435469734897							
68	Dec 1915	20160127190618_00013	1915	3204793	PARABLES FROM NATURE.	The Bookman	Gatty, Alfred, Mrs	1893.0	Parables from nature	2.456786622179854							
69	Jun 14, 1823	20160127231108_00013	1823	5166145	Memoirs of the Life and Writings of William Hayley, Esq., the Friend and Biographer of Cowper, written by himself.	The Literary chronicle	Radcliffe, Ann Ward	1833.0	Memoir of the life and writings of Mrs. Radcliffe. Gaston de Blondeville	2.3372489262371614							
70	Oct 1910	20160127191234_00017	1910	3166978	THE LAME ENGLISHMAN.	The Bookman	Deeping, Warwick	1928.0	The lame Englishman	2.303333333333333							
71	Aug 3, 1912	20160127192508_00001	1912	8925959	Ross (Janet), THE FOURTH GENERATION: REMINISCENCES, 12/6 net.	The Athenaeum											
72	Oct 26, 1907	20160127191335_00001	1907	8920232	The Shuttle.	The Athenaeum	Burnett, Frances (Hodgson)	1907.0	The shuttle	2.1166666666666667							
73	Mar 1800	20160127230351_00004	1800	4568367	Travels through the United States of North America, the Country of the Iroquois, and Upper Canada, in the Years 1795, 1796, and 1797; with an authentic Account of Lower Canada.	The Critical review, or, Annals of literature	Taurinius, Zacharias	1801.0	Travels through the interior of Africa, from the Cape of Hope to Morocco; in Caffraria, the kingdoms of Mataman, Wangara, Haoussa, &c., &c. and thence through the desert of Sahara and the north of Barbary to Morocco; between the years 1781 and 1797	2.344346127946128							
74	May 22, 1831	20160128002611_00001	1831	8579988	The Rectory of Valehead, by the Rev. R. W. Evans.	Examiner	Evans, Robert Wilson	1832.0	The rectory of Valehead	2.9334027777777787							
75	Feb 1836	20160127230759_00009	1836	4693947	Sketches of Natural History.	Monthly magazine, or, British regster, Feb. 1800-June 1836		1843.0	Glimpses of natural history	2.1965359477124187							
76	Jun 4, 1825	20160127230149_00002	1825	5195669	Narrative of a Journey across the Cordillera of the Andes, and of a Residence in Lima, and other parts of Peru, in 1823 and 24.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Louis	1823.0	Narrative of a journey to Brussels and Coblentz, 1791	2.343542857142857							
77	May 5, 1803	20160128000019_00002	1803	5747611	3. Account of the Life and Writings of Thomas Reid, D.D.	Literary journal, or, Universal review of literature, 1804-1806	Sterne, Laurence	1804.0	Some account of the life and writings of Mr. Sterne. The life and opinions of Tristram Shandy, gentleman	2.572024963924964							
78	Jan 1905	20160127183628_00009	1905	3183525	THE REAPER.	The Bookman	Rickert, Edith	1904.0	The reaper	2.16							
79	Feb 16, 1839	20160127230759_00009	1839	5261105	Goethe's Correspondence with a Child.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Arnim, Bettina von	1841.0	Goethe's correspondence with a child	3.1458585858585857							
80	Jan 2, 1864	20160127235207_00008	1864	4852773	THE INTERRUPTED WEDDING.	The Reader,  1863-1867	Manning, Anne	1864.0	The interrupted wedding / a Hungarian tale	2.594607259570495							
81	Feb 1812	20160128000123_00003	1812	5695898	The Scottish Adventurerers; or the Way to Rise; an Historical Tale, by Hector Macneill, Esq.	scots magazine and Edinburgh literary miscellany, Jan. 1804-July 1817	Macneill, Hector	1812.0	The Scottish adventurers, or, The way to rise; an historical tale	2.882471428571429							
82	Jan 22, 1848	20160128004443_00001	1848	8414615	The Last of the Fairies.	Examiner	James, G. P. R. (George Payne Rainsford)	1838.0	The last of the fairies	2.7055952380952384							
83	Oct 16, 1852	20160128003224_00005	1852	9431742	The Writings of Thomas de Quincey.	Examiner	De Quincey, Thomas	1878.0	The works of Thomas De Quincey	2.1293925377736667							
84	Oct 22, 1870	20160127192611_00010	1870	8670993	Autobiography of an Indian Officer.	The Athenaeum		1854.0	Autobiography of an Indian Army surgeon ;	2.3314452214452213							
85	Oct 21, 1826	20160127231005_00012	1826	5150343	Synonyms of the Spanish Language Explained and Elucidated by copious Extracts from the most approved Spanish Pacts, intended as an Appendix to English Spanish Dictionaries.	The Literary chronicle											
86	Sep 20, 1840	20160128010225_00012	1840	8444697	Oliver Cromwell: an Historical Romance.	Examiner	Herbert, Henry William	1840.0	Oliver Cromwell : an historical romance	2.6269653911100717							
87	Mar 14, 1908	20160127183628_00009	1908	6689090	Beau Brocade: a Romance of the Road.	The Academy, 1905-1910	Orczy, Emmuska Orczy, Baroness	1907.0	Beau Brocade, a romance	2.30130658436214							
88	May 30, 1857	20160127192715_00011	1857	8629910	Barchester Towers.	The Athenaeum	Trollope, Anthony	1859.0	Barchester towers	2.89							
89	Aug 13, 1887	20160127193122_00012	1887	9136609	La Belle Nivernaise, and other Stories.	The Athenaeum	Daudet, Alphonse	1887.0	La Belle Nivernaise : the story of an old boat and her crew	2.527550679540004							
90	Jul 1809	20160127230657_00008	1809	4959991	Tales of Fashionable Life, by Miss Edgeworth, Author of Practical Education, Belinda, Castle Rackrent, Essay on Irish Bulls, &c.	Cabinet	Edgeworth, Maria	1809.0	Tales of fashionable life	3.2306601827291477							
91	Feb 18, 1826	20160127234351_00001	1826	5112250	The Last Man.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Shelley, Mary Wollstonecraft	1826.0	The last man	2.215234651484844							
92	Dec 1915	20160127185352_00004	1915	3208708	MYTHS AND LEGENDS OF ANCIENT EGYPT.	The Bookman	Judson, Katharine Berry	1912.0	Myths and legends of California and the Old Southwest	2.176977673692428							
93	Aug 13, 1887	20160127190414_00004	1887	8759364	Sports and Anecdotes of Bygone Days.	The Athenaeum	Reynardson, C. T. S. Birch (Charles Thomas Samuel Birch)	1887.0	Sports & anecdotes of bygone days in England, Scotland, Ireland, Italy and the Sunny South	2.930687530133684							
94	Mar 20, 1852	20160127234351_00001	1852	5034378	MEN AND WOMEN OF FRANCE.	Leader and Saturday analyst, Jan. 7-June 30, 1860	Houssaye, Arsène	1852.0	Men and women of France, during the last century	2.5208195724526368							
95	Oct 22, 1887	20160127190311_00003	1887	6698338	"Chronicles and Memorials of Great Britain and Ireland during the Middle Ages."	The Academy, 1869-1902, 0269-333X											
96	Sep 17, 1842	20160127192200_00007	1842	8974447	Missionary Labours and Scenes in Southern Africa.	The Athenaeum	Moffat, Robert	1846.0	Missionary labours and scenes in southern Africa	3.571245556467049							
97	Oct 26, 1861	20160127231211_00014	1861	5323749	EXETER HALL.	The Literary gazette : A weekly journal of literature, science, and the fine arts	McDonnell, William	1873.0	Exeter hall	2.2938596491228065							
98	Jan 3, 1903	20160127192611_00010	1903	8878246	Roger Drake, Captain of Industry.	The Athenaeum	Webster, Henry Kitchell	1902.0	Roger Drake, captain of industry : [a novel]	3.1972300113679424							
99	Nov 1, 1851	20160128005914_00004	1851	8420430	Historical Sketches and Personal Recollections of Manchester.	Examiner	Smith, Stephen Rensselaer	1843.0	Historical sketches and incidents, illustrative of the establishment and progress of Universalism in the State of New York	2.244787702265372							
100	Jun 1817	20160127191545_00013	1817	8164191	77. Hardenbrass and Haverill, or the Secret of the Castle; a Novel. In four Volumes, 12mo.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833		1817.0	Hardenbrass and Haverill;	2.1122666666666667							
101	May 21, 1898	20160127191233_00010	1898	8847434	The Dull Miss Archinard.	The Athenaeum	Sedgwick, Anne Douglas	1898.0	The dull Miss Archinard	3.3681180223285483							
102	Aug 24, 1889	20160127190003_00001	1889	8776008	Book review	The Athenaeum											
103	Feb 14, 1857	20160127190414_00004	1857	8759444	Isabel, the Young Wife and the Old Love.	The Athenaeum	Jeaffreson, John Cordy	1857.0	Isabel, the young wife and the old love	3.4470004608128204							
104	May 29, 1819	20160127230802_00010	1819	5138273	Emmeline: with some other Pieces. By Mary Brunton, Author of 'Self Control,' and ' Discipline.' To which is prefixed, A Memoir of her Life, including some Extracts from her Correspondence.	The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822	Brunton, Mary	1819.0	Emmeline. With some other pieces	3.040528571428572							
105	May 1825	20160127192157_00006	1825	8524843	80. The Journal of an Exile. 2 Vols. Crown 8vo. Saunders and Otley.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Boswell, Thomas Alexander	1825.0	The journal of an exile	2.270162037037037							
106	Sep 1807	20160127232936_00002	1807	6083743	SKETCH OF THE LIFE AND CHARACTER OF PASSWAN OGLU: OR PAZAN-OHLU.	The Literary panorama, 1806-1819	Necker de Saussure, Albertine Adrienne	1820.0	Sketch of the life, character, and writings of Baroness de Staël-Holstein	2.1913722832722833							
107	Jan 14, 1888	20160127190003_00001	1888	6744522	Early Adventures in Persia, Susiana, and Babylonia, including a Residence among the Bakhtiyari and other Wild Tribes before the discovery of Nineveh.	The Academy, 1869-1902, 0269-333X	Layard, Austen Henry, Sir	1887.0	Early adventures in Persia, Susiana, and Babylonia, including a residence among the Bakhtiyari and other wild tribes before the discovery of Nineveh	4.069045568815161							
108	Jun 1860	20160127192508_00001	1860	4455582	Right at Last; and other Tales.	Tait's Edinburgh magazine	Gaskell, Elizabeth Cleghorn	1860.0	Right at last, and other tales	2.7255342377658383							
109	Feb 25, 1860	20160127190927_00008	1860	8648082	Elfie in Sicily.	The Athenaeum		1860.0	Elfie in Sicily	2.8600000000000003							
110	Oct 26, 1872	20160127190516_00005	1872	8693422	The Eustace Diamonds.	The Athenaeum	Trollope, Anthony	1876.0	The Eustace diamonds	2.5443873517786555							
111	Jun 15, 1855	20160127230802_00010	1855	5003487	VOYAGES AND TRAVELS.	The Critic		1838.0	Voyages and travels	2.3317424242424236							
112	Aug 4, 1888	20160127191949_00014	1888	8763361	The Ingenious Gentleman Don Quixote of La Mancha.	The Athenaeum	Cervantes Saavedra, Miguel de	1881.0	The ingenious knight : Don Quixote de la Mancha	2.1249006666986867							
113	Jun 17, 1821	20160128002916_00002	1821	9029863	A Letter to the Right Hon. Robert Peel containing a Free Enquiry into the Justice of the Queen's Exclusion from the Liturgy.	Examiner	pseud. Fabius	1821.0	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	3.171335403726708							
114	Mar 11, 1911	20160127192159_00016	1911	6742194	Letters and Sketches from Northern Nigeria.	The Academy and literature, 1910-1914	Paton, Margaret (Whitecross)	1894.0	Letters and sketches from the New Hebrides	2.3956377259093755							
115	Apr 16, 1910	20160127191439_00002	1910	9049860	First Love.	The Athenaeum	Van Vorst, Marie	1910.0	First love	2.1188531928154566							
116	Aug 4, 1827	20160127231211_00014	1827	5195755	Narrative of Don Juan Van Halen's Imprisonment in the Dungeons of the Inquisition at Madrid; and his Escape in 1817 and 1818.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Halen, Juan Van	1827.0	Narrative of Don Juan van Halen's imprisonment in the dungeons of the Inquisition at Madrid, and his escape in 1817 and 1818 : to which are added, his journey to Russia, his campaign with the army of the Caucasus, and his return to Spain in 1821	4.0006167706167695							
117	Nov 22, 1873	20160127192407_00009	1873	9046291	Gabriel Denver.	The Athenaeum	Brown, Oliver Madox-	1873.0	Gabriel Denver	2.77							
118	Jan 1, 1887	20160127192053_00005	1887	8767856	The Tragedy of Featherstone.	The Athenaeum	Farjeon, B. L. (Benjamin Leopold)	1888.0	The tragedy of Featherstone	3.0641666666666665							
119	Jul 1837	20160127190927_00008	1837	6856252	SOME PASSAGES IN THE LIFE OF A DISAPPOINTED MAN.	Bentley's miscellany,  1837-1868	White, James	1834.0	Some passages in the life of Sir Frizzle Pumpkin	2.7171731949032556							
120	Oct 4, 1902	20160127190414_00004	1902	6788469	LOVE OF SISTERS.	The Academy and literature, 1902-1905	Tynan, Katharine	1902.0	Love of sisters	2.353807994289793							
121	Apr 7, 1900	20160127191542_00003	1900	8859500	The Life and Works of Charlotte Bronte and her Sisters.	The Athenaeum	Lamb, Charles	1902.0	The life and works of Charles Lamb	2.5973093142443684							
122	Apr 3, 1847	20160127230453_00005	1847	4961722	Tancred; or, The New Crusade.	Critic, 1844-1847	Earl of Beaconsfield, Disraeli, Benjamin	1847.0	Tancred, or, The new crusade	2.6692811594202897							
123	Jun 26, 1819	20160127230454_00006	1819	5152589	Tales of My Landlord, Third Series, collected and arranged by Jedediah Cleishbotham, Schoolmaster and Parish Clerk of Gandercleugh.	The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822		1820.0	Tales of my landlord	2.4707023550160807							
124	Mar 29, 1862	20160128001648_00002	1862	8470187	A Noble Purpose Nobly Won.	Examiner	Manning, Anne	1862.0	A noble purpose nobly won : an old, old story	3.340019493177388							
125	Sep 17, 1904	20160127190414_00004	1904	8890224	The Rock Tombs of El Amarna.	The Athenaeum	Davies, Norman de Garis	1903.0	The rock tombs of El Amarna	3.6525755248335896							
126	Jan 1819	20160127231107_00001	1819	5818586	A Narrative of a Journey of five Thousand miles through the Eastern and Western States of America; contained in eight reports, addressed to the thirtynine English families, by whom the Author was deputed, in June, 1817, to ascertain whether any and what part of the United States would be suitable for then residence; with remarks on Mr Birkbeck's Notes and Letters.	The Literary panorama, 1806-1819	Louis	1823.0	Narrative of a journey to Brussels and Coblentz, 1791	2.2546783882783883							
127	Dec 1819	20160127193122_00012	1819	8262859	109. The Rambles of a Butterfly.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Elliott, Mary	1819.0	The rambles of a butterfly	2.456666666666667							
128	Jun 19, 1858	20160127230759_00009	1858	5017745	The Parables of Frederick Adolphus Krummacher.	The Critic	Krummacher, Frederic Adolphus	1857.0	The parables of Frederic Adolphus Krummacher	3.1851714285714285							
129	Feb 1808	20160128000328_00006	1808	5451415	MEMOIRS OF FEMALE PHILOSOPHERS.	Beau Monde, or, Literary and fasionable magazine., 1806-1809	Hamilton, Elizabeth	1800.0	Memoirs of modern philosophers	2.1875540229885058							
