seq	AlphaPubDate	PathID	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	matchquality	isfiction	singlework	actualtitle	actualauthor	howpositive	genresnamed	comments
278	Apr 1801	20160127190413_00011	1801	3911177	MEMOIRS OF THE LATE MRS. ROBINSON.	The Monthly visitor, and new family magazine	Fitz-George, H. W	1819.0	Memoirs of the late Mrs. King, (otherwise the Diamond Q---n!!) with interesting and authentic biographical anecdotes; containing some curious and instructive notices of political and family transactions, hitherto not generally known	2.5079997746224927							
279	Jul 1893	20160127232631_00001	1893	6165603	CHAPTERS FROM SOME UNWRITTEN MEMOIRS.	Macmillan's magazine,  1859-1907	Ritchie, Anne Thackeray	1895.0	Chapters from some unwritten memoirs	3.316029785669368							
280	Dec 14, 1901	20160127191439_00002	1901	8985892	Only a Nigger.	The Athenaeum	Mitchell, Edmund	1901.0	Only a nigger	2.3966666666666665							
281	Jul 1800	20160127224227_00003	1800	4564753	The Rational Brutes; or, Talking Animals.	The Critical review, or, Annals of literature	Kilner, Dorothy	1803.0	The rational brutes, or, Talking animals	3.376838095238095							
282	Nov 18, 1837	20160127192715_00011	1837	9419296	Three Experiments on Living; Living within the Means, Living up to the Means, and Living beyond the Means.	The Athenaeum	Lee, Hannah Farnham Sawyer	1837.0	Three experiments of living	2.9234484500574047							
283	Jun 28, 1856	20160127183425_00006	1856	8732130	The Crown Ward.	The Athenaeum	Boyd, Archibald	1856.0	The crown ward	2.3484313725490202							
284	Aug 8, 1818	20160127231211_00014	1818	5097391	TALES OF MY LANDLORD.	The Literary gazette : A weekly journal of literature, science, and the fine arts		1820.0	Tales of my landlord	2.879467787114846							
285	May 1818	20160128003428_00007	1818	6097798	Narrative of my captivity in Japan, during the years 1811, 1812, and 1813; with Observations on the Country and the People, by Capt. Golow in, R.N. To which is added an Account of Voyages to the coasts of Japan, and of Negociations with the Japanese, for the release of the Author and his Companions.	The Literary panorama, 1806-1819	Rowlandson, Mary White	1828.0	Narrative of the captivity and removes of Mrs. Mary Rowlandson, who was taken by the Indians at the destruction of Lancaster, in 1676	2.2657553113553117							
286	Aug 20, 1831	20160127231107_00001	1831	5496785	Historical Sketches of the United States, from the Peace of 1815 to 1830.	The Edinburgh literary journal, or, Weekly register of criticism and belles lettres	Lee, Hannah Farnham Sawyer	1838.0	Historical sketches of the old painters	2.5093164124311658							
287	Jan 17, 1903	20160127191545_00013	1903	8886601	Samuel Richardson.	The Athenaeum	Kaye-Smith, Sheila	1913.0	Samuel Richardson	2.3223886639676112							
288	Feb 1916	20160127185757_00006	1916	3200509	THE HEART OF A MAN.	The Bookman	Maher, Richard Aumerle	1915.0	The heart of a man	2.4378823529411764							
289	Jan 1804	20160127183934_00012	1804	2968918	ART. III. Cyclopedia; or a new Universal Dictionary of Arts and Sciences.	The Annual review and history of literature	Hall, William Henry	1797.0	The new encyclopaedia; or, Modern universal dictionary of arts and sciences. On a new and improved plan. In which all the ... sciences are arranged into complete systems, the arts digested into distinct treatises, and philosophical subjects introduced in separate dissertations ... Including all the material information that is contained in Chambers's Cyclopaedia, the Encyclopaedia Britannica, and the French Encyclopedie	2.2715666666666667							
290	Apr 1834	20160127231210_00002	1834	6140319	Lays and Legends of various Nations, illustrative of their Traditions, popular Literature, Manners, Customs, and Superstitions.	The Metropolitan magazine,  1833-1840	Thoms, William John	1834.0	Lays and legends of various nations: illustrative of their traditions, popular literature, manners, customs, and superstitions	3.3030272108843537							
291	May 1809	20160127231211_00014	1809	4961152	A Journal of the Voyages and Travels of a Corps of Discovery; from the mouth of the river Missouri, through the interior parts of North America, to the Pacific Ocean.	Cabinet	Rees, Thomas	1822.0	A journal of voyages and travels	2.3281257588415483							
292	Apr 25, 1874	20160127190311_00003	1874	6653074	Two Little Wooden Shoes.	The Academy, 1869-1902, 0269-333X	Ouida	1874.0	Two little wooden shoes : a sketch	2.8334103981801357							
293	Dec 10, 1831	20160127192715_00011	1831	8787063	Romance and Reality.	The Athenaeum	L. E. L. (Letitia Elizabeth Landon)	1831.0	Romance and reality	2.6986630036630035							
294	Mar 1815	20160127232631_00001	1815	6084200	The Descent of Liberty, a Mask; by Leigh Hunt.	The Literary panorama, 1806-1819	Hunt, Leigh	1815.0	The descent of liberty, a mask	3.31							
295	Sep 1825	20160127230555_00007	1825	5268184	TALES BY THE O'HARA FAMILY.	The London magazine	Banim, John	1826.0	Tales by the O'Hara family : second series : comprising the Nowlans, and Peter of the castle	2.9998857763683344							
296	Dec 1911	20160127183121_00003	1911	2445738	BROKEN ARCS.	The English review,  1908-1937	Figgis, Darrell	1911.0	Broken arcs	2.424390243902439							
297	Jun 28, 1834	20160127230454_00006	1834	5141426	VICTORIA.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Sherwood, (Mary Martha), 1775-1851, Mrs	1833.0	Victoria	2.1633333333333336							
298	Dec 1815	20160127191545_00013	1815	8389512	111. The Soldier's Family, and other Tales. 12mo. pp. l78. Harris.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Ormsby, Anne	1807.0	The soldier's family	2.1268384326355343							
299	Mar 1815	20160127192200_00007	1815	8186256	44. Ellen the Teacher, a Tale for Youth, by Mrs. Hofland; Author of "The Officer's Widow, "Son of a Genius," and other Works for young People. 2 vols. 12mo, pp 357. Harris.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Hofland, (Barbara), Mrs	1836.0	Ellen, the teacher : a tale for youth	2.464183392365211							
