author	bookid	bpoids	genres	htrcids	subjects	title
Benson E F Edward Frederick	B1059	{2441366}		{'uva.x000242365'}		Mrs Ames
Allen James Lane	B106	{8980352, 6852445, 3185382}		{'nyp.33433082171160'}		The sword of youth
Brentwood Evelyn	B1060	{6753000, 3188996}		{'uva.x000335016'}		Hector Graeme
Braddon M E Mary Elizabeth	B1061	{3169118}		{'uva.x000386952'}		The green curtain
Brontë Charlotte	B1062	{4416341}	{'Bibliographies'}	{'uva.x000457847'}	{'English fiction'}	Jane Eyre an autobiography
Bulfinch Thomas	B1063	{3217311}		{'uva.x000467597'}	{'Mythology', 'Chivalry', 'Emperor', 'Romances', '742-814', 'Charlemagne', 'Folklore'}	King Arthur and his knights The Mabinogeon Hero myths of the British race
Benson E F Edward Frederick	B1064	{8946359}		{'uva.x000591011'}		Dodo a detail of the day
Barr Robert	B1065	{6760374}		{'uva.x001179982'}		Jennie Baxter journalist
Boone Henry Burnham	B1066	{8874896}		{'uva.x001181165'}	{'Plantation owners', 'Virginia', 'Plantation life'}	Eastover Court House  a novel
Braddon M E Mary Elizabeth	B1067	{9432792, 4857708}		{'uva.x001597392'}		The ladys mile
Bell J J John Joy	B1068	{3169856}		{'uva.x002220807'}		Oh Christina
Bierce Ambrose	B1069	{6767007}		{'uva.x004144039'}	{'Provenance', 'Fables, American', 'Jackson, Stuart W. (Stuart Wells), 1875-', 'Bookplate'}	Fantastic fables
Allen Emma S Emma Sarah	B107	{3201848}		{'nyp.33433082173240'}		Afterwards
Barr Amelia Edith Huddleston	B1070	{8921497}		{'uva.x030749183'}		The belle of Bowling Green
Brock Carey Mrs	B1071	{9462590}		{'uva.x030808579'}		Sunday echoes in weekday hours  a tale illustrative of Scripture characters
BethamEdwards Matilda	B1072	{6787840, 3171090, 8857247}		{'uva.x030809263'}		The lord of the harvest
Bailey H C Henry Christopher	B1073	{9022753}		{'wu.89004545976'}		Rimingtons
Boothby Guy	B1074	{6672522}		{'wu.89013829759'}		Uncle Joes legacy  and other stories
Bilby Julian W	B1075	{3222996}		{'wu.89058279688'}	{'Eskimos'}	Nanook of the North  with 29 photographs
Bremer Fredrika	B1076	{5015850}		{'wu.89080125990'}		Father and daughter  a portraiture from the life
Beresford J D John Davys	B1077	{3215110}		{'wu.89087899555'}		The Jervaise comedy
BaringGould S Sabine	B1078	{3170769}		{'wu.89094592631'}	{'Fairy tales', 'England'}	Old English fairy tales
Burnham Clara Louise	B1079	{8905063, 3183655}		{'wu.89098014129'}		Jewel  a chapter in her life
Atherton Gertrude Franklin Horn	B108	{3172289, 6745931}		{'nyp.33433082173729'}		American wives and English husbands A novel
Barr Amelia Edith Huddleston	B1080	{8984881}		{'wu.89098869878'}	{'American fiction'}	Was it right to forgive A domestic romance
Bird Robert Montgomery	B1081	{8893062}		{'wu.89099908337', 'wu.89099908345'}	{'Conquest, 1519-1540', 'History'}	Calavar or The knight of the conquest a romance of Mexico
Bremer Fredrika	B1082	{8402234}		{'wu.89099912115'}		Strife and peace or scenes in Norway  The H family The Bondmaid Axel and Anna The home or family cares and family joys A diary
Bennett W H William Henry	B1083	{6680513, 3183742}		{'yale.39002088372918'}	{'Bible', 'Paraphrases'}	The Old Testament story retold for young people
Bilse Fritz Oswald	B1084	{3178684}		{'njp.32101068779436'}		Life in a garrison town the mi
Boner Charles	B1085	{9437397}		{'nyp.33433082508049'}		Chamois hunting in the mountai
Besant Walter Sir	B1086	{8814809}		{'mdp.39015063942703'}		The rebel queen a novel
Banim John	B1087	{8618437, 5118007}	{'Bibliographies'}	{'nyp.33433074932389', 'uc2.ark+=13960=t8sb40478', 'uc1.b3322285'}		The AngloIrish of the nineteen
Brent John	B1088	{5145045}		{'njp.32101068138450'}		The seawolf  a romance of the 
Barrett James Francis	B1089	{6800490, 3263884, 9405055}		{'uc2.ark+=13960=t2f767m3g'}		The loyalist
Adams F Colburn Francis Colburn	B109	{8788669}		{'nyp.33433082175542'}		The Von Toodleburgs  or the history of a very distinguished family
Braddon M E Mary Elizabeth	B1090	{8848160}		{'uc1.b4103136'}		London pride or When the world
Ballantyne R M Robert Michael	B1091	{8651569}	"{""Publishers' advertisements"", 'Juvenile literature'}"	{'mdp.39015078568931'}		The dog Crusoe A tale of the w
Bayly A Eric	B1092	{6783903}		{'nyp.33433074824453'}		The house of strange secrets a
Braddon M E Mary Elizabeth	B1093	{8586151}		{'coo.31924013523133'}		An open verdict a novel
Benson E F Edward Frederick	B1094	{2458680}		{'mdp.39015011594408'}		Colin
Bullen Frank Thomas	B1095	{8979540}		{'uc1.b3548135'}		Recollections the reminiscence
Bates H E Herbert Ernest	B1096	{3253580, 2491479}		{'inu.32000005543857'}		The woman who had imagination 
Besant Walter Sir	B1097	{8522600, 2753650}		{'nyp.33433074939772'}		My little girl  a novel
Butler Samuel	B1098	{8892761, 8957194, 6810283, 6796313, 3179671}		{'uc1.b4105097'}		The way of all flesh  With ill
Butler Samuel	B1099	{8892761, 6796313, 8957194, 6810283, 3179671}		{'pst.000064518824'}		The way of all flesh cSamuel B
Asbjørnsen Peter Christen	B11	{8634064, 8521913, 6759661}		{'inu.39000005818161'}	{'Folklore, Norway', 'Fairy tales', 'Norway', 'Folklore'}	Popular tales from the Norse
Abbott Jacob	B110	{9108226}		{'nyp.33433082527981'}	{'Readers'}	Stuyvesant  a Franconia story
Butler Samuel	B1100	{8892761, 8957194, 6810283, 6796313, 3179671}		{'inu.32000000899312'}		The way of all flesh introd by
Burgin G B George Brown	B1101	{6669656, 6813968, 8881327}		{'nyp.33433074847553'}		The shutters of silence the ro
Brown John	B1102	{8455460, 8744462}		{'uc2.ark+=13960=t82j6bb7d'}		Rab and his friends and other 
Brown John	B1103	{8455460, 8744462}	{'ContainsBiogMaterial'}	{'mdp.39015063516309'}		Rab and his friends Marjorie F
Becke Louis	B1104	{8848734}		{'mdp.39015025294698', 'uc1.b4669508'}		The strange adventures of Jame
Beerbohm Max Sir	B1105	{6784694}		{'uc1.b3796838'}		The happy hypocrite a fairy ta
Beck L Adams Lily Adams	B1106	{3245806}		{'uc1.$b85452'}		The gallants following accordi
Bates H E Herbert Ernest	B1107	{6829942, 8914959}		{'uc1.b3796993'}		The day of the tortoise
Bremer Fredrika	B1108	{8456376}		{'njp.32101051672606', 'njp.32101051672598', 'nyp.33433075777270'}		The neighbors  a story of ever
Burgess Thornton W Thornton Waldo	B1109	{6747740, 3180749}	{'Juvenile audience'}	{'mdp.39015083449523'}		The adventures of Bobby Coon
Ayscough John	B111	{3209458}		{'nyp.33433082549290'}		Fernando
Burgess Thornton W Thornton Waldo	B1110	{6747740, 3180749}	{'Juvenile audience'}	{'mdp.39015083449507'}		The adventures of Chatterer th
Burgess Thornton W Thornton Waldo	B1111	{6747740, 3180749}	{'Juvenile audience'}	{'wu.89007333735'}		The adventures of Danny Meadow
Burgess Thornton W Thornton Waldo	B1112	{6747740, 3180749}	{'Juvenile audience'}	{'nyp.33433064202785'}		The adventures of Grandfather 
Burgess Thornton W Thornton Waldo	B1113	{6747740, 3180749}	{'Juvenile audience'}	{'uc1.b4087587'}		The adventures of Jerry Muskra
Burgess Thornton W Thornton Waldo	B1114	{6747740, 3180749}		{'nyp.33433082300801'}		The adventures of Jimmy Skunk
Burgess Thornton W Thornton Waldo	B1115	{6747740, 3180749}	{'Juvenile audience'}	{'uva.x001863064'}		The adventures of Johnny Chuck
Burgess Thornton W Thornton Waldo	B1116	{6747740, 3180749}	{'Juvenile audience', 'Juvenile literature'}	{'nyp.33433064202819'}		The adventures of Old Man Coyo
Burgess Thornton W Thornton Waldo	B1117	{6747740, 3180749}	{'Juvenile audience'}	{'nyp.33433064202801'}		The adventures of old Mr Toad
Burgess Thornton W Thornton Waldo	B1118	{6747740, 3180749}	{'Juvenile audience'}	{'nyp.33433064202777'}		The adventures of Peter Cotton
Burgess Thornton W Thornton Waldo	B1119	{6747740, 3180749}		{'mdp.39015034642069'}		The adventures of Prickly Pork
Aimery de Pierrebourg Marguerite ThomasGalline Baronne	B112	{2456282}		{'pst.000009885585'}	{'Cleopatra', 'd. 30 B.C', 'Queen of Egypt'}	The life and death of Cleopatra
Burgess Thornton W Thornton Waldo	B1120	{6747740, 3180749}	{'Juvenile audience'}	{'mdp.39015083449465'}		The adventures of Sammy Jay
Boccaccio Giovanni	B1121	{8849659, 6767308}		{'uva.x000598231'}		Tales from Boccaccio done into
Bremer Fredrika	B1122	{5015850}		{'wu.89080125990'}		Father and daughter  a portrai
Besant Walter Sir	B1123	{3181216}		{'mdp.39015063942554'}		The master craftsman a novel
Benson E F Edward Frederick	B1124	{8948603, 6855902}		{'nyp.33433082268271'}		The Valkyries
Bennett Arnold	B1125	{6851577, 8904852}		{'mdp.39015031225629'}		The city of pleasure a fantasi
Baker William M William Mumford	B1126	{2460961}		{'nnc1.50178786'}		The life and labours of the Re
Briefless Jeremiah	B1127	{8654143}		{'uiuo.ark+=13960=t2t43zn1w', 'uiuo.ark+=13960=t2k64rc7m'}		Maidenthorpe or Interesting ev
Brebner Percy James	B1128	{3214705}		{'nyp.33433074929336'}		Christopher Quarles  college p
Bell J J John Joy	B1129	{9047412, 3185580}		{'nyp.33433074927504'}		Whither thou goest  a romance 
Alcott Louisa May	B113	{8615935}	{'Juvenile audience'}	{'pst.000032224764'}		Eight cousins or The aunthill
Becke Louis	B1130	{6776945, 8850892}		{'uc1.b4102891'}		The mutineer a romance of Pitc
BrodieInnes J W John William	B1131	{6753838}		{'uc1.31158010745130'}		For the soul of a witch a roma
Bremer Fredrika	B1132	{9408119}		{'njp.32101065643338'}		Brothers and sisters A tale of
Beckwourth James Pierson	B1133	{9441016, 9004208}		{'mdp.39015020834878'}		The life and adventures of Jam
Beach Rex	B1134	{3198842, 9506885}		{'nyp.33433074837299'}		The auction block  a novel of 
Bowdler H M Henrietta Maria	B1135	{8556622}		{'njp.32101066455500'}		Pen Tamar or The history of an
Bennett Arnold	B1136	{6811339, 8917325, 3186503}		{'mdp.39015031224101'}		Sacred  profane love a novel i
Brown Vincent	B1137	{3150377, 6777146}		{'mdp.39015063543535'}		My brother a novel
Bunyan John	B1138	{6830710, 4854447}		{'mdp.39015063512597'}		Bunyans Pilgrims progress in m
Bunyan John	B1139	{3203026, 4988323, 6800349, 4854447}		{'uc1.b4109147'}		The pilgrims progress  and The
Allen Grant	B114	{6767945, 8967695}		{'uc1.$b111381'}		Miss Cayleys adventures
Bunyan John	B1140	{3203026, 4988323, 6800349, 4854447}		{'loc.ark+=13960=t39z9qn4m'}		The pilgrims progress by John 
Bunyan John	B1141	{3203026, 4988323, 6800349, 4854447}	{'Weiss', 'Typefaces (Type evidence)', 'Bibliographies', 'ContainsBiogMaterial', 'Christian fiction'}	{'mdp.39015063512704'}		The pilgrims progress from thi
Bunyan John	B1142	{3203026, 4988323, 6800349, 6830710, 4854447}		{'hvd.hwj9xw', 'hvd.hwj9yl', 'hvd.hwj9xv'}		The pilgrims progress in two p
Bunyan John	B1143	{4854447}		{'loc.ark+=13960=t1bk1w50d'}		Young peoples Pilgrims progres
Biggs E Ashurst Elizabeth Ashurst	B1144	{8655833}		{'njp.32101067706794'}		White and black a story of the
Bennett Arnold	B1145	{3173216, 6684491, 6800411, 9005564, 6755335}		{'nyp.33433074928908'}		Anna of the five towns  a nove
Bennett Arnold	B1146	{3173216, 6800411, 6684491, 9005564, 6755335}		{'mdp.39015031225645'}		Tales of the five towns includ
Bury Charlotte Campbell Lady	B1147	{5772328}		{'uc1.b3321461', 'uc1.b3321460'}		Selfindulgence a tale of the n
Bennett W H William Henry	B1148	{6680513, 3183742}		{'yale.39002088372918'}		The Old Testament story retold
Bassett Sara Ware	B1149	{8885426, 3171852}		{'uc2.ark+=13960=t54f1np03'}		The story of leather
AmmersKüller Jo van	B115	{3249042}		{'uc1.$b154536'}		The apple and Eve
Browning Robert	B1150	{4704411, 5838228, 5805795}		{'uc2.ark+=13960=t0zp3zk4n'}		The letters of Robert Browning
Burns Robert	B1151	{4704411, 5838228, 5805795}		{'hvd.hwj9y3'}		The prose works of Robert Burn
Beech William	B1152	{6788536}		{'mdp.39015049886388'}		Great French short stories
Brougham John	B1153	{3216976}	{'NotBiographical'}	{'uc2.ark+=13960=t86h4pg5h'}		Humorous stories
Barker Mary Anne Lady	B1154	{2725473}		{'uva.x030788776'}		Station life in New Zealand
Browne Belmore	B1155	{3315379, 3197735}	{'Juvenile audience'}	{'nyp.33433074815162'}		The quest of the Golden Valley
Bremer Fredrika	B1156	{8972730, 8427227, 8473431}	{'ContainsBiogMaterial'}	{'nyp.33433075822365'}		The presidents daughters  A na
Braddon M E Mary Elizabeth	B1157	{8525567}		{'coo.31924013523067'}		Lost for love a novel
Beck L Adams Lily Adams	B1158	{3217251}		{'uc1.b3710978'}		The empress of hearts n by E B
Braine John	B1159	{3217275}		{'uc1.b3472508'}		These golden days
Atherton Gertrude Franklin Horn	B116	{3175007}		{'uc1.$b248098'}		The valiant runaways
Ball John Dudley	B1160	{8951701}		{'uc1.b3467135'}		In the heat of the night
Bulfinch Thomas	B1161	{3217311}		{'uva.x000467597'}		King Arthur and his knights Th
Bray Anna Eliza Mrs	B1162	{4692036}		{'njp.32101067629939', 'njp.32101067629947'}		De Foix or Sketches of the man
Barr Amelia Edith Huddleston	B1163	{8984881}		{'wu.89098869878'}		Was it right to forgive A dome
Blake Adam	B1164	{3218182}		{'uc2.ark+=13960=t19k47n0n'}		The man with the hoe
Banim John	B1165	{4692800}	{'Bibliographies', 'ContainsBiogMaterial'}	{'coo.31924006593267'}		The Boyne water
Barrie J M James Matthew	B1166	{6429587}		{'mdp.39015063994530'}		Auld licht idylls Better dead
Bray Anna Eliza Mrs	B1167	{8199505}		{'njp.32101067630721'}		Henry de Pomeroy or The Eve of
Bunyan John	B1168	{3203026, 4988323}		{'nnc1.50198731'}		Pilgrims progress   In three p
Banim John	B1169	{5124430, 8920550}	{'War stories', 'Historical fiction'}	{'wu.89087923983', 'wu.89087924015'}		The croppy A tale
Al Arawiyah	B117	{6429128}		{'uc1.$b252293'}		Tales of the caliph
Bailey H C Henry Christopher	B1170	{3186172}		{'mdp.39015063525151'}		Case for Mr Fortune
Böll Heinrich	B1171	{3186280, 8895770}		{'uc1.b3581535'}		The stories of Heinrich Böll
Burnett Frances Hodgson	B1172	{8808160, 8923632, 3153534}		{'mdp.39015013709871'}		The one I knew the best of all
Burnett Frances Hodgson	B1173	{6790923, 6793875, 3172949, 8865165}		{'nc01.ark+=13960=t2891751x'}		In connection with the De Will
Braddon M E Mary Elizabeth	B1174	{9432792, 4857708}		{'nyp.33433074929534'}		The ladys mile  a novel
Blessington Marguerite Countess of	B1175	{8888176, 6150476}		{'uiuo.ark+=13960=t8cg0cw2d', 'uiuo.ark+=13960=t43r1j78d', 'uiuo.ark+=13960=t55d9gz0m'}		The victims of society
Boothby Guy	B1176	{8855489}		{'uc1.$b358677'}		Love made manifest
Birmingham George A	B1177	{9379846}		{'mdp.39015063918968'}		Minnies bishop and other stori
Busk Rachel Harriette	B1178	{6660140}		{'inu.39000005794198'}		The folklore of Rome collected
Bowen Marjorie	B1179	{8921283}		{'inu.32000002897108'}		The viper of Milan A romance o
Andryane Alexandre Phillippe	B118	{4700715}		{'uc1.$b287800', 'uc1.$b287799'}		Memoirs of a prisoner of state in the fortess of Spielberg
Boothby Guy Newell	B1180	{8954092}		{'nyp.33433074940465'}		Sheilah McLeod a heroine of th
Burbury Selina	B1181	{6215808, 4989177}		{'nyp.33433074815493'}		Florence Sackville  or Selfdep
Benson E F Edward Frederick	B1182	{9042717, 6824637}		{'nnc1.cu58491686'}		The house of defense by E F Be
Boldrewood Rolf	B1183	{6497000}		{'nyp.33433074930896', 'nyp.33433074930904'}		Robbery under arms a story of 
Brierley Benjamin	B1184	{4367091, 4846453, 9449535}		{'uc1.b4113045'}		The layrock of Langleyside  a 
Behn Aphra	B1185	{9020195}		{'inu.30000011498684', 'mdp.39015046377670', 'mdp.39015035314767'}		The works of Aphra Behn
Bell Catherine D Catherine Douglas	B1186	{4989875}		{'njp.32101073371773'}		Margaret Cecil or I can becaus
Blackwood Algernon	B1187	{2434003, 3193563}		{'uva.x030751450'}		A prisoner in fairyland the bo
Black William	B1188	{8627177}		{'mdp.39015063761178', 'mdp.39015063761194', 'mdp.39015063761186'}		Macleod of Dare  a novel
