author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Maclaren Ian	B5527	{3158625}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'nyp.33433075747463'}	{'Social life and customs'}	The days of auld lang syne		1896
Dixon Thomas	B2193	{8947688, 3212279}		{'nyp.33433074810825'}	{'American fiction'}	The way of a man		1919
Smith Francis Hopkinson	B7739	{3168976, 6774468, 9406116}		{'uc2.ark+=13960=t8rb6wm1v'}	{'American fiction'}	Caleb West master diver		1898
Castle Agnes	B1948	{8854972, 3421287}	"{'New York', ""Publishers' cloth bindings (Binding)"", 'History', 'New York (State)'}"	{'mdp.39015063524840'}		The pride of Jennico  being a 		1898
Beach Rex	B506	{9424477, 6841677}	{'Western stories'}	{'njp.32101067629616'}	{'Gold miners', 'Prospecting', 'Gold mines and mining', 'Alaska'}	The spoilers		1906
Simms William Gilmore	B7534	{2851968, 2897819, 4415150, 4972216, 8606735}		{'nyp.33433076039068', 'nyp.33433076039969'}	{'American fiction'}	The wigwam and the cabin  First and second series		1845
Brewster Anne M H Anne Maria Hampton	B567	{4429419, 8542487}		{'nyp.33433074807615'}	{'American fiction'}	St Martins summer		1866
Beale Anne	B591	{6175674, 8627206}		{'nyp.33433074837430'}	{'American fiction'}	Simplicity and fascination		1866
Vorse Mary Heaton	B8411	{3209903}		{'wu.89058503293'}	{'Steel strike, 1919-1920', 'United States', 'Steel industry and trade', 'United States steel corporation'}	Men and steel		1920
Richardson Norval	B6998	{3187820}		{'nyp.33433076048028'}	{'American fiction'}	The lead of honour		1910
Grinnell George Bird	B2979	{8800346}		{'inu.30000055882736'}	{'Indians of North America', '1840-1885', '(Frank Joshua)', 'Folklore', 'Indians', 'North, Frank J', 'Pawnee Indians', 'Pawnee language'}	Pawnee hero stories and folktales with notes on the origin customs and character of the Pawnee people		1889
Le Gallienne Richard	B4825	{6786209, 8986863}	"{'New York', ""Publishers' cloth bindings (Binding)"", 'New York (State)', 'ContainsBiogMaterial', 'England'}"	{'nyp.33433074878137'}		Young lives		1899
White Stewart Edward	B8562	{8911670}		{'njp.32101065597575'}	{'Michigan', 'Lumbering'}	The Riverman		1908
James Henry	B4355	{8876793, 6792195}	"{'Autographs (Provenance)', 'Bookplates (Provenance)', ""Publishers' cloth bindings (Binding)"", 'Novel', 'England'}"	{'uc2.ark+=13960=t3319sx79'}	{'Married people', 'Man-woman relationships', 'English fiction', 'United States', 'England'}	The sacred fount		1901
Holmes Oliver Wendell	B3618	{6717360}		{'njp.32101068140746'}	{'American fiction'}	A moral antipathy  first opening of the new portfolio		1885
Pemberton Max Sir	B6795	{6666984}	"{'Pictorial cloth bindings (Binding)', ""Publishers' cloth bindings (Binding)"", 'United States', 'History'}"	{'nyp.33433075765242'}		The signors of the night  the 		1899
Howells William Dean	B3755	{6796786}		{'uc2.ark+=13960=t4nk37884', 'nyp.33433082295324'}	{'African Americans', 'Short stories, American', 'American literature', 'American fiction', 'Southern States'}	Southern lights and shadows		1907
Harris Joel Chandler	B3752	{8879473, 6758300}	{'History'}	{'nyp.33433076088305'}	{'United States', 'History', 'War stories, American', 'Civil War, 1861-1865'}	On the wing of occasions being the authorized version of certain curious episodes of the late Civil War including the hitherto suppressed narrative of the kidnapping of President Lincoln		1900
Rowcroft Charles	B7161	{4702248, 4445474}		{'uiuo.ark+=13960=t3805qj0v', 'uiuo.ark+=13960=t43r1gv75', 'uiuo.ark+=13960=t5fb5pp94'}	{'Tasmania', 'Frontier and pioneer life', 'Australia'}	Tales of the colonies or The adventures of an emigrant		1843
Schoolcraft Henry Rowe	B7319	{8703674}		{'inu.39000005938035'}	{'Indians of North America', 'Hiawatha', 'Legends', '15th cent', 'Algonquian Indians', 'Folklore'}	The myth of Hiawatha and other oral legends mythologic and allegoric of the North American Indians		1856
Carey Rosa Nouchette	B1544	{9405872}		{'nyp.33433074942057'}	{'American fiction'}	Mollies prince		1898
Boldrewood Rolf	B999	{6497000}	{'Bibliographies', 'Novel'}	{'uc2.ark+=13960=t9t15092z'}	{'Frontier and pioneer life', 'Bushrangers', 'Gold mines and mining', 'Gold discoveries', 'Australia'}	Robbery under arms		1895
Elliott Charles Wyllys	B2576	{9157561}		{'nyp.33433074854906'}	{'American fiction'}	Wind and whirlwind a novel		1868
London Jack	B4761	{9074492}		{'mdp.39015065985627'}	{'Gold discoveries', 'Women pioneers', 'American literature', 'American fiction'}	Burning Daylight		1910
Harland Marion	B3821	{8637472}		{'uc1.b3325210'}	{'American fiction'}	MossSide		1857
Altsheler Joseph A Joseph Alexander	B171	{6870733}		{'uc2.ark+=13960=t6251gr76'}	{'United States', 'History', 'Civil War, 1861-1865'}	Before the dawn		1903
Ford Thomas J	B2665	{3164355}		{'loc.ark+=13960=t2988g55c'}	{'Wisconsin Infantry Regiment, 24th (1862-1865)', 'Regimental histories', 'Personal narratives', 'United States', 'Army', 'Civil War, 1861-1865', 'History'}	With the rank and file		1898
Fletcher J S Joseph Smith	B2772	{6838247, 8913967}		{'nyp.33433075728554'}	{'American fiction'}	The harvest moon		1909
Montgomery L M Lucy Maud	B5485	{3177427}	"{'Boston', 'Massachusetts', ""Publishers' cloth bindings (Bindings)"", 'Pictorial cloth bindings (Bindings)'}"	{'nyp.33433074902499'}	{'Canadian fiction', 'Shirley, Anne (Fictitious character)'}	Anne of Avonlea		1909
Bennett Emerson	B581	{5892969}		{'nyp.33433074829155'}	{'1773', 'History', 'American fiction'}	The bride of the wilderness		1854
Fox John	B2894	{8888841, 6802490, 3180869}		{'uva.x004639182'}	{'United States', 'History', 'Civil War, 1861-1865'}	The little shepherd of Kingdom Come		1903
James Henry	B4380	{8590909}	{'Humorous stories'}	{'uc2.ark+=13960=t84j0c38h'}	{'Boston (Mass.)', 'Europeans', 'United States', 'Upper class', 'New England'}	The Europeans		1879
Warman Cy	B8572	{6789852}		{'nnc1.1002249626'}	{'American fiction'}	The express messenger and other tales of the rail		1897
Wynne Madeline Yale Mrs	B8584	{8800120}		{'nyp.33433074806302'}	{'American fiction'}	The little room and other stor		1895
Creed Sibyl	B1496	{6796636, 8957972, 6808279}		{'nyp.33433074817341'}	{'American fiction'}	The vicar of St Lukes		1901
Gillman Henry	B3153	{8953755}		{'nyp.33433076069362'}	{'American fiction'}	Hassan a fellah a romance of P		1898
Crawford F Marion Francis Marion	B1386	{8923882}		{'mdp.39015059395098'}	{'American fiction'}	The white sister		1909
Stockton Frank Richard	B7614	{3174807}		{'uc1.b3569273'}	{'American fiction'}	A bicycle of Cathay a novel		1900
London Jack	B5067	{6817241}	"{'New York', 'New York (State)', 'Short stories', ""Publishers' advertisements""}"	{'mdp.39015005450922', 'mdp.49015000998790'}		Love of life and other stories		1906
White Stewart Edward	B8659	{3171658}		{'nyp.33433076061930'}	{'American fiction'}	The sign at six		1912
QuillerCouch Arthur Thomas Sir	B6845	{8899940, 6822557}		{'uc2.ark+=13960=t2k64k49c'}	{'History', 'United States', 'French and Indian War, 1754-1763'}	Fort Amity		1904
Taylor Ann Martin Mrs	B8130	{5156149}		{'nyp.33433076080617'}	{'American fiction'}	Retrospection a tale		1822
Antin Mary	B19	{8848414}	{'Autobiography'}	{'mdp.39015008221700'}	{'Russians', 'Boston', '1881-1949', 'Massachusetts', 'IsBiographical', 'Russia', 'Social life and customs', 'Antin, Mary'}	The promised land		1912
Castle Egerton	B1541	{6808939}	"{'New York', 'Romantic suspense fiction', 'New York (State)', ""Publishers' cloth bindings (Binding)""}"	{'nyp.33433074941851'}		The light of Scarthey  a romance		1899
Crawford F Marion Francis Marion	B1908	{6818065, 8811717, 3176246}	{'American fiction', 'ContainsBiogMaterial'}	{'uc1.b3548225'}		In the palace of the king a lo		1900
Williamson C N Charles Norris	B8632	{6844988}	{'Love stories'}	{'nyp.33433075768568'}	{'United States', 'Man-woman relationships', '19th century', 'Young women', 'Social life and customs', 'British'}	Lady Betty across the water		1906
Wright Watkins E Watkins Eppes	B8678	{3228990}	{'Love stories'}	{'osu.32435067907311'}	{'Pianists', 'Architects', 'Marriage', 'United States', 'Man-woman relationships'}	Lets pretend		1942
Garland Hamlin	B3166	{8957810}		{'nyp.33433081919981'}	{'(OCoLC)fst00921052', 'Farm life', 'Iowa', 'Prairies', '(OCoLC)fst01205835', '(OCoLC)fst00935370', 'Frontier and pioneer life', 'Social conditions'}	Boy life on the prairie		1899
London Jack	B4702	{9421954, 3182687}	{'Western stories'}	{'inu.32000000658031'}		A daughter of the snows		1902
Tompkins Elizabeth Knight	B8173	{8870236}		{'uc2.ark+=13960=t0tq5rv34'}	{'American fiction'}	The things that count		1900
Chesnutt Charles W Charles Waddell	B1424	{8902136}		{'nc01.ark+=13960=t50g4wj3w'}	{'North Carolina', 'Economic conditions', 'Race relations', 'Veterans', 'United States', 'Racism', 'Southern States', 'City and town life', 'Civil War, 1861-1865', 'Failure (Psychology)', 'Rich people', 'African Americans', 'Social conditions', 'History'}	The colonels dream		1905
Fischer William Joseph	B2789	{3215472}		{'nyp.33433076066160'}	{'American fiction'}	The years between		1912
Pemberton Max Sir	B6532	{6666984}	"{'Pictorial cloth bindings (Binding)', ""Publishers' cloth bindings (Binding)"", 'United States', 'History'}"	{'nyp.33433075765242'}	{'Venice (Italy)', 'History', 'Short stories'}	The signors of the night  the story of Fra Giovanni the soldiermonk of Venice and of others in the Silent City  by Max Pemberton		1899
Martin Ewan	B5549	{6767679}		{'nyp.33433076051881'}	"{""Hundred Years' War, 1339-1453"", 'American fiction'}"	The knight of kings guard		1899
Cooper James Fenimore	B1669	{6135961, 8267221}	{'Bibliographies'}	{'uc1.b3321261', 'uc1.b3321262', 'uc1.b3321260'}	{'Sea stories', 'Passenger ships', 'Adventure stories', 'American fiction', 'Love stories'}	The water witch or The skimmer of the seas  A tale		1830
Nicholson Meredith	B6187	{8925083}	"{'Indianapolis', ""Publishers' cloth bindings (Binding)"", 'Mystery and detective fiction', 'Indiana', 'United States'}"	{'wu.89047436936'}		The house of a thousand candles		1905
MacDonald Ronald	B5560	{6823634, 9293422}		{'nyp.33433076081540'}	{'American fiction'}	A human trinity		1907
Alcott Louisa May	B13	{8658809}	{'Juvenile audience', 'Juvenile works'}	{'mdp.39015004168533'}	{'March family (Fictitious characters)', 'Mothers and daughters', 'Juvenile fiction', 'Young women', 'Sisters', 'Families', 'New England'}	Little women or Meg Jo Beth an		1880
James G P R George Payne Rainsford	B4205	{4963727}		{'hvd.32044086829090'}	{'Stuart, Arabella', '1575-1615', 'American fiction', 'Lady'}	Arabella Stuart  a romance from English history		1844
White Stewart Edward	B8548	{9001153, 6784765}		{'nc01.ark+=13960=t1mg8rm91'}	{'Michigan', 'Logging', 'Frontier and pioneer life', 'American fiction', 'Loggers'}	The blazed trail		1902
Beecher Henry Ward Mrs	B729	{8771387}		{'nyp.33433084129067'}	{'Description and travel', 'Village communities', 'History', 'New England', 'Civil War, 1861-1865'}	Norwood or Village life in New England		1867
Green Anna Katharine	B3161	{3180580}		{'nyp.33433076089832'}	{'American fiction'}	The circular study		1900
De Forest John William	B2164	{8500512, 4382121, 8773746}		{'nc01.ark+=13960=t3mw2v80v'}	{'United States', 'History', 'Civil War, 1861-1865'}	Miss Ravenels conversion from secession to loyalty		1867
Macmillan Cyrus	B5872	{3198631}		{'wu.89084879600'}	{'Canada', 'Indians of North America', 'Tales', 'Fairy tales', 'Folklore'}	Canadian wonder tales		1918
Murray Charles Augustus Sir	B5510	{8377151}		{'nyp.33433074911037', 'nyp.33433074911045', 'nyp.33433074911029'}	{'English fiction', 'Indians of North America', 'Northwest, Pacific', 'Nebraska', 'Kansas'}	The prairiebird		1844
Hope Anthony	B3666	{3166649}	"{""Publishers' cloth bindings (Binding)"", 'Romantic suspense fiction', 'New York', 'New York (State)', 'Love stories'}"	{'nyp.33433074857636'}	{'English fiction'}	The chronicles of Count Antoni		1895
Kipling Rudyard	B4584	{3174924, 6762181, 8846046}		{'pst.000005354191'}	{'Interpersonal relations', 'Schooners', 'Adventure stories', 'Self-perception', 'Fishers', 'Boys', 'Rescues', 'Sea stories', 'New England', 'Saltwater fishing'}	Captains courageous		1899
Warner Susan	B8666	{9447938}		{'nyp.33433076073422', 'nyp.33433076073414'}	{'American fiction'}	Melbourne House		1865
Brady Cyrus Townsend	B799	{8895059}		{'uc1.b3322028'}	{'United States', 'History', 'Civil War, 1861-1865'}	A little traitor to the South a wartime comedy with a tragic interlude		1903
Tarkington Booth	B8213	{3167363, 9245174}		{'uc2.ark+=13960=t96689c59'}	{'American fiction'}	The two Vanrevels		1902
Beach Rex	B588	{3198842, 9506885}		{'nyp.33433074837307'}	{'American fiction'}	The auction block		1914
Savage Richard	B7537	{8813180}		{'nyp.33433076043870'}	{'American fiction'}	A fascinating traitor  an AngloIndian story		1897
Yezierska Anzia	B9035	{3220152}		{'uc2.ark+=13960=t3hx16w03'}	{'United States', 'Jews, Russian'}	Hungry hearts		1920
Cody H A Hiram Alfred	B1912	{8948297}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'nyp.33433082520903'}		The chief of the ranges  a tal		1913
Wharton Edith	B8673	{6665128, 6789073, 6824858, 8960352, 3192520}	{'Bibliographies', 'Satire', 'Domestic fiction'}	{'nyp.33433076079122'}	{'Americans', 'Divorced women', 'France', 'Upper class', 'Social life and customs', 'New York', 'Remarried people', 'New York (State)'}	The custom of the country		1913
Rowson	B6882	{4558950}		{'dul1.ark+=13960=t3jw95z4h'}	{'Massachusetts', 'Boston', '1798', 'IMP'}	Reuben and Rachel		1798
Eyre Laurence	B2624	{3318704}		{'wu.89004876900'}	{'American fiction'}	The things that count		1914
Kennedy John Pendleton	B4579	{4701217, 5127900}	{'Bibliographies'}	{'nyp.33433082294624', 'nyp.33433082294616'}	{'American fiction'}	Swallow barn or A sojourn in the Old Dominion		1832
Johnston Mary	B4358	{3275461}		{'uc2.ark+=13960=t3st7f68m'}	{'United States', 'History', 'Civil War, 1861-1865'}	Cease firing		1912
Garland Hamlin	B3212	{6760722, 6785886}		{'uc1.b3561877'}	{'Western stories', '(OCoLC)fst01243255', 'Love stories, American', 'Manners and customs', '(OCoLC)fst01002993', '(OCoLC)fst01174081', '(OCoLC)fst01007815', 'Social life and customs'}	Wayside courtships		1897
Boyle Zola M	B719	{3199544}		{'nyp.33433076065709'}	{'American fiction'}	A master of life		1900
Craik Dinah Maria Mulock Mrs	B1358	{8631744, 4980357, 9427622}	"{""Publishers' advertisements"", 'NotBiographical', ""Publishers' cloth bindings (Binding)"", 'Bibliographies', 'Novels', 'New York', 'New York (State)'}"	{'mdp.39015010941147'}	{'English fiction'}	John Halifax gentleman		1857
