author	bookid	bpoids	htrcids	genres	subjects	title	pubdate
Pottinger Henry	B6729	{6701677}	{'uiuo.ark+=13960=t43r1hn5x', 'uiuo.ark+=13960=t5m90vz2q', 'uiuo.ark+=13960=t3kw62633'}		{'To 1453', 'Istanbul (Turkey)', 'History'}	Blue and green or The gift of God	1879
Adam Juliette	B172	{3172009, 6805141}	{'uc2.ark+=13960=t6445n076'}		{'Second Empire, 1852-1870', 'France', 'History', 'IsBiographical'}	My literary life	1904
De Forest John William	B2164	{8500512, 4382121, 8773746}	{'nc01.ark+=13960=t3mw2v80v'}		{'United States', 'History', 'Civil War, 1861-1865'}	Miss Ravenels conversion from secession to loyalty	1867
Sabatini Rafael	B7420	{3202420}	{'mdp.39076005385476', 'mdp.39076005385484'}		{'History', '(OCoLC)fst00958235'}	The historical nights entertainment	1917
Robinson Emma	B7039	{4980864}	{'uc1.b4104307'}		{'Civil War, 1642-1649', 'History'}	Whitehall or The days of Charles the firstan historical romance	1853
Neale J M John Mason	B6183	{8637673}	{'uva.x030809870'}		{'History', 'Cyprian', 'Saint, Bishop of Carthage'}	The farm of Aptonga a story of the time of S Cyprian	1866
Scott Walter Sir	B7463	{5017772}	{'nyp.33433075744494'}	{'Bibliographies'}	{'Great Britain', 'Commonwealth and Protectorate, 1649-1660', 'History'}	Woodstock or The cavalierA tale of the year sixteen hundred and fiftyone	1826
Lyle Eugene P Eugene Percy	B4944	{9286660}	{'uc2.ark+=13960=t27941g0t'}		{'Mexico', 'History', 'European intervention, 1861-1867'}	The Missourian	1905
Glasgow Ellen Anderson Gholson	B3340	{6805130}	{'uva.x004274278'}		{'History', 'Civil War, 1861-1865'}	The battleground	1902
Dickson Harris	B2534	{6812392, 8877489}	{'nyp.33433074811245'}	{'History'}		The black wolfs breed a story	1899
Conner Rearden	B1661	{3233517}	{'uc1.$b56405'}		{'1920-', 'History'}	Shake hands with the devil	1934
Manning Anne	B5474	{4994546, 9159042}	{'nyp.33433074899000'}		{'Osborne, Edward', 'London (England)', 'History', '1530?-1591', '16th century'}	The colloquies of Edward Osborne citizen and clothworker of London	1860
Sienkiewicz Henryk	B7298	{3170310}	{'mdp.39015033132625', 'coo.31924014271260', 'mdp.39076007044808', 'uiuo.ark+=13960=t5bc3x12s'}	{'Historical fiction'}	{'Translations into Greek, Modern', 'Greek fiction', 'Polish fiction', 'Church history', 'Primitive and early church, ca. 30-600', 'Rome', 'Fiction in Polish, 1795-1919 - English texts', 'Nero, 54-68', 'History', 'Translations from Polish'}	Quo vadis	1896
Montagu Violette M	B5236	{6847150}	{'loc.ark+=13960=t4rj54j5c'}		{'Mme', 'Friends and associates', 'Court and courtiers', 'Biography', 'France', '1789-1815', 'Napoleon', '1769-1821', 'Nobility', '1752-1822', '(Jeanne-Louise-Henriette)', 'Campan', 'Louis XVI, 1774-1793', 'IsBiographical', 'History', 'Emperor of the French'}	The celebrated Madame Campan	1914
Fraser Hugh Mrs	B2674	{8949326}	{'mdp.39015010807835', 'mdp.39015010807827'}	{'Biography', 'Autobiography', 'History'}	"{'-1922', 'Description and travel', 'Fraser, Hugh', 'Biography', 'Mrs', ""Diplomats' spouses"", 'Social life and customs', 'History'}"	A diplomatists wife in many lands	1910
James G P R George Payne Rainsford	B4236	{5125664, 8690685}	{'nyp.33433074869128', 'mdp.39015036640459'}		{'1457-1482', 'Marie', 'Duchess of Burgundy', 'History'}	Mary of Burgundy or The revolt of Ghent	1833
Benson B K Blackwood Ketcham	B479	{9235632, 6833166}	{'njp.32101064787755'}	{'History'}	{'History', 'Civil War, 1861-1865'}	A friend with the countersign	1901
