author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Wells Charles	B8560	{8794453}		{'njp.32101065596205'}		Stories after nature		1879
Doyle Arthur Conan Sir	B2089	{3189442}		{'coo.31924013342724'}		Round the fire stories		1908
Huneker James	B3541	{6841891}	{'Short stories'}	{'mdp.39015031325718'}		Visionaries		1905
Gwynn Stephen Lucius	B3091	{6853942, 3176758}		{'nyp.33433074849377'}	{'Irish fiction'}	The glade in the forest and other stories		1907
Ollier Charles	B6241	{4994564}		{'mdp.39015011948372'}	{'Occultism', 'Supernatural'}	Fallacy of ghosts dreams and omens with stories of witchcraft lifeindeath and monomania		1848
Chekhov Anton Pavlovich	B1981	{8978427, 6893476, 8968197}	{'Short stories'}	{'uc2.ark+=13960=t8pc2xf8m'}		The darling and other stories		1904
Bates H E Herbert Ernest	B329	{3253580, 2491479}		{'inu.32000005543857'}		The woman who had imagination and other stories		1934
Bailey Carolyn Sherwin	B966	{3199974}		{'uc2.ark+=13960=t7fq9rn4z'}	{'Mythology, Classical', 'Juvenile literature'}	Wonder stories		1920
Fleming George	B2732	{3172146, 6766123}		{'nyp.33433074797675'}	{'American fiction'}	Little stories about women		1897
Sinclair May	B7622	{2445215}		{'uc1.b4088979'}		Uncanny stories		1923
Pulman Seraphima	B6773	{3217320}		{'mdp.39015008305347'}		Childrens stories from Russian		1917
Harris Frank	B3555	{9232252, 6795336, 6796300}		{'mdp.39015059403983'}		Montes the matador and other stories		1900
Carter Thomas	B1512	{6788203}		{'nyp.33433074914197'}	{'1564-1616', 'Shakespeare, William'}	Stories from Shakespeare		1910
Yeats W B William Butler	B9061	{6813986}		{'uc1.b4689255'}		Stories of Red Hanrahan		1904
Patten William	B6446	{6788536}		{'mdp.39015005601268'}	{'Short stories'}	Great short stories		1906
Hope Anthony	B3562	{8805838}		{'mdp.39015063513975'}		Sport royal  other stories		1895
Forster E M Edward Morgan	B2833	{2433619}		{'uc1.b3831923'}		The celestial omnibus and other stories		1923
Daryl Sidney	B2406	{9147146}		{'uva.x030804059'}	{'Short stories, English'}	Told in the twilight  or Short stories for long evenings		1868
Wharton Edith	B8885	{3213686}		{'mdp.39076000958863'}		Roman fever and other stories		1937
Laverton H S	B4947	{8880336}		{'uc2.ark+=13960=t2t43mg20'}		The romance of a hill station and other stories		1902
Japp Alexander H Alexander Hay	B4333	{2464013}	{'ContainsBiogMaterial'}	{'uc1.b4104160'}	{'(OCoLC)fst00030387', 'Hawthorne, Nathaniel', '1804-1864'}	Memoir of Nathaniel Hawthorne  with stories now first published in this country		1872
Yeats W B William Butler	B9008	{6813986}		{'njp.32101067487585'}		Stories of Red Hanrahan  The secret rose  Rosa alchemica		1913
Gingold Hlne	B3185	{8816345}		{'uc1.$b248388'}		Seven stories		1893
Douglas Robert K Robert Kennaway Sir	B2130	{8954680}		{'mdp.39015050627663'}		Chinese stories		1893
Smith Pauline	B7987	{3208353, 2451533}		{'uc1.$b105522'}		The Little Karoo stories		1952
Dickens Charles	B2433	{4416627, 4372876, 4853390}		{'nyp.33433076092968'}		Christmas stories Master Humph		1870
Becke Louis	B844	{8856324}		{'uc2.ark+=13960=t09w0k538'}		Rdan the Devil and other stories		1899
Becke Louis	B870	{6797794}	{'Novel'}	{'uc2.ark+=13960=t23b63t00'}	{'Oceania'}	Yorke the adventurer and other stories		1901
Steel Flora Annie Webster	B7963	{6737396}	{'Bibliographies', 'Folklore'}	{'inu.39000005528760'}		Wideawake stories  a collectio		1884
Maupassant Guy de	B5645	{2491258, 3239214}	{'Bibliographies'}	{'uc1.b4061792'}		Short stories		1893
Le Fanu Joseph Sheridan	B5184	{8517188}		{'mdp.49015001259663'}		In a glass darkly stories		1873
Harrison Burton Mrs	B3940	{3169689}		{'uc2.ark+=13960=t7mp4w713'}	{'Short stories, American'}	Short stories		1893
George Walter Lionel	B3292	{8984244}		{'uc2.ark+=13960=t8kd1tf9w'}		Olga Nazimov and other stories		1915
Böll Heinrich	B1171	{3186280, 8895770}		{'uc1.b3581535'}		The stories of Heinrich Böll		1985
Fletcher J S Joseph Smith	B2701	{3325048}		{'mdp.39015063918059'}		Behind the monocle and other stories		1930
Bottrell William	B538	{6662006}		{'nnc1.1000341738'}	{'Cornwall (County)', '(OCoLC)fst01330745', '(OCoLC)fst00995592', 'Legends', 'England'}	Traditions and hearthside stories of West Cornwall		1873
Tree Herbert Beerbohm Sir	B8033	{3207417}		{'mdp.39015014451259'}		Nothing matters and other stories		1916
Phillips David Graham	B6574	{3206175}		{'nyp.33433076049133'}	{'Short stories'}	Degarmos wife  and other stories		1911
Rossetti Christina Georgina	B6960	{8589110, 8821645, 6694702}		{'njp.32101068585437'}		Commonplace and other short stories		1870
Carleton William	B1938	{5249612}		{'uiuo.ark+=13960=t6446cc2s', 'uiuo.ark+=13960=t96694r3k'}		Traits and stories of the Iris		1830
Mason Eugene	B5369	{8965413}		{'njp.32101072852633'}	{'Translations into English', 'French literature', 'To 1500'}	Oldworld love stories From the lays of Marie de France  other mediaeval romances  legends		1913
Wells H G Herbert George	B8947	{3227810}	{'Short stories'}	{'mdp.39015046359942'}		The short stories of H G Wells		1927
Galt John	B3209	{6174116}		{'uc1.b3322689', 'uc1.b3322691'}		Stories of the study		1833
Kipling Rudyard	B4678	{3262315}		{'mdp.39015046486695'}		Soldier stories		1897
Maxwell W H William Hamilton	B5715	{8703144, 8198334}		{'uc2.ark+=13960=t3bz6638b', 'uiuo.ark+=13960=t67379r2v', 'uiuo.ark+=13960=t06w9wj7b'}	{'Waterloo, Battle of, Waterloo, Belgium, 1815'}	Stories of waterloo		1829
Eiríkr Magnússon	B2549	{6659526, 8524751}	{'Translations'}	{'mdp.39015028703083'}	{'Sagas', 'Translations into English', 'Old Norse literature'}	Three northern love stories  and other tales		1875
Verga Giovanni	B8384	{3230580}		{'uc1.b4047575'}		Cavalleria rusticana and other stories		1922
Dell Ethel M Ethel May	B2315	{3184125}		{'uc2.ark+=13960=t17m05d2v'}		The swindler and other stories		1920
Johnson Marjorie R	B4393	{6813514, 3178140}	{'Juvenile audience'}	{'uva.x002264909'}		Chinatown stories		1900
Lee Vernon	B5107	{6857107}		{'coo.31924013531722'}		Vanitas polite stories includi		1911
Lewis Wyndham	B4762	{3319691}		{'mdp.39015066051536'}		The wild body A soldier of humour and other stories		1927
Ouida	B6383	{8979638}		{'inu.32000006911582'}		Frescoes and other stories		1883
Mitford Mary Russell	B5635	{5001297, 6147194}		{'uc1.b3581552'}		Country stories		1837
Chambers Robert W Robert William	B1971	{3157365}	{'Mixed'}	{'mdp.39015073908066'}		Stories from The king in yello		1933
Dickens Charles	B2301	{8673249, 3171171}		{'uc1.b4102381'}		The mystery of Edwin Drood Reprinted pieces and other stories		1870
Stevenson Robert Louis	B7892	{8977149, 3184511}		{'pst.000062567183'}		Short stories of Robert Louis 		1894
Tolstoy Leo graf	B8061	{6826906}		{'nyp.33433034488381', 'mdp.49015002161553'}		The death of Ivan Ilyitch and other stories		1899
Onions Oliver	B6279	{6788376}		{'nyp.33433074961578'}		Back o the moon and other stories		1906
Lematre Jules	B5061	{3211883}		{'uc2.ark+=13960=t1dj5cf2j'}		Serenus and other stories of t		1920
Pomeroy William J	B6775	{5249612}	{'Short stories'}	{'uc1.b4223349'}		Trail of blame stories of the 		1971
Kipling Rudyard	B4665	{6727320}	{'Short stories', 'ContainsBiogMaterial'}	{'pst.000005312870'}		Lifes handicap  being stories 		1891
Mathers Helen	B5196	{6808861}		{'coo.31924013539360'}		The new Lady Teazle and other stories and essays		1904
QuillerCouch Arthur Thomas Sir	B6869	{3162461}		{'uc1.$b684707'}		The delectable duchy stories s		1893
Patten William	B6772	{6788536}	{'Detective and mystery stories', 'Ghost stories', 'Short stories'}	{'mdp.39015037368852'}		Ghost stories		1906
Lover Samuel	B5102	{8888517}		{'mdp.39015023153714'}		Further stories of Ireland		1868
Courtney W L William Leonard	B1338	{3198112, 6822667}		{'inu.30000010414443'}		The soul of a suffragette and other stories		1913
Andreyev Leonid	B40	{3266959}		{'njp.32101013651995'}		Silence and other stories		1910
Northcote James	B6132	{8248022}	{'Short stories'}	{'nyp.33433082131966'}	{'Provenance', '1836-1904', 'Fables', '(Frederick Andrew)', 'Inderwick, F. A'}	One hundred fables original and selected		1828
Blackwood Algernon	B493	{6688320}		{'njp.32101066164821'}		The listener and other stories		1907
Dickens Charles	B2431	{4416627, 4372876, 4853390}	{'Bibliographies'}	{'mdp.49015002482884', 'uva.x000393524', 'uc2.ark+=13960=t8df6pn46'}		Christmas stories from Househo		1870
Hampden John	B3769	{3216976}		{'pst.000009864269'}	{'Ghost stories'}	Ghost stories		1939
Grinnell George Bird	B2979	{8800346}		{'inu.30000055882736'}	{'Indians of North America', '1840-1885', '(Frank Joshua)', 'Folklore', 'Indians', 'North, Frank J', 'Pawnee Indians', 'Pawnee language'}	Pawnee hero stories and folktales with notes on the origin customs and character of the Pawnee people		1889
Tappan Eva March	B8094	{6747835, 6832847}		{'nyp.33433074384722'}	{'Collections'}	Stories from the classics		1907
Conrad Joseph	B1998	{6797377, 6782627}		{'pst.000019367736'}		Typhoon and other stories		1924
Garshin V M Vsevolod Mikhaĭlovich	B3071	{6753332, 3172791}		{'njp.32101067866648'}		The signal and other stories		1888
Linton E Lynn Elizabeth Lynn	B4887	{8655872}		{'uc1.$b285887'}	{'Great Britain', 'Witchcraft'}	Witch stories		1861
Steel Flora Annie Webster	B7317	{6737396}	{'Bibliographies', 'Folklore'}	{'inu.39000005528760'}	{'Punjab', 'Tales', 'India', 'Panjabis (South Asian people)', 'Folklore'}	Wideawake stories  a collection of tales told by little children between sunset and sunrise in the Panjab and Kashmir		1884
Yeats W B William Butler	B9062	{6813986}		{'njp.32101067487585'}		Stories of Red Hanrahan  The s		1913
English WateringPlaces	B2650	{8504293}		{'uiuo.ark+=13960=t2h71129f', 'uiuo.ark+=13960=t2697r19v', 'uiuo.ark+=13960=t6rx9vq4p'}		Love stories of the English wa		1869
Grand Sarah	B3460	{3176382}		{'uc1.b4102114'}		Our manifold nature stories fr		1894
Conrad Joseph	B1999	{6797377, 6782627}		{'mdp.39015066051338'}		Youth and other stories		1903
Jessup Alexander	B4233	{3205939}	{'Bibliographies'}	{'mdp.39015030995628', 'uc1.$b29729'}	{'Short stories'}	The book of the short story		1918
Turgenev Ivan Sergi︠e︡evích	B8055	{8855413}	{'NotBiographical'}	{'mdp.39015066294268', 'uc1.b3962020'}		The Jew and other stories		1883
Church Alfred John	B2005	{8617147, 8535159}		{'uc2.ark+=13960=t6b27wc7z'}		Stories from the Greek comedia		1893
Harte Bret	B3638	{3173384}		{'nnc1.cu11651725'}		A protégée of Jack Hamlins and other stories		1889
Ritchie Anne Thackeray	B6919	{6658923, 8968534}		{'mdp.39015062688000'}		Bluebeards keys and other stories		1875
Church Alfred John	B1809	{8617147}		{'uc2.ark+=13960=t92807p2g'}		Stories from Homer		1878
Church Alfred John	B1755	{8535159}		{'uc2.ark+=13960=t5cc0zw0m'}	"{'Greek drama (Tragedy)', ""Children's stories"", 'Juvenile literature'}"	Stories from the Greek tragedians		1880
Wells H G Herbert George	B8809	{6768317, 3157622}		{'uc2.ark+=13960=t6zw1n353'}		Twelve stories and a dream		1903
White Stewart Edward	B8963	{3166834}		{'nyp.33433076046337'}		Blazed trail stories and Stori		1904
Atherton Gertrude Franklin Horn	B16	{6812816}		{'mdp.39015005125573'}		The splendid idle forties  stories of old California		1902
Diver Maud	B2125	{2446588}		{'mdp.39015039646750'}		Siege perilous and other stories		1924
Gould Frederick James	B3350	{6838455}		{'wu.89097490858'}	"{'Moral education', ""Children's stories""}"	Stories for moral instruction  supplementary volume containing additional stories illustrative of the topics treated in the four volumes of The childrens book of moral lessons also The story of the Nibelungs		1909
Mme Girardin Emile de	B6038	{5005227}	{'Juvenile audience'}	{'nyp.33433075826275'}		Stories of an old maid related		1855
Mason Eugene	B6015	{8965413}		{'njp.32101072852633'}		Oldworld love stories From the		1913
Turgenev Ivan Sergi︠e︡evích	B8281	{8855413}		{'uc2.ark+=13960=t81j9qk9w'}		Phantoms and other stories		1883
Chisholm Louey	B1630	{3198968}	{'Juvenile audience'}	{'nyp.33433088074525'}	{'Storytelling', 'Fairy tales'}	A staircase of stories		1920
Lane Martha Luther	B5141	{3326408}	{'Juvenile audience'}	{'nyp.33433069242216'}		Stories for children		1895
Stimson Frederic Jessup	B7595	{6788657}		{'uc1.b3325089'}		Mrs Knollys and other stories		1897
Gould Frederick James	B3433	{6838455}		{'wu.89097490858'}		Stories for moral instruction 		1909
Irving Washington	B4176	{9224150}		{'mdp.39015066063598'}	{'Catskill Mountains Region (N.Y.)', 'Juvenile fiction', 'Van Winkle, Rip (Fictitious character)', 'Short stories'}	Rip Van Winkle Legend of Sleepy Hollow The devil and Tom WalkerThe voyageWestminster abbeyStratfordonAvonThe stout gentleman		1859
Hill Headon	B3776	{3148179}		{'uc1.$b251496'}		The divinations of Kala Persad and other stories		1895
Chekhov Anton Pavlovich	B1367	{8978427, 6893476, 8968197, 2484879}		{'mdp.39015018616576'}		The steppe and other stories		1904
Dickens Charles	B2162	{8856833, 4372876, 4853390, 6162707, 8544028, 8544167, 8982826, 8587840, 8708033, 8516163, 8473413, 8299205, 4362695, 8527949, 6669519, 9433680, 8459739, 8511835, 8523362, 8534507, 4416627, 8546173}	{'Bibliographies', 'Short stories'}	{'mdp.49015002396076', 'uva.x000366093'}	{'Christmas stories'}	Christmas books		1862
Carleton	B1937	{5249612}		{'nyp.33433074936158'}		Tales and stories of Ireland		1852
Chambers Robert W Robert William	B1408	{6697833}		{'mdp.39015063550027'}		A young man in a hurry and other short stories		1904
Lematre Jules	B4937	{3211883}		{'uc2.ark+=13960=t1dj5cf2j'}		Serenus and other stories of the past and present		1920
Craik Georgiana M Georgiana Marion	B1629	{9448432}	{'Juvenile audience'}	{'nyp.33433082531470'}		Playroom stories or How to mak		1863
Jacobs W W William Wymark	B4359	{8962248}		{'uc2.ark+=13960=t3tt4hn0k'}	{'Short stories'}	Night watches		1914
Picken Andrew	B6558	{5218920}		{'nyp.33433075766943'}	{'Genealogy'}	Traditionary stories of old families and legendary illustrations of family history with notes historical and biographical		1833
London Jack	B4720	{6793819, 6803100}	{'Short stories'}	{'mdp.39015005215341'}	{'Social life and customs', '20th century'}	The god of his fathers   other stories		1901
Capes Bernard Edward Joseph	B1521	{6779419}	{'Short stories'}	{'nyp.33433074935127'}	{'Fantasy fiction, English'}	At a winters fire		1899
Lynch Hannah	B4835	{8842703}		{'nyp.33433074879036'}		Dr Vermonts fantasy and other stories		1896
Yeats W B William Butler	B9054	{6734679}	{'Autobiography'}	{'wu.89000572610'}		The Celtic twilight Stories of		1908
Morrison Arthur	B5950	{9020483}		{'coo.31924013647411'}		The green eye of Goona stories		1905
Verne Jules	B8415	{3211883}		{'uc1.b3539939'}		Dr Ox and other stories		1905
Parker Gilbert Sir	B6466	{3158874}	{'Adventure stories'}	{'mdp.39015060797969'}		An adventurer of the North  being a continuation of the histories of Pierre and his people and the latest existing records of Pretty Pierre		1896
Seton Ernest Thompson	B7371	{3168436}	{'Juvenile audience'}	{'mdp.39015039600534'}	{'Animals', 'Folklore', 'Anecdotes', 'Animals, Legends and stories of'}	Wild animals I have known and 200 drawings  zbeing the personal histories of Lobo Silverspot Raggylug Bingo the Springfield fox the Pacing mustang Wully snd Redruff		1898
Balzac Honoré de	B982	{6552330}		{'uc2.ark+=13960=t8v982g7c'}		Droll stories collected from the abbeys of Touraine		1874
Volkmann Richard von	B8362	{9444068}		{'mdp.39015064543104'}		Fantastic stories		1874
Bellew Kyrle	B480	{9079873, 3185153, 8931755, 9348760}		{'njp.32101064787797'}		Short stories		1911
Stevenson Robert Louis	B7922	{3168019, 9024062}	{'Short stories'}	{'inu.30000110613647'}		The story of a lie		1894
Davis Julia	B2110	{3233830}	{'Juvenile audience', 'Juvenile literature'}	{'mdp.39015024085154'}	{'Juvenile fiction', 'Folklore', 'Vikings', 'Denmark'}	The swords of the Vikings  stories from the works of Saxo Grammaticus		1928
Gillie R C Robert Calder	B3090	{6815854}		{'nyp.33433068245376'}	{'Jesus Christ'}	The story of stories		1901
Maugham W Somerset William Somerset	B5433	{6779915, 3163180, 6774382}	{'Short stories', 'Short stories, English'}	{'nyp.33433074892724'}		Orientations		1899
Marryat Frederick	B5970	{3201000, 2437138, 9501831}		{'nyp.33433074880976'}		Stories of the sea		1836
Baynton Barbara	B668	{6805365}		{'nyp.33433074937370'}	{'Short stories'}	Bush studies		1902
Harris Joel Chandler	B3985	{8822905}	{'Mixed'}	{'uva.x000275026'}	{'Music', 'Folk songs, English', 'Animals', 'Southern States', 'African Americans', 'Remus, Uncle (Fictitious character)', 'Folklore'}	Uncle Remus and his friends old plantation stories songs and ballads with sketches of Negro character		1892
Fleming Rachel M Rachel Mary	B2727	{3225642}	{'Bibliographies'}	{'njp.32101068185956'}	{'Folklore'}	Stories from the early world		1923
Doyle Arthur Conan Sir	B2284	{6781457}		{'uc1.32106001934915'}	{'War stories, English', 'Social life and customs', 'Sports stories, English', '19th century'}	The green flag and other stories of war and sport		1900
Carson Josephine	B1996	{6797377, 6782627}		{'uc1.32106015602987'}		Dog star and other stories		1998
Pain Barry Eric Odell	B6629	{6760817}		{'uc1.b4104954'}		Stories and interludes		1892
Clark Barrett H Barrett Harper	B1923	{2453586, 3215255}		{'pst.000045746260'}		Great short stories of the wor		1925
Twain Mark	B8095	{3152192}		{'nyp.33433074798046'}		The £1000000 banknote and other new stories		1893
Grinnell George Bird	B3421	{8800346}		{'inu.30000055882736'}		Pawnee hero stories and folkta		1889
English WateringPlaces	B2612	{8504293}		{'uiuo.ark+=13960=t2h71129f', 'uiuo.ark+=13960=t2697r19v', 'uiuo.ark+=13960=t6rx9vq4p'}		Love stories of the English wateringplaces		1869
Andersen H C Hans Christian	B208	{8716369}	{'Juvenile audience'}	{'nyp.33433082526082'}		Wonderful stories for children		1846
Twain Mark	B8012	{8967624}		{'coo.31924021964063'}	{'Joan', 'Description and travel', 'Voyages around the world', 'Christian Science', '1412-1431', 'Humorous stories, American', 'Short stories', 'of Arc, Saint'}	The man that corrupted Hadleyburg  and other stories and sketches		1900
Taylor Una	B8088	{8856873, 3146650}		{'nyp.33433035527302'}	{'Short stories, Italian', 'Translations into English', 'Love stories, Italian'}	Early Italian love stories		1899
Besant Walter Sir	B931	{8631521}		{'uc2.ark+=13960=t5bc41d87'}		The ten years tenant and other stories		1881
Wharton Edith	B8488	{8868900, 6770277}	{'Short stories'}	{'mdp.39015010759838'}		The greater inclination		1899
Hickins Michael	B4103	{8999401, 8437741}	{'Short stories'}	{'mdp.39015061017847'}		The actual adventures of Micha		1991
Firdawsī	B2664	{9091124}		{'inu.39000004449364'}		A Persian hero  stories from the Shah Nameh		1912
Maupassant Guy de	B5892	{2491258, 3239214}		{'uc1.32106005379232'}		88 short stories		1893
Pulman Seraphima	B6447	{3217320}		{'mdp.39015008305347'}	{'Fairy tales'}	Childrens stories from Russian fairy tales and legends		1917
Galt John	B3040	{5145045}		{'nyp.33433074855143', 'nyp.33433074855168', 'mdp.39015063967296'}		Rothelan  a romance of the English histories		1824
London Jack	B5067	{6817241}	"{'New York', 'New York (State)', 'Short stories', ""Publishers' advertisements""}"	{'mdp.39015005450922', 'mdp.49015000998790'}		Love of life and other stories		1906
Chattin John	B1932	{3216976}	{'Short stories'}	{'mdp.39015074235592'}		Cars go fast  stories		2007
Ivanov Vsevolod Vi͡acheslavovich	B4189	{6753332, 3172791}	{'Bibliographies'}	{'mdp.39015047065274'}		Fertility and other stories		1963
White Stewart Edward	B8650	{3166834}		{'nyp.33433076046337'}		Blazed trail stories and Stories of the wild life		1904
Hudson W H William Henry	B3716	{8993866}	{'Juvenile audience'}	{'nyp.33433074872155'}	{'Short stories'}	Tales of the Pampas		1916
Beech William	B1152	{6788536}		{'mdp.39015049886388'}		Great French short stories		1928
Haggard H Rider Henry Rider	B3797	{3174390, 6784807}		{'uc1.32106001937835'}	{'(OCoLC)fst01184885', '(OCoLC)fst01239509', 'Zulu (African people)'}	Black heart and white heart  and other stories		1900
Kendall Edward Augustus	B4479	{4566087}	{'Juvenile audience'}	{'hvd.hn2he3'}	"{'Conduct of life', ""Children's stories"", 'Juvenile literature'}"	The stories of Senex or Little histories of little people		1800
Cutting Mary Stewart Doubleday	B1355	{6693874}		{'mdp.39015007000402'}		Little stories of courtship		1920
Mason A E W Alfred Edward Woodley	B5445	{3152218, 8879059}	{'Mystery and detective fiction', 'Great Britain'}	{'nyp.33433074893409'}		Ensign Knightley  and other stories		1901
De la Mare Walter	B2276	{3326408}		{'uc1.$b499194'}	{'Bible', 'O.T', 'History of Biblical events', 'Bible stories, English'}	Stories from the Bible		1929
Bayley F W N	B1034	{6115578}		{'uiuo.ark+=13960=t4nk3mt8v', 'uiuo.ark+=13960=t3kw5p40t'}	{'Prisons', 'Great Britain', 'Debt, Imprisonment for', 'London', 'England'}	Scenes and stories		1835
Hansen Joseph	B4095	{6797377, 6782627}	{'Short stories'}	{'mdp.39015058065973'}		The dog  and other stories		1979
London Jack	B4726	{6817241}		{'mdp.39015009178263'}		Moonface and other stories		1906
Dickens Charles	B2436	{4416627, 4372876, 4853390}		{'nnc1.cr59867183'}		Twelve Christmas stories		1870
Lambton Antony	B5168	{8805838}		{'mdp.39015018984081'}		Pig and other stories		1990
Freeman Mary Eleanor Wilkins Mrs	B2796	{6814738, 8861819, 3269943}		{'nyp.33433076090673'}	{'American fiction'}	The Love of Parson Lord and other stories		1900
Pease Howard	B6688	{3216603}		{'uc2.ark+=13960=t7np1xq4d'}	{'Ghost stories'}	Border ghost stories		1919
Northcote James	B6223	{8248022}	{'Short stories'}	{'nyp.33433082131966'}		One hundred fables original an		1828
Marston Philip Bourke	B5625	{6731091}		{'uc1.b3327373'}		For a songs sake and other stories		1887
Kipling Rudyard	B4515	{6731552, 3162037}	{'Fantasy fiction', 'Bibliographies', 'Juvenile audience'}	{'mdp.39015065540133'}	"{'Mowgli (Fictitious character)', 'Animals', 'Jungles', 'Boys', 'Jungle animals', 'Juvenile fiction', ""Children's stories, English"", 'Folklore', 'Feral children', 'Inlaid binding', 'Short stories', 'Adventure stories, English'}"	The jungle book		1894
Mathew Frank James	B5867	{3171369}		{'uva.x030741572'}	{'English fiction'}	At the rising of the moon  Irish stories and studies		1893
Pittenger Lemuel Arthur	B6595	{8987816}		{'nyp.33433082520499'}	{'Short stories'}	A collection of short stories		1913
Lover Samuel	B5103	{8888517}		{'wu.89090379819'}		Legends and stories of Ireland		1837
Du Chaillu Paul B Paul Belloni	B2259	{8658933}		{'nyp.33433082450580'}	{'Gorilla', 'Description and travel', 'Juvenile literature'}	Stories of the gorilla country		1869
Turgenev Ivan Sergi︠e︡evích	B8280	{8855413}	{'Bibliographies'}	{'mdp.39015007044152', 'uc1.32106012004831'}		First love and other stories T		1883
Harte Bret	B4024	{3213686}		{'mdp.39015063921087'}		Trents trust and other stories		1902
McCullough Annie Willis	B5695	{3206930}		{'uc2.ark+=13960=t1wd3tf62'}	{'Reading (Elementary)'}	Little stories for little people		1902
Picken Andrew	B6783	{5218920}		{'nyp.33433075766943'}		Traditionary stories of old fa		1833
Church Alfred John	B2083	{8617147}		{'nyp.33433082190251'}		Stories from Virgil		1879
London Jack	B5068	{6817241}		{'mdp.39076006267459'}		White Fang and other stories		1916
Harte Bret	B4022	{3213686}		{'njp.32101018263028'}		Barkers luck and other stories		1896
Harte Bret	B4023	{3213686}		{'njp.32101068599024'}		Flip and other stories		1902
Dickens Charles	B2159	{8856833, 4372876, 4853390, 6162707, 3189524, 3206547, 8544028, 8544167, 8982826, 8587840, 8708033, 8516163, 8473413, 8299205, 4362695, 8527949, 6669519, 3295184, 9433680, 8459739, 8511835, 8523362, 8534507, 3202927, 4416627, 8546173}	{'Short stories'}	{'mdp.39076006604495', 'njp.32101045671581', 'mdp.39076006604545', 'uc1.b4456984', 'njp.32101075374114', 'nyp.33433074954359'}	{'Christmas stories, English'}	Christmas stories		1857
Turgenev Ivan Sergi︠e︡evích	B8162	{8851170, 6790583}	{'NotBiographical'}	{'uc2.ark+=13960=t0pr83m4v', 'uc1.b3961966'}		The diary of a superfluous man  and other stories		1883
Cram Ralph Adams	B1426	{3179508}		{'njp.32101007065418'}		Black spirits  white  a book of ghost stories		1895
infante of Castle Juan Manuel	B9106	{8500689}		{'njp.32101073017129'}		Count Lucanor or The fifty pleasant stories of Patronio		1868
Willoughby George	B8635	{9087586, 9104510}		{'nyp.33433075772529'}	{'English fiction'}	The adventures and other stories		1913
