,"Topic_Num","Topic_Perc_Contrib","Keywords","possible genres","Text"
3,3,0.4015,"jewish, make, story, people, american, move, finally, polish, form, bear",,"Epstein's book is so large and musical and atremble with horrible imagination that only the iron-hearted will come away unshaken. An unnamed Polish city, like all the others during World War II, creates its walled ghetto--the Baluty suburb--and, under direction of the Nazis (""""the Others"""") forms a Judenrat, a self-governing council to oversee the Jews' own decimation. Chosen council elder is Trumpelman, a quack doctor and insurance swindler but also the one Jew in the Balut whose personality is spacious and flamboyant enough to seem vaguely messianic. With Trumpelman in charge (his picture appears on the newly minted ghetto money--Trumpkies--and stamps) maybe everything may tuna out all right. Then the Judenrat is asked to start providing quotas of Jews for """"relocation,"""" for """"farm work."""" Who among them could made such a pernicious list? Only Trumpelman: to save a thousand, he'll sacrifice fifty; to keep ten thousand, five hundred; to spare fifty thousand. . . it never ends. Eventually the Jews rebel--there's a general strike--but it's over quickly, and resistance concentrates into cells of boy-partisans. Epstein's scenes of self-defensive sanity--a wedding, a jerry-built production of Macbeth--are especially moving: culture as a last, illusionary tie to life. The sumptuous, Bellovian language here may make some people uneasy: accounts of the Holocaust, real or imagined, are usually more spare and numbed, never so operatic. But Epstein's narrative drive is affecting--it apes Trumpelman's own desperate attempts to hold on to life--and the vividness makes the pity and tragedy pulse."
31,31,0.3944,"ship, adventure, man, sea, water, island, crew, boat, storm, mile","sea stories","In this latest chapter in the Dirk Pitt saga (Raise the Titanic!, Cyclops)--which finds the recovery mariner seeking a truly mind-boggling treasure--Cussler pumps out yet another preposterous plotboiler with uncappable good cheer. Its cartoon characters speaking in balloons, the story--whether flying or submerged--is much like a Classic Comix version of Jules Verne's novels of fantastic transportation. It begins in antiquity, with Theodosius about to burn the library at Alexandria. A rogue fleet sets sail bearing the cream of the library's artifacts and scrolls, including the complete works of Homer in 27 books and the coffin of Alexander (with the world conqueror himself inside). Many weeks later the ships manage to bury their treasure in a remote land, but all except one of the ships and their crews are lost when attacked by savages (actually Aztecs). The lone ship to escape later freezes in ice near Green-land, its passengers preserved perfectly. Two millenia later, Dirk Pitt discovers the the frozen vessel while looking for a lost Russian nuclear sub under the Arctic ice. Meanwhile, an Islamic terrorist group tries to kill the female Secretary of the United Nations, a beautiful Egyptian, by crashing her jet into the Arctic ice. Not only does Dirk hear the plane go down, so does a group of archaeologists on a nearby island. At the same time, in Mexico, a messianic Aztec has arisen and plans to take over the country. Later, he even invades Texas. A map Dirk finds on the frozen Byzantine ship now leads him to Roma, Texas, since it is clear that the fleeing Alexandrians have sailed up the Rio Grande and buried their loot in a Texas hillside. Does the thoughtful reader now explode with tears of appreciation for such zestful nonsense? Many will, many will!--especially when our hushed President is at last shown the golden casket of Alexander the Great: ""The President felt as if he was about to meet God."" Titantic. Just titanic."
63,63,0.3929,"faith, religious, priest, church, spiritual, religion, catholic, find, miracle, vision","religious novel","These are five recent short stories (from The New Yorker, The Kenyon Review, The Southern Review and Cosmopolitan) by Mary Lavin, whose work has been favorably compared to that of Joyce and Hemingway. With a confident, free touch, Miss Lavin probes for the central spirit in her characters that lies buried in their daily lives and interloping relationships. In the title story, grown children grope to accept their mother's energetic insistence upon happiness as a philosophy that demands """"effort"""" not """"flair,"""" despite successive tragedies. The study of """"The New Gardener"""" balances strict, economical narrative with gently placed intuitions of what is not told--the long, sickle-shaped scar on his little girl's arm, or the absence of a mother. The deep hatred that binds a married couple explodes in """"One Evening"""" to sever a son's indenture to his mother. """"A Pure Accident"""" occurs when an embittered failure of a priest lies in wait for the poor-box thief. And """"The Lost Child"""" very nearly becomes the lost faith in the single day that a young wife converts to her husband's Catholicism and suffers a miscarriage. Miss Lavin's traditional stories, singularly Irish in tone and character, are firmly placed in the human experience."
28,28,0.3859,"good, friend, big, kid, lot, bad, talk, thing, make, nice",,"Hip-hop heaven. That�۪s where Mimi wants to be, among the gods and goddesses of black music, dating eight-figure niggas and living large. Growing up in Toledo, Ohio, without her Haitian father, who walked out long ago on her Italian-American mother, she knows she�۪s not entirely black, but she�۪s sure as hell not white either. Segue to New York, where Lamont Jackson, a hustling music producer thinks Mimi just might be the next big thing. He sets out to improve her image and get her noticed. Posh parties with thugillionaires get her face in the papers, but a pretty face isn�۪t enough. Lamont�۪s birthday present to Mimi: new boobs. Other big decisions loom: rhinestones on the fake fingernails or just French tips? Straight bleached-blond extensions or natural curls? Lamont oversees the process, glamming Mimi up big-time, though he insists that she dress like a Catholic schoolgirl after midnight, in short plaid skirt, bobby socks, and saddle shoes, and that she call him Daddy at climactic moments. Mimi, a practical gal, doesn�۪t mind much. It saves time and gets her what she wants: lots of oral sex. She brags to her girlfriends, who gather regularly for gossipy, backstabbing shriekfests, that ���Lamont eats her out with the ferocity of a famine victim presented with a steaming bowl of rice.�۝ But she�۪s no fool, and it�۪s clear these raunchy ways and constant couplings might not be a forever kind of love, so Mimi casts wayward looks at reclusive genius Gemini, another producer, who�۪s holed up in a filthy mansion with his all-male posse. Could Gem be The One? Maybe���if one of his ubiquitous homies could be persuaded to change the sheets. A cast of thousands in ghetto-fabulous attire talk nonstop, drop designer names, and worry �۪bout running red lights in they limos, but it don�۪t add up to much in this dull first novel. Bling is just plain bland."
65,65,0.3848,"good, year, grace, author, reader, time, number, sort, provide, include",,"Without the frame or the focus that loosely held Centennial together, this massive but arbitrarily fragmented East-Coast community history--a Maryland island, 1583-1978--is almost devoid of traditional novelistic pleasure. The hundred or so characters are firmly presented as types (e.g., ""Bartley Paxmore, at thirty-one, was the new-style Quaker""), most of them members of three representative families: the Catholic, landowning, upper-class progeny of Edmund Steed, who explored the Chesapeake with John Smith in 1608; the dumb but spirited lower-class progeny of Timothy Turlock, who came to Maryland as an indentured servant; and the steady, middle-class, shipbuilding progeny of Quaker Edmund Paxmore, who was dumped in Maryland in 1661 after extensive Massachusetts whippings. Over the years, these clans must deal with pirates, storms, incest, sexism (yes, many of the women here are unlikely feminists), bastards born of philandering, the Revolution (all three broods eventually join in, even the royalist Steeds), and--about half the book--the slavery question. The Turlocks are slimy slave traders, the Steeds are gentle slave owners, the Paxmores are fierce abolitionists, and--in a rather shameless lift from Roots--the Caters are slaves who are seen under the whip and under the covers, in Mandingo-style triangles (""You want to stay longer, honey?""). On to the Civil War (eight pages), the oyster-dredging business, and the 20th Century--which is reduced to three bizarrely selective vignettes: a Paxmore rescuing 40,000 Jews from Hitler, the desegregation struggle, and. . . Watergate, with another Paxmore committing suicide over his White House involvement. As fiction, then--shallow and sketchy throughout, with no theme (except ""It's gone. It's all gone"") to link or enrich the melodramatic episodes. Nor does all of Michener's digested research produce painless fact feasts: much reads like a junior-high text (""Three reasons accounted for this""); the guest appearances by such as Henry Clay and Geo. Washington (""Your deal, General"") seem silly; and the dialectic debates on religion and slavery are dull. But on such matters as shipbuilding, oystering, duck-hunting, Jimmy the blue crab (""that delicious crustacean""), and Onk-or the goose, Michener is a grand popularizer of craft and science. That considerable gift, together with the immense Michener clout, is sure to send millions of readers plunging into what seems like a million blandly readable pages of humdrum history and formula fiction."
23,23,0.3835,"dream, strange, fantasy, world, turn, odd, begin, tale, mysterious, full",,"Veteran English feminist novelist Figes (Waking, 1981; Light, 1983; The Seven Ages, 1986) takes her talent for minimalist psychological sketches in an eerie, often ineffective portrait of an elderly woman robbed of her identity. """"[The hotel clerk] watched my hand slide across the page as I signed a false name and address""""--so begins the amnesiac journey of Nelly, a """"lumpy,"""" withered conventional-minded widow (as it turns out) who discovers herself in a provincial English hotel with no memory of how she arrived there, who she is, or why she is carrying a suitcase full of cash. All she knows is that she can't rid herself of a sensation of waiting for someone to arrive--a contact, she thinks, to explain and possibly take away the cash. During the days of Nelly's waiting, she wanders the lanes of the small town near the hotel, and meets people who seem to recognize her--though always with some disturbing, indecipherable emotion or gruesome aftermath. (One day, an old woman who seems to be Nelly's childhood playmate is beaten just after Nelly leaves her, and an empty house she straggles through is immediately burned to the ground.) Eventually, a callow, conventional young man arrives, claiming to be Nelly's son, and for lack of any strong resources of resistance, Nelly falls into the life he and the other people she has encountered claim is hers: widow, mother, lonely old woman ensconced in an eerily echoing house somewhere on the outskirts of--well, everything. One explanation of all this is that Nelly has been ill and lost her memory--or, at least, most of it: Nelly is her name. Another is that the author intends to give us a grim portrait of an old woman in a cruel, depersonalized world. Either way, sour, suspenseless reading; and what does happen to the cash?"
41,41,0.3633,"mystery, murder, find, secret, case, plot, miss, lead, suspect, disappear","detective fiction","Ratiocination king Queen�۪s third case, originally published in  1931, finds him fortuitously on the scene minutes after strangling makes the  scheduled surgery on a high-profile hospital patient unnecessary. Wealthy philanthropist Abigail Doorn has been such a durable  patron saint of the Dutch Memorial Hospital, and in particular of head surgeon  Dr. Francis Janney, that when she goes into a diabetic coma, tumbles down a  flight of stairs, and ruptures her gall bladder, there�۪s no question where  she�۪ll go for treatment or who�۪ll perform the surgery. Ellery Queen, who�۪s  dropped in to ask his old friend Dr. John Minchen a technical question about  rigor mortis and then accepted his invitation to stay and watch the procedure,  happens to be on hand when Abby is wheeled into the operating theater,  unveiled, and found to be dead, a loop of wire embedded in her neck. The  initial evidence seems to point the finger at Janney himself, but a brisk round  of questioning and a search of the surrounding rooms indicate that the  hospital�۪s leading benefactor was murdered by someone impersonating her  favorite doctor, someone who left behind a hastily basted set of white duck  trousers and a pair of shoes that become the principal, and virtually the sole,  clue to the mystery. The suspects, as usual in the early Queens (The Chinese  Orange Mystery, 1934/2018,  etc.), are forgettable, and the potential motives straight off the rack. But  the consistent emphasis on the hospital�۪s rigorous routine not only provides  important evidence, but makes Ellery seem relatively less stiff than usual,  though it�۪s still hard to forgive the constant drip of quotations presumably  meant to indicate his irresistible erudition. As for the solution that follows Queen�۪s signature ���Challenge to  the Reader,�۝ it�۪s one of Ellery�۪s brainiest, built on a slender foundation but  expounded at such exhaustive length that only the most churlish readers would  think of resisting it."
45,45,0.3586,"hope, life, world, find, dream, love, give, lose, live, young",,"Time passes: nothing better can be said of it,"""" is the sum and core of this new collection of stories by the Australian recipient of the 1973 Nobel Prize and also epitomizes his way of putting a spin on traditional expressions and received ideas. The protagonists of the novella-length """"A Woman's Hand,"""" """"Five-Twenty,"""" """"Sicilian Vespers,"""" and the title story are ordinary middle-aged bourgeois couples so bound by convention there is no consolation in living. Love, as one of them guesses, seems to have been """"strangled -- or worse, deformed, in both of them, at birth,"""" and what they have instead is a straitjacket of habit. """"The Cockatoos"""" alone offers a vision -- the only vision the residents of this neighborhood of """"good addresses"""" will ever have. The wild, vagrant birds are screeching dazzlers who, despite their kind eyes, slash and """"menace one another like human beings."""" """"The Night the Prowler"""" focuses on a child of the middle class, a marriageable young girl whose """"rape"""" leads into an increasingly surreal world of negation and squalor. The combination of hard realism, symbolism, interior monologue, lyricism and every other strategy and skill is sui generis. White is a shifty, complex artist with the ability to hit and run at any point in his narrative -- maintaining a distance from emotional involvement while inexorably tightening those screws."
30,30,0.3537,"sex, sexual, gay, male, homosexual, scene, obsession, sexually, bed, body","erotic fiction","An erotic fairytale by a pseudonymous, well-known woman writer""""--who has good reason to remain pseudonymous. The Sleeping Beauty here is, as usual, awoken by """"The Prince."""" In Roquelaure's version, however, the Prince doesn't just kiss: he deflowers, then spanks Beauty--and takes her off to his Queen Mother's castle for 200+ pages of sadistic degradation. Various men and women get to abuse Beauty with paddles, whips, clamps, and leather belts. Beauty is forced to observe the degradations of other royal sex-slaves--especially the myriad varieties of anal rape administered to one Prince Alexi. The Queen herself gives Beauty a rough/tender going-over--with some lesbian-threesome action. Beauty licks many a leather boot, visits the Hall of Punishments (don't ask). And she's last seen on her way to the dreaded Village--where the sex is supposedly even more brutal than at the castle. A graphic but unstylish addition to the pleasure/pain porno shelf--and, except for those who share the author's obsessions, about as erotic as herpes."
11,11,0.3488,"experience, life, personal, emotional, group, theme, form, study, present, separate",,"Pirandello is best known in this country as a playwright. This collection of 22 short stories all but one appearing in English for the first time, has been written over a period of 22 years. The stories are divided into four sections: Sicilian Tales, Tales of Humor and Irony, of Frustration, of Anguish and Hope. The Sicilian Tales are stories intimately involved with nature and natural forces: in Who Pays the Piper a son, sharpening his knife with a vengeance, terrorizes his family, only to kill his stepmother's fat sow for a family feast; Fumes is beset with the dangers of sulphur mining; and A Mere Formality concerns the exploitation of men and land. The Tales of Humor offers Examination in which a fiancee, discovering that her intended has been dallying away his study time, breaks their engagement, freeing the """"student"""" both of herself and the """"examination"""". Tales of Fstration, Anguish and Hope provide situations of misunderstandings; curious love, as in Candelora, who loved a man who could only abide her as long as he remained indifferent to her; isolation, of the aged and the young; estrangements between loved ones. One theme remains constant: that individuation necessarily entails loss -- of communion, of understanding and that this is the unalterable human condition. One simply accepts it. A wide selection of Pirandello's less well-known work has been provided here by the translator, Lily Duplaix, and the result, while uneven, is of value."
24,24,0.3347,"political, country, chinese, politic, force, government, american, power, social, revolution","historical novels","Farah is a Somalia-born writer/academic, a former employee of a ministry in the Somali Democratic Republic. And this demanding fourth novel--his first to reach the US--takes a close-up view of a half-dozen intellectual/liberated Somali women: their various levels of rebellion against the Soviet-backed dictatorship of """"the General"""" and his tribal oligarchy; their more fundamental rebellion against tribal/family pressures--with the issue of female circumcision a dominant theme throughout. The deepest focus is on beautiful, brilliant Medina, a leading journalist who has lost her job (her work has been banned by the regime)--and has just left her weak husband Samater, newly appointed Minister of Constructions for the government. Why has Medina walked out on him? Because of his smarmy kowtowing to the """"fascist"""" General? Or because of her longtime conflict with Samater's imperious mother Idil? (She's a nomadic sort--unlike Medina's own home-bound Yemeni mother--who trumpets the virtues of traditional Somali culture. . . and has been pushing for the circumcision of Medina's eight-year-old daughter Ubax.) Meanwhile, as Medina ponders this new situation and dotes on Ubax, her young quasi-proteg�ĉۡe Sagal wrangles with her dominating mother--naively flirting with dangerous rebellion: she plans either to join the anti-government underground or to defect while competing abroad as a swimmer. And Medina's circle of friends includes other variations on rebellion/compromise: Amina, daughter of a government biggie, was revenge-raped by three of the General's victims--and insisted on bearing the resulting child (""""I want everyone to know. I want every Somali to see the political significance""""); popular actress Dulman has had her career sabotaged by the General; Atta, a black American, sees everything in terms of race (Medina lectures her on the universality of suffering, with female circumcision as the example); and Italian journalist Sandra has become a jargon-spouting flak for the General. Eventually there's a small flurry of drama here: several of the characters--including, surprisingly, Samater--are arrested for anti-regime activities, so Medina is jolted into active rebellion. (""""No, she wasn't a guest any more. She was a full and active participant in the history of her country."""") But for the most part this is a static, densely talky examination of a complex political/social/sexual subculture; and though occasionally pretentious in its metaphor-laden, allusive prose, it offers subtle, thoughtful rewards to readers with a strong interest in Third World politics, African feminism, or tribal cultures in transition."
5,5,0.3344,"great, play, music, time, make, end, world, thing, part, high",,"    Vienna, on the eve of WW I, home to Freud, Mahler, and Wittgenstein, was the apex of European civilization. It was also, as the hub of the last Habsburg Empire, the rotting, living-dead core of ancien-r��gime Europe. Tumultuous, manic, and loosed from its traditional moral and spiritual moorings, Vienna was a fertile breeding ground not only for genius but also for defensive provincialism and, ultimately, fascism. That Vienna is the setting of this most celebrated of seldomly read novels, released in a new translation by Sophie Wilkins and Burton Pike and available in its entirety for the first time in English. Begun in the early 1920s, the first volume was published in 1930 and remained unfinished when Musil died in 1942. In 1932, Musil wrote in a notebook about this never-ending project: ``What the story that makes up this novel amounts to is that the story that was supposed to be told in it is not told.'' The closest thing to a human protagonist is Ulrich, the so-called man without qualities, a skeptic who views with irony the Austro-Hungarian Empire's attempts to match the patriotism of the newer German state on its border. Meanwhile, he's obsessed with the celebrated case of a mass murderer named Moosbrugger (M, Fritz Lang's famous film, was similarly obsessed). But the real protagonist is a dying culture, represented by Vienna. This novel marks Musil, albeit unwittingly (he hated Joyce and loved the 19th- century Russian novelists), as the high priest of German modernism (see Arno Schmidt's Collected Novellas, p. 1371). The book opens with an almost God's-eye view: ``A barometric low hung over the Atlantic. It moved eastward toward a high-pressure area over Russia without as yet showing any inclination to bypass this high in a northerly direction.'' From the heavens, the book swoops down to the minutest psychological details in an effort to bring every possible aspect of human and natural existence under the domesticating control of art."
