"seq"	"PubYear"	"RecordID"	"RecordTitle"	"Title"	"bookauthor"	"bookdate"	"booktitle"	"isfiction"	"howpositive"	"genresnamed"	"comments"
134	1896	6765614	"Kriegspiel: The War-Game."	"The Academy, 1869-1902, 0269-333X"	"Groome, Francis Hindes"	1896	"Kriegspiel: the war game"	"y"	4		
135	1878	8626140	"The Ranger's Lodge; a Romance."	"Examiner"	"Kettle, Rosa Mackenzie"	1878	"The ranger's lodge; a romance"	"y"	5		
136	1843	4445474	"Tales of the Colonies; of the Adventures of an Emigrant."	"Tait's Edinburgh magazine"	"Rowcroft, Charles"	1843	"Tales of the colonies, or, The adventures of an emigrant"	"y"	3		
137	1813	8180318	"33. A World without Souls."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"	"Cunningham, J. W. (John William)"	1808	"A world without souls"	"y"	1		
138	1901	6796317	"THE LITTLE FLOWERS OF SAINT BENET."	"The Academy, 1869-1902, 0269-333X"	"of Assisi, Saint, Francis"	1900	"The little flowers of Saint Francis of Assisi"	"y"	4		
139	1828	5220090	"The Voyage of Captain Popanilla."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Earl of Beaconsfield, Disraeli, Benjamin"	1828	"The voyage of Captain Popanilla"	"y"	3		
140	1854	5870256	"Tom Thornton; or, Last Resources."	"The New quarterly review and digest of current literature, British, American, French, and German"	"THORNTON, Tom"	1854	"Tom Thornton, or Last Resources"	"y"	2		
141	1834	4485931	"Allan Breck."	"Bell's literary intelligence and new national omnibus"	"Gleig, G. R. (George Robert)"	1834	"Allan Breck"	"n"			
142	1869	4384134	"IN SILK ATTIRE."	"The London review of politics, society, literature, art, and science"	"Black, William"	1869	"In silk attire. A novel"	"y"	3		
143	1867	8493472	"Letters from Hell."	"Examiner"	"Thisted, Valdemar Adolph"	1866	"Letters from hell"				
144	1807	5683434	"I. An Account of the Life and Writings of Hugh B ir, D.D. F.R.S..; one of the ministers of th High Church, and Professor o Rh toric and B lles Lettr s in t U sity of Edinbu gh."	"scots magazine and Edinburgh literary miscellany, Jan. 1804-July 1817"	"Sterne, Laurence"	1804	"Some account of the life and writings of Mr. Sterne. The life and opinions of Tristram Shandy, gentleman"				
145	1818	5170256	"Narrative of a Journey in the Interior of China, &c."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Louis"	1823	"Narrative of a journey to Brussels and Coblentz, 1791"				
146	1831	5222166	"At Home and Abroad."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Eaton, Charlotte A"	1831	"At home and abroad"				
147	1867	8498306	"Theatre Francais Moderne."	"Examiner"	"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie"	1879	"The Theatre francais in the reign of Louis XV"				
148	1812	6298159	"Salmagundi; or the Whim Whams and Opinions of Lancelot Langstaff, Esquire, and others."	"The scourge, or, Monthly expositor of imposture and folly, 1811-1813"	"Irving, Washington"	1835	"Salmagundi; or, The whim-whams and opinions of Launcelot Langstaff, esq.[pseud.] and others ... First series"				
149	1839	5224925	"Historical Sketches of Statesmen who flourished in the time of George III."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Lee, Hannah Farnham Sawyer"	1838	"Historical sketches of the old painters"				
150	1859	5008529	"Book review"	"The Critic"							
151	1807	8360014	"47. The Panorama for Youth."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"	"Miss Stockdale, (Mary R.)"	1816	"The panorama of youth"				
152	1848	4988420	"Savindroog; or, the Queen of the Jungle."	"Critic of books, society, pictures, music and decorative art, 1848-1849"	"Rafter"	1848	"Savindroog, or, The queen of the jungle"				
153	1813	8488275	"70. A Voyage round the World, in the years 1800, 1801, 1802, 1803, and 1804; in which the Author visited Madeira, the Brazils, Cape of Good Hope, the English Settlements of Botany Bay and Norfolk Island, and the principal Islands of the Pacific Ocean: with a Continuation of their History to the present Period."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"	"Defoe, Daniel"	1809	"A new voyage round the world"				
154	1870	6540954	"Life and Letters of Faraday."	"The Academy, 1869-1902, 0269-333X"	"Marryat, Florence R. M. Church Lean"	1872	"Life and letters of Captain Marryat"				
155	1898	3421287	"THE PRIDE OF JENNICO."	"Cosmopolis"	"Castle, Agnes Sweetman"	1904	"The pride of Jennico"				
156	1852	5291486	"The Life and Times of Dante Alighieri."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"		1841	"The life and times of Dick Whittington : an historical romance"				
157	1857	8632976	"The History and Antiquities of Boston, and the Villages of Skirbeck, Fishtoft, Freiston, Butterwick, Benington, Leverton, Leake, and Wrangle, comprising the Hundred of Skirbeck, in the County of Lincoln, &c."	"The Athenaeum"	"Smith, William"	1876	"The history and antiquities of Morley, in the west riding of the county of York"				
158	1831	5681540	"Memoirs of the Empress Josephine."	"The Edinburgh literary journal, or, Weekly register of criticism and belles lettres"	"Ducrest, Georgette"	1828	"Memoirs of the Empress Josephine : with anecdotes of the courts of Navarre and Malmaison"				
159	1884	9285618	"Princess Napraxine."	"The Athenaeum"	"Ouida"	1884	"Princess Napraxine"				
160	1906	9303540	"The Story of Bawn."	"The Athenaeum"	"Tynan, Katharine"	1906	"The story of Bawn"				
161	1919	3203334	"THE WINE OF ASTONISHMENT."	"The Bookman"	"Bradley, Mary Hastings"	1919	"The wine of astonishment"				
162	1871	2717629	"The Young Franc-Tireurs and their Adventures in the Franco-Prussian War."	"The Illustrated review : a fortnightly journal of literature, science and art"	"Henty, G. A. (George Alfred)"	1872	"The young Franc-tireurs and their adventures in the Franco-Prussian War"				
163	1801	3923979	"Memoirs of the late Mrs. Robinson, written by her"	"The Monthly visitor, and new family magazine"	"Fitz-George, H. W"	1819	"Memoirs of the late Mrs. King, (otherwise the Diamond Q---n!!) with interesting and authentic biographical anecdotes; containing some curious and instructive notices of political and family transactions, hitherto not generally known"				
164	1805	8156484	"44. Narrative of the Loss of his Majesty's Packet the Lady Hobart on an Island of Ice in the Atlantic Ocean, June 28, 1803, with a particular Account of the providential Escape of the Crew in two open Boats."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"	"Carter, George"	1791	"A narrative of the loss of the Grosvenor East Indiaman : which was unfortunately wrecked upon the coast of Caffraria, somewhere between the 27th and 32d degrees of southern latitude, on the 4th of August, 1782"				
165	1853	8688012	"Twelve Years a Slave. Narrative of Solomon Northup, a Citizen of New York, Kidnapped in Washington City in 1841, and Rescued in 1853 from a Cotton Plantation near the Red River in Louisiana."	"The Athenaeum"	"Northup, Solomon"	1853	"Twelve years a slave. Narrative of Solomon Northup, a citizen of New York, kidnapped in Washington City in 1841, and rescued in 1853, from a cotton plantation near the red river, in Louisiana"				
166	1827	5160168	"Travels through the interior Province of Columbia."	"The Literary chronicle"	"Taurinius, Zacharias"	1801	"Travels through the interior of Africa, from the Cape of Hope to Morocco; in Caffraria, the kingdoms of Mataman, Wangara, Haoussa, &c., &c. and thence through the desert of Sahara and the north of Barbary to Morocco; between the years 1781 and 1797"				
167	1829	8615040	"The Age. A Poem. In Eight Books."	"The Atheneaum and literary chronicle, Aug. 6, 1828-Dec. 30 1829"							
168	1835	5226709	"Tales of the Peerage and the Peasantry."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Sullivan, Arabella Jane"	1835	"Tales of the peerage and the peasantry"				
169	1854	8607059	"A Commonplace Book of Thoughts, Memories, and Fancies, Original and Selected."	"The Athenaeum"	"Jameson, (Anna), Mrs"	1855	"A commonplace book of thoughts, memories, and fancies. Original and selected"				
170	1906	6825620	"At the Sign of the Peacock."	"The Academy, 1905-1910"	"Reed, Myrtle"	1905	"At the sign of the Jack o' Lantern"				
171	1813	4812214	"ART. V. Voyages dans l'Inde, &c.; i. e."	"Monthly Review, or, Literary Journal, 1752-1825"							
172	1810	8244639	"73. THE BOROUGH, a Poem, in Twentyfour Letters."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"	"Crabbe, George"	1810	"The borough : a poem, in twenty-four letters"				
173	1885	8909462	"Mitre Court."	"The Athenaeum"	"Riddell, J. H., Mrs"	1885	"Mitre Court"				
174	1826	5160094	"Keeper's Travels in Search of his Master."	"The Literary chronicle"	"Kendall, Edward Augustus"	1812	"Keeper's travels in search of his master"				
175	1867	4380035	"A HERO'S WORK."	"The London review of politics, society, literature, art, and science"	"Hardy, Iza Duffus"	1868	"A hero's work"				
176	1818	8258147	"44. Authentic Memoirs of the Revolution in France, and of the Sufferings of the Royal Family; deduced principally from Accounts by Eye-witnesses. 8vo. pp. 353. Simpkin and Marshall."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"		1817	"Authentic memoirs of the revolution in France, and of the sufferings of the royal family"				
177	1833	8917355	"The Poetical Works of Thomas Parnell."	"The Athenaeum"	"Moore, Thomas"	1840	"The poetical works of Thomas Moore, collected by himself"				
178	1819	5141110	"An Address to the Right Hon. Lord Byron; with an Opinion on some of his Writings."	"The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822"	"pseud. Fabius"	1821	"A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope"				
179	1818	4647304	"A Letter to the Right Honourable George Canning, M. P. 8vo. 1818."	"The Literary journal, and general miscellany of politics, science, arts, morals, and manners,  1718-1719"	"pseud. Fabius"	1821	"A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope"				
180	1807	5520920	"Account of the Life and Writings of LORD KAMES."	"scots magazine and Edinburgh literary miscellany, Jan. 1804-July 1817"	"Sterne, Laurence"	1804	"Some account of the life and writings of Mr. Sterne. The life and opinions of Tristram Shandy, gentleman"				
181	1883	6724045	"Beyond the Gates."	"The Academy, 1869-1902, 0269-333X"	"Phelps, E. Stuart (Elizabeth Stuart)"	1884	"Beyond the gates"				
182	1897	8973444	"College Girls."	"The Athenaeum"	"Goodloe, Abbe Carter"	1895	"College girls"				
183	1819	5169435	"Harold the Exile."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"		1819	"Harold the exile"				
184	1874	8584519	"FAR FROM THE MADDING CROWD."	"Examiner"	"Hardy, Thomas"	1874	"Far from the madding crowd"				
185	1901	6833548	"FROM THE HEART OF THE ROSE."	"The Academy, 1869-1902, 0269-333X"	"Crofton, Helen Rose Anne Milman"	1901	"From the heart of the rose"				
186	1823	5708804	"ST. RONAN'S WELL."	"Edinburgh magazine and literary miscellany"	"Scott, Walter, Sir"	1824	"St. Ronan's well"				
187	1888	6707208	"Autobiography and Reminiscences of Sir Douglas Forsyth."	"The Academy, 1869-1902, 0269-333X"	"Frith, William Powell"	1888	"My autobiography and reminiscences"				
188	1864	8489606	"Life of General Sir William Napier, K.C.B., Author of 'History of the Peninsular War,' &c."	"Examiner"							
189	1894	6633778	"The Ebb-Tide."	"The Academy, 1869-1902, 0269-333X"							
190	1896	8848028	"Tales of our Coast."	"The Athenaeum"		1896	"Tales of our coast"				
191	1852	9586879	"Reuben Medlicott; or, the Coming Man."	"The Athenaeum"	"Savage, M. W. (Marmion Wilard)"	1852	"Reuben Medlicott; or, The coming man"				
192	1885	8744549	"Marius the Epicurean: his Sensations and Ideas."	"The Athenaeum"	"Pater, Walter"	1885	"Marius the Epicurean, his sensations and ideas"				
193	1873	8684760	"Enigmas of Life."	"The Athenaeum"	"Greg, William R. (William Rathbone)"	1874	"Enigmas of life"				
194	1862	5343026	"WITCH STORIES."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Linton, E. Lynn (Elizabeth Lynn)"	1861	"Witch stories"				
195	1911	6836603	"The Case of Richard Meynell."	"The Academy and literature, 1910-1914"	"Ward, Mary Augusta"	1911	"The case of Richard Meynell"				
196	1893	9387315	"Old Rabbit, the Voodoo, and other Sorcerers."	"The Athenaeum"	"Owen, Mary Alicia"	1893	"Old Rabbit, the voodoo, and other sorcerers"				
197	1908	3173005	"FLOWER O' THE ORANGE."	"The Bookman"	"Castle, Agnes Sweetman"	1908	"Flower o' the orange"				
198	1809	5294711	"Book review"	"Anti-Jacobin review and magazine, or, Monthly political, and literary censor, 1798-1810"							
199	1838	8403335	"Oliver Twist."	"Examiner"	"Dickens, Charles"	1839	"Oliver Twist"				
