author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Sharp Evelyn	B7823	{8985583}	{'Juvenile audience'}	{'uva.x001131539'}		The youngest girl in the schoo		1901
Haviland Maud D Maud Doria	B3469	{3184086}	{'Juvenile audience'}	{'chi.086866298'}	{'Biography', 'Animals'}	Lives of the fur folk		1910
Cox George W George William	B1347	{3175543}	{'Juvenile audience'}	{'inu.39000005817486'}	{'Mythology, Classical', 'Juvenile literature'}	Tales of the gods and heroes		1902
Terhune Albert Payson	B8125	{3232782}	{'Juvenile audience'}	{'nyp.33433075768923'}	{'Legends and stories', '(OCoLC)fst00896265', 'Dogs'}	Further adventures of Lad		1922
Henty G A George Alfred	B3598	{2717629}	{'Juvenile audience'}	{'mdp.39015073481353'}	{'Franco-Prussian War, 1870-1871', 'Juvenile fiction'}	The young Franctireurs and their adventures in the FrancoPrussian War		1872
Wiggin Kate Douglas Smith	B8781	{6815083}	{'Juvenile audience'}	{'uc2.ark+=13960=t3fx74440'}	{'Aunts', 'Juvenile fiction', 'Girls', 'New England', 'City and town life'}	New chronicles of Rebecca		1907
Blackford Martha Mrs	B689	{5159747}	{'Juvenile audience'}	{'nyp.33433074939905'}	{'Scottish authors', 'English fiction'}	The Scottish orphans a moral tale founded on an historical fact and calculated to improve the minds of young people		1824
Sidney Margaret	B7949	{6800747}	{'Juvenile audience'}	{'nyp.33433082548268'}		Five little Peppers grown up a		1892
Gatty Alfred Mrs	B3087	{3204793, 6852980, 6685142}	{'Juvenile audience', 'Bibliographies'}	{'nyp.33433007582004'}	{'Natural history', 'Juvenile literature'}	Parables from nature		1873
Hofland Barbara Mrs	B3616	{5164448}	{'Juvenile audience'}	{'njp.32101067645927'}		Integrity  tale		1823
Forbes George	B2730	{6836067}	{'Juvenile audience'}	{'nyp.33433070223056'}	{'Philosophy'}	Puppets  a workaday philosophy		1911
Andersen H C Hans Christian	B208	{8716369}	{'Juvenile audience'}	{'nyp.33433082526082'}		Wonderful stories for children		1846
Blackford Martha Mrs	B722	{5163923}	{'Juvenile audience'}	{'nyp.33433082300124'}	"{""Children's stories, Scottish""}"	The Eskdale herdboy  a Scottish tale for the amusement of young persons		1828
Mayhew Henry	B6072	{5011902}	{'Juvenile audience'}	{'mdp.39015065549035'}		The story of the peasantboy ph		1854
Wilson Richard	B8481	{3193361}		{'mdp.39015002199639'}	{'Mythology, Slavic', 'Juvenile literature'}	The Russian story book containing tales from the songcycles of Kiev and Novgorod and other early sources		1916
Whitney A D T Adeline Dutton Train	B8714	{9427374}	{'Juvenile audience'}	{'uc2.ark+=13960=t57d2qt34', 'uc1.b3327278'}		Faith Gartneys girlhood		1863
Author of Elizabeths children	B266	{9032805}	{'Juvenile audience'}	{'nyp.33433075767768'}		The young OBriens  being an ac		1906
Orton Helen Fuller	B6261	{3197402}	{'Juvenile audience'}	{'mdp.39076002155484'}	{'Horses', 'Juvenile fiction', 'Farm life', 'Dogs'}	Prince and Rover of Cloverfield farm		1921
Washburn Bradford	B8547	{3225114}		{'mdp.39076002573660'}	{'Description and travel', 'Mountaineering', 'Juvenile literature'}	Among the Alps with Bradford		1927
Hughes Thomas	B3511	{2923814}	{'Juvenile works', 'Juvenile audience', 'Novel'}	{'mdp.39015008191382'}	"{'Schoolboys', 'England', '19th century', 'Endowed public schools (Great Britain)', 'Juvenile fiction', ""Children's stories, English"", 'Rugby School'}"	Tom Browns school days		1868
Craik Georgiana M Georgiana Marion	B1629	{9448432}	{'Juvenile audience'}	{'nyp.33433082531470'}		Playroom stories or How to mak		1863
Molesworth Mrs	B5335	{3218661, 3222743}	{'Juvenile audience'}	{'mdp.39015083456759'}	{'Cuckoos', 'Juvenile fiction', 'Fantasy fiction', 'Clocks and watches', 'Behavior'}	The cuckoo clock		1914
Field Eugene	B2686	{3186620}	{'Juvenile audience'}	{'mdp.39015035824013'}		Christmas tales and Christmas 		1895
Palgrave Francis Turner	B6815	{8510037}	{'Juvenile audience'}	{'uc1.b4104032'}		The five days entertainments a		1868
Tytler M Fraser	B8313	{4967627}	{'Juvenile audience'}	{'njp.32101063578338'}		The wonderseeker or The histor		1847
Hawthorne Nathaniel	B3951	{3198550}		{'uc2.ark+=13960=t8pc2vn4j'}	{'Mythology, Classical', 'Juvenile literature'}	Tanglewood tales		1864
Author of Elizabeths children	B95	{9032805}	{'Juvenile audience'}	{'nyp.33433075767768'}		The young OBriens  being an account of their sojourn in London		1906
MacManus Seumas	B6042	{3268766}	{'Juvenile audience'}	{'inu.39000005921841'}		In chimney corners Merry tales		1899
Blackford Martha Mrs	B1255	{5163923}	{'Juvenile audience'}	{'nyp.33433082300124'}		The Eskdale herdboy  a Scottis		1828
Gregory Lady	B2981	{6865273}	{'Juvenile audience'}	{'inu.32000007045786'}	{'Ireland', 'Folklore'}	The Kiltartan wonder book		1911
Andersen H C Hans Christian	B15	{4973077, 8467653}	{'Juvenile audience'}	{'mdp.39015004314079'}	{'Fairy tales'}	Danish fairy legends and tales		1861
Mme Girardin Emile de	B6038	{5005227}	{'Juvenile audience'}	{'nyp.33433075826275'}		Stories of an old maid related		1855
Mayhew Henry	B5565	{8652563}	{'Juvenile audience'}	{'nyp.33433082364344'}	{'1706-1790', 'Franklin, Benjamin'}	Young Benjamin Franklin or The right road through life A boys book on a boys own subject		1862
Colum Padraic	B1425	{3328861, 3163670}	{'Juvenile audience'}	{'nc01.ark+=13960=t8nc71360'}	{'Odyssey', 'Homer'}	The adventures of Odysseus and the tale of Troy		1918
Coolidge Susan	B1652	{3193058, 9049699}	{'Juvenile audience'}	{'uc1.$b254269'}		What Katy did at school		1873
Andersen H C Hans Christian	B146	{3162777, 8983777}	{'Juvenile audience', 'Fairy tales', 'Juvenile literature'}	{'uc2.ark+=13960=t1td9p88s'}	{'Fairy tales'}	Stories  fairy tales		1875
Burgess Thornton W Thornton Waldo	B1113	{6747740, 3180749}	{'Juvenile audience'}	{'uc1.b4087587'}		The adventures of Jerry Muskra		1942
Burgess Thornton W Thornton Waldo	B1120	{6747740, 3180749}	{'Juvenile audience'}	{'mdp.39015083449465'}		The adventures of Sammy Jay		1917
Lamb Charles	B5046	{4965633, 8683175}	{'Juvenile audience', 'ContainsBiogMaterial', 'Adaptations'}	{'uva.x030825975'}	{'Comedies', 'Adaptations', '1564-1616', 'English literature', 'Juvenile literature', '(OCoLC)fst00029048', 'Shakespeare, William', 'Stories, plots, etc'}	Tales from Shakespeare		1834
Drury Anna H Anna Harriet	B2507	{8607257}	{'Juvenile audience'}	{'njp.32101068177060'}		The blue ribbons  a story of t		1856
White Stewart Edward	B8676	{6858801}	{'Juvenile audience'}	{'nyp.33433081965679'}		The adventures of Bobby Orde		1910
MacDonald George	B5333	{6826100}	{'Juvenile audience'}	{'mdp.39015066637433'}		The princess and the goblin		1900
Trowbridge J T John Townsend	B8065	{8657006}	{'Juvenile audience'}	{'nc01.ark+=13960=t1tf0998m'}		The three scouts		1865
Bunyan John	B336	{6800349}		{'loc.ark+=13960=t39z9qn4m'}	{'Christian pilgrims and pilgrimages', 'IsBiographical', 'Juvenile literature'}	The pilgrims progress by John Bunyan every child can read		1688
Burgess Thornton W Thornton Waldo	B1115	{6747740, 3180749}	{'Juvenile audience'}	{'uva.x001863064'}		The adventures of Johnny Chuck		1913
Trowbridge J T John Townsend	B8064	{9431027, 8780910}	{'Historical fiction', 'Juvenile audience', 'Bibliographies', 'War stories'}	{'nc01.ark+=13960=t0ns17x5d'}	{'Abolitionists', 'Quakers', 'Unionists (United States Civil War)', 'Fugitive slaves', 'Civil War, 1861-1865', 'History'}	Cudjos cave		1863
Chisholm Louey	B1630	{3198968}	{'Juvenile audience'}	{'nyp.33433088074525'}	{'Storytelling', 'Fairy tales'}	A staircase of stories		1920
Burgess Thornton W Thornton Waldo	B1116	{6747740, 3180749}	{'Juvenile audience', 'Juvenile literature'}	{'nyp.33433064202819'}		The adventures of Old Man Coyo		1916
Jenkin C Camilla	B4289	{9469373}	{'Juvenile audience'}	{'nyp.33433074867122'}	{'English fiction'}	Skirmishing		1863
Defoe Daniel	B2438	{8294286}	"{'Inscriptions (Provenance)', 'Juvenile literature', 'Juvenile audience', ""Publishers' advertisements"", 'Imaginary voyages'}"	{'mdp.39015078556860', 'mdp.39015078555250'}		The life and surprizing advent		1731
Henty G A George Alfred	B4160	{2717629}	{'Juvenile audience'}	{'mdp.39015073481353'}		The young Franctireurs and the		1872
Buckley Horace Mann	B732	{3229377, 3241725}		{'pst.000001667196'}	{'Safety education', 'Readers', 'Juvenile literature'}	Here and there		1938
Grahame Kenneth	B3051	{3158960}		{'njp.32101015567132'}	{'George', 'Dragons', 'Saint', 'Children', 'Brothers and sisters', 'England', 'Country life', '-303', 'Juvenile fiction'}	Dream days		1898
Abbott Jacob	B287	{9108226}	{'Juvenile audience'}	{'nyp.33433082529037'}		Malleville  a Franconia story		1850
Reid Mayne	B7220	{4923644}	{'Juvenile audience'}	{'uc1.b4104029'}		The castaways  a story of adve		1870
pseud Gwynfryn	B9129	{8507490}	{'Juvenile audience'}	{'nyp.33433008281416'}	"{'Animals', ""Children's stories, English"", 'Anecdotes', 'Folklore'}"	Friends in fur and feathers		1869
Sharp William	B7939	{6766768}	{'Juvenile audience'}	{'nyp.33433086985888'}		The laughter of Peterkin  a re		1897
Harris Joel Chandler	B3817	{9061038}	{'Juvenile audience'}	{'uc1.b3324229'}		The bishop and the boogerman		1908
Irving Washington	B4178	{6808446}		{'nyp.33433000133862'}	{'Catskill Mountains Region (N.Y.)', 'Juvenile fiction', 'Van Winkle, Rip (Fictitious character)', 'Catskill Mountains region (N.Y.)'}	Rip Van Winkle		1859
Kingston William Henry Giles	B4666	{4990976}	{'Juvenile audience', 'Novel'}	{'nyp.33433074866637'}		Mark Seaworth A tale of the In		1852
Bunyan John	B338	{3203026, 4988323, 6800349, 4854447}		{'loc.ark+=13960=t8gf19t6k'}	{'Christian pilgrims and pilgrimages', 'Juvenile literature'}	The pilgrims progress for the 		1688
Dickens Charles	B2221	{4444870}	{'Ghost stories', 'Juvenile audience', 'Christmas stories'}	{'nyp.33433074954482'}	{'London (England)', 'Poor families', 'Misers', 'Ghost stories', 'Scrooge, Ebenezer (Fictitious character)', '19th century', 'Juvenile fiction', 'Sick children', 'Christmas stories', 'Social life and customs'}	A Christmas carol in prose The chimes The cricket on the hearth		1846
Porter Eleanor H Eleanor Hodgman	B6492	{3193906}	{'Juvenile audience'}	{'nc01.ark+=13960=t70v9kk1w'}	{'Interpersonal relations', 'Orphans', 'Conduct of life', '20th century', 'Cheerfulness', 'Aunts', 'Juvenile fiction', 'Vermont', 'History'}	Pollyanna		1913
Mathews Cornelius	B5622	{4984350}		{'uc1.b3327069'}	{'Thanksgiving Day', 'Juvenile fiction', 'Peabody family'}	Chanticleer a Thanksgiving story of the Peabody family		1850
Macdonald Greville	B5595	{3223741}	{'Juvenile audience'}	{'uc1.$b408734'}		Billy Barnicoat  a fairy romance for young and old		1925
Henty G A George Alfred	B4157	{3174883}	{'Juvenile audience'}	{'mdp.39015073479365'}		St Bartholomews eve  a tale of		1893
Porchat J Jacques Jean Jacques	B6566	{3763815}	{'Juvenile audience'}	{'nyp.33433075832182'}	"{""Children's literature, French""}"	Three months under the snow  the journal of a young inhabitant of the Jura		1854
Macdonald Greville	B5974	{3223741}	{'Juvenile audience'}	{'uc1.$b408734'}		Billy Barnicoat  a fairy roman		1925
Mayhew Henry	B5902	{8652563}	{'Juvenile audience'}	{'nyp.33433082364344'}		Young Benjamin Franklin or The		1862
Andersen H C Hans Christian	B292	{4849367}	{'Juvenile audience'}	{'mdp.39076002892847'}		The mermaid  and other stories		1875
Yonge Charlotte M Charlotte Mary	B9014	{8624769}	{'Juvenile audience'}	{'nyp.33433075860811', 'uc2.ark+=13960=t48p64j0c'}	{'Great Britain', 'History', 'Edward III, 1327-1377'}	The lances of Lynwood		1856
Burnett Frances Hodgson	B832	{3168402}	{'Juvenile audience'}	{'uc1.b4517751'}	"{'Chicago, Ill.)', '(1893 :', ""World's Columbian Exposition""}"	Two little pilgrims progress  a story of the City Beautiful		1895
Reid Mayne	B7221	{4923644}	{'Juvenile audience'}	{'nyp.33433082293733'}		The ocean waifs  a story of ad		1874
Nesbit E Edith	B6185	{3195294}	{'Juvenile audience'}	{'wu.89007382898'}		The magic world		1912
Stowe Harriet Beecher	B7334	{9442813}	{'Bibliographies', 'Novel'}	{'mdp.39015004956234'}	{'United States', 'Slavery', 'Juvenile literature'}	Uncle Toms cabin or Life among the lowly		1851
Ewing Juliana Horatia Gatty	B2588	{8527240}	{'Juvenile audience'}	{'nyp.33433082533807'}	"{""Children's stories, English""}"	A great emergency and other ta		1885
Burnett Frances Hodgson	B1269	{3168402}	{'Juvenile audience'}	{'uc1.b4517751'}		Two little pilgrims progress  		1895
Barnum Vance	B1301	{3208593}	{'Juvenile audience'}	{'uc1.b2837401'}		Joe Strong the boy wizard  or 		1916
Steele Robert	B7426	{3168019}		{'njp.32101063578189'}	{'Juvenile fiction', 'Alexander', '356-323 B.C', 'the Great'}	The story of Alexander		1894
Browne Belmore	B572	{3315379, 3197735}	{'Juvenile audience'}	{'nyp.33433074815162'}		The quest of the Golden Valley a story of adventure on the Yukon		1916
Abbott Jacob	B290	{9108226}	{'Juvenile audience'}	{'uva.x004282843'}		Rodolphus  a Franconia story		1879
Carpenter Kate E Rushmore	B1952	{3186313}	{'Biography', 'Juvenile audience'}	{'nyp.33433071386639'}		The story of Joan of Arc for b		1902
Henty G A George Alfred	B3676	{8981559}	{'Juvenile audience'}	{'nyp.33433074858147'}		A hidden foe		1890
Henty G A George Alfred	B4153	{3174288}	{'Juvenile audience'}	{'mdp.39015073429519'}		In the hands of the cavedwelle		1890
Drury Anna H Anna Harriet	B2176	{8607257}	{'Juvenile audience'}	{'njp.32101068177060'}		The blue ribbons  a story of the last century		1856
Stephens James	B7363	{9346800, 6846666, 2432794}	{'Juvenile audience'}	{'mdp.39015031308953'}		The crock of gold		1912
Irving Washington	B4176	{9224150}		{'mdp.39015066063598'}	{'Catskill Mountains Region (N.Y.)', 'Juvenile fiction', 'Van Winkle, Rip (Fictitious character)', 'Short stories'}	Rip Van Winkle Legend of Sleepy Hollow The devil and Tom WalkerThe voyageWestminster abbeyStratfordonAvonThe stout gentleman		1859
Chaffee Allen	B1876	{3231393}	{'Juvenile audience'}	{'uva.x030800545'}	{'Bears'}	The adventures of Twinkly Eyes		1919
Bianco Margery Williams	B1235	{3226497}	{'Juvenile audience'}	{'ucw.ark+=13960=t8tb1g53r'}		The velveteen rabbit or how to		1900
Abbott Jacob	B286	{9108226}	{'Juvenile audience'}	{'njp.32101068162302'}		Beechnut a Franconia story		1850
Kendall Edward Augustus	B4632	{5138100, 6195422, 8319807}		{'uiuo.ark+=13960=t0vq3fj8b', 'uiuo.ark+=13960=t2s475k25', 'uiuo.ark+=13960=t6b28cf90'}	{'Description and travel', 'Juvenile fiction', 'Voyages and travels', 'Adventure stories', 'South Africa'}	The English boy at the Cape		1835
Theal George McCall	B8152	{8837662}	{'Juvenile audience'}	{'uc1.$b809936'}	{'Africa', 'Tales', 'Xhosa (African people)', 'Folklore'}	Kaffir folklore or A selection from the traditional tales current among the people living on the eastern border of the Cape colony With copious explanatory notes		1884
Marshall Emma Mrs	B6075	{9468769}	{'Juvenile audience'}	{'uva.x004282870'}		Lessons of love  or Aunt Berth		1868
