author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Collins Wilkie	B1890	{8691054}	{'Mystery and detective fiction', 'Great Britain'}	{'wu.89099775009'}	{'823C69P1872'}	Poor Miss Finch A novel With illustrations		1872
Escott T H S	B2603	{6777583}		{'uc2.ark+=13960=t6sx6503p'}	{'Social life and customs', 'Great Britain', '19th century'}	A trip to Paradoxia and other humours of the hour		1899
Stephens James	B7740	{3213010, 2445054}	{'Juvenile audience'}	{'uc2.ark+=13960=t8rb6x19h'}	{'Ireland', 'Fairy tales', 'Folklore'}	Irish fairy tales		1920
Pease Howard	B6705	{6773222}		{'uc2.ark+=13960=t9862t682'}	{'England', 'Northumberland', 'Folklore'}	Tales of Northumbria		1899
Jacobs Joseph	B4216	{6455904, 3143372, 8914095, 3161555, 8787991, 8953016, 6212927}	{'Juvenile audience', 'Bibliographies'}	{'wu.89094334638', 'mdp.39015005158608'}	{'Great Britain', 'Fairy tales', 'England', 'Folklore'}	More English fairy tales		1894
Bernard John	B940	{4698077}		{'uc2.ark+=13960=t6348rv1k'}	{'Great Britain', 'United States', 'Theater'}	Retrospections of the stage		1828
Tarkington Booth	B8054	{8881849, 3272458}	{'Great Britain', 'Proofs (Printing)'}	{'mdp.39015065779426'}	{'Bath (England)', '1879-1931', 'England', '18th century', 'Lindsay, Vachel', 'Personal copy', 'Social life and customs', 'Gambling', 'Library'}	Monsieur Beaucaire		1900
Trollope Anthony	B8166	{8495640, 8669861}	{'Bibliographies'}	{'uc1.b4102140'}	{'Barchester (England : Imaginary place)', 'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	The last chronicle of Barset		1874
Thackeray William Makepeace	B8219	{9012145}	{'Bibliographies', 'Satire'}	{'ucm.5324200923', 'ucm.5324200950'}	{'Women', 'Waterloo, Battle of, Waterloo, Belgium, 1815', 'Married women', 'England', '19th century', 'Europe', 'Female friendship', 'Social life and customs', 'Social classes', 'British'}	Vanity Fair  a novel without a		1848
Scott Walter Sir	B7611	{9040671}	{'Bibliographies', 'Novel'}	{'uc1.b3331970', 'uc1.b3331971'}	{'France', 'Charles II, 1660-1685', 'Louis XI, 1461-1483', 'Great Britain', 'History'}	Peveril of the peak		1823
Yonge Charlotte M Charlotte Mary	B9014	{8624769}	{'Juvenile audience'}	{'nyp.33433075860811', 'uc2.ark+=13960=t48p64j0c'}	{'Great Britain', 'History', 'Edward III, 1327-1377'}	The lances of Lynwood		1856
Jacobs Joseph	B4395	{6455904, 3143372, 8914095, 3161555, 8787991, 8953016, 6212927}	{'Bibliographies'}	{'wu.89017100934'}	{'Ireland', 'Folklore, Celtic', 'Folklore', 'Fairy tales', 'Celts'}	Celtic fairy tales		1892
Eliot George	B2585	{8793448, 8688126}	{'Pastoral fiction', 'Autobiography'}	{'nyp.33433076092190', 'nyp.33433076092182'}	{'1819-1880', 'social life and customs', 'England', '19th century', 'English literature', 'Social life and customs', 'Eliot, George'}	Middlemarch		1876
Woolf Virginia	B8483	{3222140, 2450215}		{'mdp.39015005385292'}	{'Mothers', 'Summer resorts', 'Loss (Psychology)', 'Lighthouses', 'Married people', 'Death', 'English', 'Scotland', 'Widowers'}	To the lighthouse		1927
Macleod Fiona	B5780	{3169788, 6799254}		{'uc2.ark+=13960=t73t9mx97'}	{'Social life and customs', 'Mythology, Celtic', 'Scotland'}	The washer of the ford and other legendary moralities		1896
Cross Victoria	B1725	{6763024, 9411830}	{'Bibliographies'}	{'uc2.ark+=13960=t2w37n86f'}	{'Women', 'Master and servant', 'Triangles (Interpersonal relations)', 'Infanticide', 'India', 'British'}	Anna Lombard		1900
Mason A E W Alfred Edward Woodley	B5445	{3152218, 8879059}	{'Mystery and detective fiction', 'Great Britain'}	{'nyp.33433074893409'}		Ensign Knightley  and other stories		1901
Le Gallienne Richard	B4825	{6786209, 8986863}	"{'New York', ""Publishers' cloth bindings (Binding)"", 'New York (State)', 'ContainsBiogMaterial', 'England'}"	{'nyp.33433074878137'}		Young lives		1899
Merritt Anna Lea	B5535	{8865680, 6804391}		{'nyp.33433075903710'}	{'Natural history', 'Description and travel', 'England', 'Hampshire'}	A hamlet in old Hampshire		1902
Doyle Arthur Conan Sir	B2397	{6783096}		{'uva.x000179384'}	{'Holmes, Sherlock (Fictitious character)', 'Private investigators', 'Detective and mystery stories, English', 'England', 'Holmes, Sherlock', 'Dogs', 'Blessing and cursing'}	The hound of the Baskervilles		1902
Gaskell Elizabeth Cleghorn	B2967	{4373322}	{'Novel', 'Bibliographies', 'Bildungsromane', 'Domestic fiction', 'Love stories'}	{'dul1.ark+=13960=t5r792w66', 'dul1.ark+=13960=t6d22nv15', 'pst.000028738046'}	{'Women', 'Binder', 'Fiction in English, 1837-1900 Texts', 'England', 'Young women', 'Bayntun', 'Social life and customs', 'Fathers and daughters', 'Social conditions', 'Children of physicians', 'Stepfamilies'}	Wives and daughters		1865
Forster E M Edward Morgan	B2672	{9071402}	{'Edwardian novels', 'Historical fiction'}	{'mdp.39015005111680', 'pst.000029721290'}	{'Social conflict', '20th century', 'Man-woman relationships', 'England', 'Sisters', 'Social life and customs', 'Inheritance and succession'}	Howards End		1911
Roberts Katherine	B6900	{2482334}		{'mdp.39015003659789'}	{'Women', 'Great Britain', 'Suffrage'}	Pages from the diary of a militant suffragette		1910
Falconer Lanoe	B2818	{6436300}	{'Novel'}	{'uc1.$b287612'}	{'Russians', 'England', 'Governesses', 'Nihilism', 'English fiction', 'Assassins'}	Mademoiselle Ixe		1891
Yonge Charlotte M Charlotte Mary	B9032	{8946394}		{'uc2.ark+=13960=t11n84h67'}	{'Great Britain', 'History', 'Wars of the Roses, 1455-1485'}	Grisly Grissell or The laidly lady of Whitburn		1893
Scott Walter Sir	B7700	{8565754, 6805270}	{'Bibliographies'}	{'uiuo.ark+=13960=t5s760q0d', 'uc2.ark+=13960=t5gb23h15', 'uiuo.ark+=13960=t86h56406'}	{'James I, 1603-1625', 'Great Britain', 'History'}	The fortunes of Nigel		1822
Thackeray William Makepeace	B8042	{4981582}	{'Autobiography', 'ContainsBiogMaterial', 'Bibliographies'}	{'mdp.39015063760709'}	{'Anne, 1702-1714', '1811-1863', 'Dictionaries, indexes, etc', 'Thackeray, William Makepeace', 'English literature', 'Great Britain', 'History'}	The history of Henry Esmond esq  colonel in the service of Her Majesty Q Anne written by himself		1852
Ainsworth William Harrison	B174	{5180548, 4412415}		{'uc2.ark+=13960=t6g16058h'}	{'Queen, consort of Henry VIII, King of England', 'Anne Boleyn', '1507-1536', 'Tudors, 1485-1603', 'Great Britain', 'History'}	Windsor castle		1844
bart Douglas George Brisbane Sir	B9095	{3165801}		{'inu.30000108972989'}	{'Social life and customs', 'Tales', 'Fairy tales', 'Scotland', 'Folklore'}	Scottish fairy and folk tales		1901
Paterson Arthur	B6668	{8877744}		{'uc2.ark+=13960=t54f1pf7r'}	{'William and Mary, 1689-1702', 'Great Britain', 'History'}	The kings agent		1902
James Henry	B4355	{8876793, 6792195}	"{'Autographs (Provenance)', 'Bookplates (Provenance)', ""Publishers' cloth bindings (Binding)"", 'Novel', 'England'}"	{'uc2.ark+=13960=t3319sx79'}	{'Married people', 'Man-woman relationships', 'English fiction', 'United States', 'England'}	The sacred fount		1901
Kingsley Charles	B4639	{9432073}	{'Bibliographies'}	{'uiuo.ark+=13960=t8mc9h99c', 'uiuo.ark+=13960=t4sj2299h'}	{'1819-1875', 'To 1066', 'English literature', 'Great Britain', 'History', 'Kingsley, Charles'}	Hereward the Wake		1866
Gissing George	B3074	{8799035}	{'Bibliographies'}	{'njp.32101068598646', 'njp.32101068598653', 'njp.32101068598638'}	{'Middle class women', 'Women', 'Employment', 'Single women', 'England', 'Sisters'}	The odd women		1893
Newbolt Henry John Sir	B6168	{8926642, 3281143}		{'uc2.ark+=13960=t9m32wm7v'}	{'Richard II, 1377-1399', 'Great Britain', 'History'}	The new June		1909
Scott Walter Sir	B7463	{5017772}	{'Bibliographies'}	{'nyp.33433075744494'}	{'Great Britain', 'Commonwealth and Protectorate, 1649-1660', 'History'}	Woodstock or The cavalier  A tale of the year sixteen hundred and fiftyone		1826
Smith Horace	B7638	{5274377}		{'uc2.ark+=13960=t25b04r8q', 'uc2.ark+=13960=t06w9cs1c'}	{'Great Britain', 'Commonwealth and Protectorate, 1649-1660', 'History'}	Brambletye house		1826
Greene Graham	B2982	{2491548}		{'inu.32000009218043'}	{'Murderers', 'Great Britain', 'Communists', 'Death row inmates'}	Its a battlefield		1934
Rook Clarence	B7021	{3164970}		{'uc1.$b269202'}	{'London', 'Gangs', 'Biography', 'England', 'Hoodlums', 'IsBiographical'}	The Hooligan nights		1899
Chesterton G K Gilbert Keith	B1786	{8915515}	{'Allegories', 'Humorous stories', 'Christian fiction'}	{'uc2.ark+=13960=t7sn0gj0c'}	{'Catholics', 'Scotland', 'Men', 'Friendship', 'Atheists'}	The ball and the cross		1909
Johnson Clifton	B4323	{8956271}		{'uc1.$b750916'}	{'Social life and customs', 'Description and travel', 'England', 'Country life'}	Among English hedgerows		1899
Tayler Charles Benjamin	B8052	{6139658, 4712414}		{'mdp.39015065564208', 'mdp.39015065564604', 'mdp.39015065564216', 'mdp.39015065564265'}	{'Working class', 'Social conditions', 'Great Britain'}	Social evils and their remedy		1835
Williamson C N Charles Norris	B8632	{6844988}	{'Love stories'}	{'nyp.33433075768568'}	{'United States', 'Man-woman relationships', '19th century', 'Young women', 'Social life and customs', 'British'}	Lady Betty across the water		1906
Major Charles	B5631	{3164897}		{'uc1.b3550216'}	{'Great Britain', 'History', 'Henry VIII, 1509-1547'}	When knighthood was in flower or The love story of Charles Brandon and Mary Tudor the kings sister and happening in the reign of  Henry VIII		1898
WhyteMelville G J George John	B8702	{8456905}		{'uc2.ark+=13960=t9n302p00', 'uc1.b3044701'}	{'Civil War, 1642-1649', 'Great Britain', 'History'}	Holmby house		1860
Moore Frank Frankfort	B5798	{3199786}		{'uc2.ark+=13960=t8kd1t47w'}	{'Social life and customs', 'Great Britain'}	The lighter side of English life		1913
Crumpe	B1816	{4700855}		{'uiuo.ark+=13960=t0dv1w173', 'uiuo.ark+=13960=t5j96gx5t', 'uiuo.ark+=13960=t9j393d7p'}	{'Ireland', '1558-1603', 'History'}	Geraldine of Desmond or Ireland in the reign of Elizabeth		1829
Henty G A George Alfred	B3596	{3179921}	{'Juvenile audience', 'Novel'}	{'mdp.39015073478763'}	{'Criminal investigation', 'Juvenlie fiction', 'London', 'England'}	Colonel Thorndykes secret		1898
Morley Charles Robert	B5750	{8975618}		{'uc2.ark+=13960=t58c9sv12'}	{'Education', 'England'}	Studies in Board schools		1897
Roby John	B7085	{8304846}		{'uc2.ark+=13960=t4mk6jn2q'}	{'Lancashire', 'England', 'English literature', 'Legends', 'Social life and customs', 'Folklore'}	Traditions of Lancashire		1829
James Henry	B4440	{3159245}	"{""Publishers' cloth bindings (Binding)"", 'Psychological fiction', ""Booksellers' labels (Provenance)"", 'England', 'Autographs (Provenance)', 'Bookplates (Provenance)'}"	{'uva.x001863446', 'nyp.33433081852612', 'uc1.b4698027'}		The lesson of the master		1892
Forster E M Edward Morgan	B2667	{8922852}		{'mdp.39015003675116'}	{'Travel', 'Florence', 'Humorous stories', 'English', 'England', 'Young women', 'Italy', 'British'}	A room with a view		1923
Hornung E W Ernest William	B3931	{3159056, 6782468, 6782293, 8853390}	{'Mystery and detective fiction', 'Great Britain'}	{'uc2.ark+=13960=t6542qk5v'}	{'Raffles (Fictitious character)', 'Detective and mystery stories, English', 'Criminals', 'England', 'Adventure stories, English'}	The amateur cracksman		1899
Robinson Emma	B7151	{4961880, 5835003}		{'uiuo.ark+=13960=t2b85x75t', 'uiuo.ark+=13960=t17m0xn5j', 'uiuo.ark+=13960=t2z32g92m'}	{'Restoration, 1660-1688', 'Charles II, 1660-1685', 'History', 'Great Britain'}	Whitefriars or The days of Charles the Second		1844
Wells H G Herbert George	B8475	{2435344, 8978906, 6880506}		{'inu.32000002888990'}	{'Upper class', 'England'}	The wife of Sir Isaac Harman		1914
Hyde Stacey W	B3526	{3198859}		{'mdp.39015024864137'}	{'Working class', 'Great Britain'}	Shopmates		1924
Phillips George S George Searle	B6557	{9460366}		{'nyp.33433075766679'}	{'Romanies', 'England'}	The gypsies of the Danes dike A story of hedgeside life in England in the year 1855		1864
Lover Samuel	B5049	{8888517}		{'wu.89090379819'}	{'Croker, Thomas Crofton', 'Ireland', 'Folklore', 'Short stories, Irish', 'Legends', '1798-1854', 'Folk-lore, Irish'}	Legends and stories of Ireland  Second series		1837
Collins Wilkie	B1466	{8469993}	{'Romantic suspense novels', 'Mystery and detective fiction', 'Bibliographies', 'Great Britain'}	{'uiuo.ark+=13960=t0zp4bq6b', 'njp.32101068581576', 'uiuo.ark+=13960=t5bc48x1g'}	{'Country homes', 'Psychiatric hospital patients', 'Art teachers', 'Nobility', '19th century', '823C69W1860', 'Deception', 'English fiction', 'Social life and customs', 'Inheritance and succession'}	The woman in white		1860
Croker Thomas Crofton	B1329	{5152094}		{'hvd.32044014453831'}	{'Ireland', 'Scotland', 'Legends', 'Mabinogion', 'Folklore'}	Fairy legends and traditions of the South of Ireland		1826
Glascock W N William Nugent	B3088	{6140732}		{'nyp.33433008489217'}	{'Great Britain', 'History', 'Royal Navy'}	Naval sketchbook or The service afloat and ashore with characteristic reminiscences fragments and opinions		1834
Hallifax Sydney	B3777	{6794765}		{'uc1.$b281031'}	{'Lodging-houses', 'Great Britain'}	Annals of a doss house		1900
Devereux W A	B2323	{6695244}		{'uc2.ark+=13960=t21c1wx6k'}	{'Raleigh, Walter', 'Great Britain', 'History', '1552?-1618', 'Elizabeth, 1558-1603'}	Sir Walter Ralegh		1909
Gleig G R George Robert	B3055	{8887008, 4699753}		{'njp.32101062190820'}	{'Chelsea Hospital (London, England)', 'Hospitals', 'London', 'England'}	Chelsea Hospital and its tradi		1838
Herbert A P Sir Alan Patrick	B3829	{2495225}		{'uc1.b3872967'}	{'Great Britain', 'Divorce'}	Holy deadlock		1934
Hughes Thomas	B3511	{2923814}	{'Juvenile works', 'Juvenile audience', 'Novel'}	{'mdp.39015008191382'}	"{'Schoolboys', 'England', '19th century', 'Endowed public schools (Great Britain)', 'Juvenile fiction', ""Children's stories, English"", 'Rugby School'}"	Tom Browns school days		1868
BaringGould S Sabine	B887	{6662468}		{'uc2.ark+=13960=t2r49tx9b'}	{'Yorkshire', 'Legends', 'England'}	Yorkshire oddities incidents and strange events		1877
Synge J M John Millington	B7450	{6711828}		{'nyp.33433067297477'}	{'Travel', 'Description and travel', '(John Millington)', 'Aran Islands (Ireland)', '1871-1909', 'Ireland', 'Synge, J. M', 'IsBiographical', 'Aran Islands'}	The Aran Islands		1909
Hall Alice Marples	B3997	{3181381}		{'wu.89094592698'}	{'Fairy tales', 'England'}	The one strand river and other fairy tales		1903
Skene Felicia	B7304	{4858218, 4373155}		{'dul1.ark+=13960=t5x64812v'}	{'Oxford (England)', 'American fiction', 'Prisons', 'England', 'Provenance', 'Prostitutes', 'Benson, C. S'}	Hidden depths		1866
Shipp John	B7422	{4698784}		{'njp.32101001373404'}	{'Army', 'Great Britain', 'Military life'}	The military bijou or The contents of a soldiers knapsack being the gleanings of thirtythree years active service		1831
Carleton William	B1853	{5249612}		{'uiuo.ark+=13960=t6446cc2s', 'uiuo.ark+=13960=t96694r3k'}	{'Peasants', '823C19TR1834A', 'Irish fiction', 'Peasantry', 'X823C19TR', 'Ireland'}	Traits and stories of the Irish peasantry		1830
BaringGould S Sabine	B1078	{3170769}		{'wu.89094592631'}	{'Fairy tales', 'England'}	Old English fairy tales		1906
Maugham W Somerset William Somerset	B5880	{3211531}		{'yul.11854183_000_00'}	{'Foreign countries', 'British'}	The mixture as before		1940
Evans Margiad	B2619	{3230703}	{'Bibliographies'}	{'umn.319510020793826'}	{'Herefordshire', 'Social life and customs', 'England', 'Country life'}	The old and the young		1948
Grahame Kenneth	B3051	{3158960}		{'njp.32101015567132'}	{'George', 'Dragons', 'Saint', 'Children', 'Brothers and sisters', 'England', 'Country life', '-303', 'Juvenile fiction'}	Dream days		1898
Dickens Charles	B2108	{8526331}	{'Bibliographies', 'Bildungsromane'}	{'uc1.32106011757181', 'mdp.39015014667003'}	{'Revenge', 'Orphans', 'Social conditions', 'Young men', 'Revolution, 1789-1799', 'Man-woman relationships', '19th century', 'England', 'Ex-convicts', 'Social life and customs', 'Benefactors', 'History'}	Great expectations		1850
Yonge Charlotte M Charlotte Mary	B9015	{8627394}		{'nyp.33433075860902'}	{'Domestic fiction', 'Cousins', 'England', '19th century', 'Upper class', 'History'}	Dynevor Terrace or The clue of life		1857
Mason A E W Alfred Edward Woodley	B5442	{8933818}	{'Mystery and detective fiction', 'Great Britain'}	{'nyp.33433074893342'}	{'Hanaud, Inspector (Fictitious character)'}	At the Villa Rose		1910
Broughton Rhoda	B511	{8671280}		{'njp.32101067630796', 'njp.32101067630812', 'njp.32101067630804'}	{'Women', 'England', 'Man-woman relationships'}	Not wisely but too well  a nov		1867
Stephen Harry Lushington Sir	B7713	{8977755}		{'uc2.ark+=13960=t6k070r7m'}	{'Great Britain', 'Trials'}	State trials political and social		1899
Mackenzie Donald A Donald Alexander	B5251	{3204548}		{'mdp.39015007010823'}	{'Scotland', 'Legends', 'Folklore'}	Wonder tales from Scottish myth  legend		1917
Chesterton G K Gilbert Keith	B1344	{8907261}		{'inu.32000009291495'}	{'London', '(OCoLC)fst00999953', '(OCoLC)fst01319287', 'Notting Hill', 'Literature', '(OCoLC)fst01893847', 'Future, The', 'Future, The, in literature'}	The Napoleon of Notting Hill		1904
Herkomer Hubert von Sir	B4001	{3289630}	{'Autobiography'}	{'yale.39002088672598'}	{'Biography', 'Artists', '1849-1914', 'England', 'Herkomer, Hubert von'}	The Herkomers		1910
Shanks Edward	B7303	{3212884, 2451430}		{'dul1.ark+=13960=t5db8qq9t'}	{'Social life and customs', 'Time travel', 'Great Britain'}	The people of the ruins		1920
Reynolds Stephen Sydney	B6968	{6864294}		{'nyp.33433009064266'}	{'Fisheries', 'Great Britain'}	Alongshore where man and the sea face one another		1910
Barlow Jane	B810	{8810960, 3170192, 8941391}		{'uc1.b3579189'}	{'Ireland', 'Tales'}	Irish ways		1909
Scott John Reed	B7724	{8921202, 6817467}		{'uc2.ark+=13960=t73t9g924'}	{'Great Britain', 'House of York, 1461-1485', 'History'}	Beatrix of Clare		1907
Melly George	B5384	{8604588, 5892717}		{'nyp.33433067405641'}	{'Education, Secondary', 'Great Britain'}	School experience of a fag at a private and public school		1854
Stedman Douglas C	B7586	{6706047}	{'Juvenile audience'}	{'uc1.31158003962957'}	{'fl. 1071', 'Norman period, 1066-1154', 'England', 'Hereward', 'History', 'Folklore'}	The story of Hereward the champion of England		1909
Trollope Anthony	B8169	{8519142}		{'uc1.b4104233'}	{'19th century', 'Australia', 'Social life and customs', 'Frontier and pioneer life', 'History', 'British'}	Harry Heathcote of Gangoil A tale of Australian bush life		1874
MacGill Patrick	B5231	{2435699, 9112390}	{'Historical fiction'}	{'inu.39000000391446', 'nyp.33433074875596'}	{'Boardinghouses', 'Glasgow', 'Women immigrants', 'Scotland', 'Prostitutes', 'Irish', 'Poor women'}	The ratpit		1915
Trollope Anthony	B8066	{5010746, 8444373, 8629910}	{'Bibliographies'}	{'njp.32101013826951', 'njp.32101017731553'}	{'Barchester (England : Imaginary place)', 'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	Barchester towers		1859
Dickens Charles	B2163	{8448312}	{'ContainsBiogMaterial', 'History', 'Historical fiction'}	{'mdp.49015002596832', 'uc1.b3549878'}	{'French fiction', 'Executions and executioners', 'London', 'Revolution, 1789-1799', 'Dickens, Charles', 'England', 'French', '1812-1870', 'Lookalikes', 'Fathers and daughters', 'History'}	A tale of two cities		1863
Bottrell William	B538	{6662006}		{'nnc1.1000341738'}	{'Cornwall (County)', '(OCoLC)fst01330745', '(OCoLC)fst00995592', 'Legends', 'England'}	Traditions and hearthside stories of West Cornwall		1873
Stoker Bram	B7493	{6806181}	{'Code and cipher stories', 'Adventure stories'}	{'nyp.33433075753065'}	{'Prophecies', 'Scotland', 'Visions', 'Omens', 'Ghosts'}	The mystery of the sea  a novel		1902
Grahame Kenneth	B3294	{3176117}	{'Juvenile audience', 'Novel'}	{'uc2.ark+=13960=t9183968r'}	{'Adventure stories', 'Princesses', 'Conduct of life', 'Children', 'Brothers and sisters', 'England', 'Country life', 'Juvenile fiction', 'Uncles', 'Olympics', 'Burglars'}	The golden age		1895
Merrick Leonard	B5664	{3192787}		{'uc2.ark+=13960=t0bv7hw20'}	{'Moral and ethical aspects', 'London', 'Capitalists and financiers', 'United States', 'England', 'Wealth', 'Marriage', 'Painters', 'Family'}	The house of Lynch		1907
Campbell J F John Francis	B1655	{4350456, 4357873, 5022618, 8536659, 9445873}		{'uc1.$b296662'}	{'Translations into English', 'Highlands', 'Scottish Gaelic literature', 'Scotland', 'English literature', 'Translations from Gaelic', 'Tales, Gaelic', 'Folklore'}	Popular tales of the west High		1860
Lawrence D H David Herbert	B4767	{2434491, 6850788}	{'Autobiographical fiction', 'Bibliographies', 'Bildungsromans', 'Domestic fiction'}	{'mdp.49015001344473'}	{'Domestic fiction', 'Young men', 'Mothers and sons', 'England', 'Coal mines and mining', 'Families', 'Working class families'}	Sons and lovers		1922
Miller Hugh	B5804	{8685544}		{'uc2.ark+=13960=t9474m472'}	{'Poets', '1759-1796', 'In literature', '1722-1800', 'Forsyth, William', '1722-1800. [from old catalog]', '1750-1774', 'Fergusson, Robert', 'Burns, Robert', 'Scotland'}	Tales and sketches		1856
Mundy Talbot	B5256	{3210732}	{'War stories', 'History', 'Historical fiction', 'Love stories'}	{'mdp.39015009020440'}	{'Sepoy Rebellion, 1857-1858', 'India', 'History', 'British'}	Kingof the Khyber rifles a romance of adventure		1916
Eliot George	B2597	{8592699, 6672445}	{'NotBiographical', 'Bibliographies', 'Novel', 'Autobiography', 'Jewish fiction', 'Didactic fiction'}	{'uc1.b4105109', 'uc1.b4105110'}	{'Jews', '1819-1880', 'England', '19th century', 'Marriage', 'Upper class', 'English literature', 'Social life and customs', 'Zionists', 'Eliot, George'}	Daniel Deronda		1876
Marshall Beatrice	B5801	{3210257}		{'uc2.ark+=13960=t8rb6z48s'}	{'Civil War, 1642-1649', 'Great Britain', 'History'}	An old London nosegay		1903
Forster E M Edward Morgan	B2715	{9041864, 3186282}	{'NotBiographical'}	{'njp.32101066384825'}	{'Teachers', 'Marriage', 'England'}	The longest journey		1907
Wratislaw Albert Henry	B8739	{6731465}	{'Folklore'}	{'uc2.ark+=13960=t09w0ct58'}	{'Europe, Eastern', 'Translations into English', 'Slavs', 'Tales, Slavic', '(OCoLC)fst01120771', 'England', 'Slavic countries', 'Tales', 'Translations from Slavic', 'Folklore', '(OCoLC)fst01142246', '(OCoLC)fst01245079'}	Sixty folktales from exclusively Slavonic sources		1889
Crockett S R Samuel Rutherford	B1782	{3167331}		{'uc2.ark+=13960=t7br8vh9v'}	{'English fiction', 'Covenanters', '17th century', 'History', 'Scotland'}	The men of the Moss Hags		1895
Webb Mary Gladys Meredith	B8731	{2446764, 3239925}		{'uc1.b4082853'}	{'Young women', 'England', 'Man-woman relationships', 'Love stories, English'}	Seven for a secret		1927
Grand Sarah	B3082	{8818706}		{'njp.32101075981504'}	{'Women', 'England'}	The heavenly twins		1893
Nicholson Asenath	B6107	{4989938}		{'nyp.33433069336737'}	{'Ireland', 'Description and travel', 'Poor'}	Irelands welcome to the stranger or An excursion through Ireland in 1844  1845 for the purpose of personally investigating the condition of the poor		1847
Collins Wilkie	B1947	{8691054}	{'Mystery and detective fiction', 'Great Britain'}	{'wu.89099775009'}		Poor Miss Finch A novel With i		1872
Loudon	B4955	{5820447}		{'uc2.ark+=13960=t4bn9zc2f'}	{'Description and travel', 'Isle of Wight (England)', 'Juvenile literature', 'England', 'Isle of Wight', 'Natural history'}	Glimpses of nature and objects of interest described during a visit to the Isle of Wight		1848
Jacques E T	B4354	{6793254}		{'uc2.ark+=13960=t2j67c98g'}	{'Annecdotes', 'Law', 'Great Britain'}	A legal practitioner		1907
