author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Mansfield Katherine	B6022	{2446208}		{'mdp.39015004990050'}		The doves nest and other stori	1923
Stockton Frank R Frank Richard	B7677	{6778208}		{'uc2.ark+=13960=t3ws8jp07'}		The associate hermits	1900
Merrick Gordon	B5956	{9414322}		{'uc1.32106015457903'}		The good life	1997
Loti Pierre	B4858	{3169782}		{'nyp.33433075799647'}		A phantom from the east	1892
Glass Montague	B3031	{3204193}		{'mdp.39015063550225'}		Yunderstand	1925
Gissing Algernon	B3317	{8806599}		{'uiuo.ark+=13960=t7zk5qn87', 'uiuo.ark+=13960=t6n01ht2n', 'uiuo.ark+=13960=t3126849b'}		Between two opinions	1893
White William Hale	B8904	{8593216, 4692871, 3166820, 6837047}	{'Autobiography'}	{'uc2.ark+=13960=t01z4dx7q'}		The autobiography of Mark Ruth	1889
Roberts Margaret	B7186	{4383801, 8671943}		{'uva.x030809538'}		On the edge of the storm	1869
Hewlett J Joseph	B3606	{4968743}		{'njp.32101063581167'}	{'Civil War, 1642-1649', 'History'}	Dunster Castle  an historical romance of the Great Rebellion	1846
Steel Flora Annie Webster	B7604	{6795913, 9230974, 6796231}		{'uc1.b3326422'}		The hosts of the Lord	1900
Castle Agnes	B1950	{8854972, 3421287}		{'uc2.ark+=13960=t4bp01948'}		The pride of Jennico	1899
Dostoyevsky Fyodor	B2109	{9096269}		{'mdp.39015015389896', 'uc1.b3311321'}	{'Exiles'}	The house of the dead	1881
Sherwood Margaret Pollock	B7610	{8986858}		{'uc1.b3327423'}		Henry Worthington idealist	1899
Masagbor Richard	B5988	{3226115}		{'inu.30000036905887'}		The lore of the fathers	1991
Williamson C N Charles Norris	B8977	{9298534}		{'nyp.33433075768691'}		The chaperon	1912
Harte Bret	B3840	{3164158}		{'uc2.ark+=13960=t02z13c2k'}		Sally Dows	1893
Creighton Basil	B1387	{3190141}		{'mdp.39015059395148'}		The history of an attraction	1917
Roscoe Thomas	B7286	{5175032}		{'mdp.39015066645402'}		Tales of humour gallantry  rom	1824
White Fred M Fred Merrick	B8651	{8912307}		{'nyp.33433076046816'}		The corner house	1906
Roberts Nora	B7240	{2437807}		{'pst.000057995953'}		Time and again	2006
Derleth August William	B2465	{6692458}		{'uc1.$b87304'}		The shadow in the glass	1963
Crockett S R Samuel Rutherford	B1783	{3171531}		{'uc2.ark+=13960=t7dr2ts20'}		Strong Mac	1904
London Jack	B5066	{3278203, 9012838}	{'Bibliographies'}	{'mdp.39015005383511'}		The call of the wild White fan	1916
Wright S Fowler Sydney Fowler	B8689	{3227154}		{'uc1.$b312871'}		The island of Captain Sparrow	1928
Freeman Mary Eleanor Wilkins Mrs	B2799	{8988464, 3168555}		{'nyp.33433076090962'}		The hearts highway	1900
Hamilton Elizabeth	B3971	{2662672}		{'uva.x000099740', 'uiuo.ark+=13960=t0ks7d013', 'uiuo.ark+=13960=t7cr6hq4j'}		Memoirs of modern philosophers	1800
Hewlett Maurice Henry	B3967	{3189650, 2442907}		{'uc2.ark+=13960=t9t150q68'}		Mainwaring	1920
Evans Florence Wilkinson Mrs	B2608	{6765618, 3193836}		{'uc2.ark+=13960=t9b56g26z'}		The strength of the hills	1901
Diver Maud	B2138	{3219467}		{'mdp.39015063512068'}		A wild bird	1929
Sedgwick Catharine Maria	B7529	{4699031}	{'Bibliographies'}	{'nyp.33433076029788', 'nyp.33433076029796'}	{'Revolution, 1775-1783', 'Domestic fiction', 'History', 'American loyalists'}	The Linwoods  or Sixty years since in America	1835
Portis Charles	B6761	{8968809, 3180690}		{'mdp.39015002708504'}		The dog of the South	1979
Holland Rupert Sargent	B3737	{6810057}		{'nyp.33433076064629'}		The Count at Harvard  being an account of the adventures of a young gentleman of fashion at Harvard University	1906
De Leon Edwin	B2340	{8594145}		{'uc2.ark+=13960=t4jm2506s'}		Askaros Kassis the Copt	1870
Ellroy James	B2652	{8542196}		{'uc1.32106011190763'}		LA confidential	1990
Townshend R B	B8174	{6811338, 6758186, 3169053}		{'uc2.ark+=13960=t0vq2tv72'}		Lone pine	1900
Andreyev Leonid	B23	{2479943}		{'mdp.39015028383282'}		Sashka Jigouleff	1919
Neele Henry	B6211	{3159245}		{'hvd.hwkzza'}		The tales of the late Henry Ne	1828
Wood Ellen	B8940	{8665899}		{'njp.32101068574217'}		A lifes secret  a story	1887
Grand Sarah	B2963	{3176382}		{'coo.31924013620020'}		Our manifold nature	1894
Kipling Rudyard	B4547	{3191778, 6625339, 3168748, 8945669}	{'English fiction'}	{'nyp.33433074866611'}		Many inventions	1893
Meynell Viola	B5362	{3196616}	{'Biography', 'Bibliographies'}	{'njp.32101066384817'}	{'Eliot, George', '1819-1880'}	George Eliot	1913
Marryat Frederick	B5423	{8874349, 8598430}		{'nyp.33433074880950'}	{'English fiction'}	Snarleyyow or The dog fiend	1837
Grant James	B3139	{8663398}		{'nyp.33433074866173'}	{'Sepoy Rebellion, 1857-1858', 'History'}	First love and last love a tale of the Indian mutiny	1869
Black William	B516	{8793949}		{'njp.32101067707156'}		The Monarch of Mincing Lane	1883
Norris Frank	B6197	{6799889, 3151140}		{'mdp.39015033860233'}		A mans woman Yvernelle	1902
Alexander Mrs	B69	{6792743, 6816486, 8886023}		{'nyp.33433074853072'}		The yellow fiend	1902
Dilemmas	B2377	{5222360, 8891531, 6135469}		{'uiuo.ark+=13960=t0tq6hb0f', 'uiuo.ark+=13960=t17m0w16j', 'uiuo.ark+=13960=t9183wn8m'}		Dilemmas of pride	1833
Stokes Maive S H	B7318	{8618389}		{'inu.39000005855767'}	{'India', 'Fairy tales', 'Folklore'}	Indian fairy tales	1879
Burgess Thornton W Thornton Waldo	B1117	{6747740, 3180749}	{'Juvenile audience'}	{'nyp.33433064202801'}		The adventures of old Mr Toad	1916
Lyttelton Edith Sophy Balfour	B4812	{3172492, 8842167}		{'nyp.33433074875414'}	{'English fiction'}	The touch of sorrow a study	1896
Dawson A J Alec John	B2213	{9244733}		{'nyp.33433074951256'}		Hidden manna	1902
Lymburner A L	B4786	{8631031}		{'nyp.33433022846657', 'nyp.33433022846665', 'nyp.33433022846673'}	{'Mohawk Indians'}	The Mohawk chief	1857
Howells William Dean	B4104	{9069208, 6799347}		{'uc2.ark+=13960=t0xp77m72'}		The register	1883
Norris W E William Edward	B6178	{3166837}		{'uiuo.ark+=13960=t94751g10', 'uiuo.ark+=13960=t6155765c'}		Billy Bellew	1895
Palgrave Francis Turner	B6815	{8510037}	{'Juvenile audience'}	{'uc1.b4104032'}		The five days entertainments a	1868
Cobb Irvin S Irvin Shrewsbury	B2047	{3201042}		{'nyp.33433043979859'}		The escape of MrTrimm  his pli	1913
