author	latestcomp	shorttitle
Trowbridge, J. T. (John Townsend)	1916.0	Coupon bonds : a play in four acts ... and other stories
Bourget, Paul	1935.0	A woman's heart
Howells, William Dean	1920.0	Indian summer. Introd. and notes to the text by Scott Bennett.  Text established by Scott Bennett and David J. Nordloh
Howells, William Dean	1920.0	The Kentons. Introd. and notes to the text by George C. Carrington, Jr. Text established by George C. Carrington, Jr., and Ronald Gottesman
Riddell, J. H., Mrs	1906.0	The ruling passion : novel
Riddell, J. H., Mrs	1906.0	The world in the church
France, Anatole	1924.0	The garden of Epicurus
France, Anatole	1924.0	T
France, Anatole	1924.0	The authorized English translations of the novels and short stories of Anatole France
Lynd, Sylvia	1952.0	The chorus : a tale of love and folly
Compton-Rickett, J. (Joseph)	1919.0	The quickening of Caliban: a modern story of evolution
Foster-Melliar, Andrew	1904.0	Blindstone
Everett-Green, Evelyn	1932.0	The city of the Golden Gate
Marchant, Bessie	1941.0	The secret of the Everglades
Sinnett, A. P. (Alfred Percy)	1921.0	Karma, a novel
Rhodes, Kathlyn	1962.0	The will of Allah
Stockley, Cynthia	1936.0	Virginia of the Rhodesians
Holmes, Mary Jane	1907.0	The rector of St. Mark's
Ouida	1908.0	Strathmore : a romance
Ouida	1908.0	Strathmore : a romance
Ouida	1908.0	Strathmore : a romance
Jókai, Mór	1904.0	Dr. Dumány's wife
Merritt, Abraham	1943.0	The ship of Ishtar
Rinehart, Mary Roberts	1958.0	The romantics
Voynich, E. L. (Ethel Lillian)	1960.0	The humour of Russia;
O'Reilly, Bernard	1975.0	Wild river
Byrne, Donn	1928.0	An untitled story
Fenn, George Manville	1909.0	The dingo boys : or, The squatters of Wallaby Range
Housman, Laurence	1959.0	Uncle Tomm Pudd
Oppenheim, E. Phillips (Edward Phillips)	1946.0	Mysterious Mr. Sabin; or, Love and intrigue
Kipling, Rudyard	1936.0	Tales of Rudyard Kipling
Maurois, André	1967.0	The French boy
Boothby, Guy	1905.0	Love made manifest
Jasimuddin	1976.0	Folk tales of Bangladesh
Panova, Vera Fedorovna	1973.0	Selected works
Smith, E. E. (Edward Elmer)	1965.0	Triplanetary : a tale of cosmic adventure
Burroughs, Edgar Rice	1950.0	Carson of Venus
Grey, Zane	1939.0	Roping lions in the Grand canyon
Aiken, Conrad	1973.0	Costumes
Scott, Mary	1979.0	Strictly speaking
Estaunié, Édouard	1942.0	The call of the road
Blixen, Karen	1962.0	Seven Gothic tales
Ellis, Robinson	1913.0	The tenth declamation (pseudo) Quintilian; a lecture delivered in the hall of Corpus Christi college on Thursday, May 11, 1911
Le Queux, William	1927.0	The white glove
Verne, Jules	1905.0	The master of the world : a tale of mystery and marvel
Reynolds, Baillie, Mrs	1939.0	"""Thalassa!"""
Allen, Caroline Stetson	1937.0	Little old-time Sunday, and other stories
Abdullah, Achmed	1945.0	The ten-foot chain; or, Can love survive the shackles? a unique symposium
Tynan, Katharine	1931.0	A shameful inheritance
Cambridge, Ada	1926.0	Materfamilias
Caine, Hall, Sir	1931.0	She's all the world to me
Ashby-Sterry, J. (Joseph)	1917.0	Nutshell novels
Bindloss, Harold	1945.0	Hawtrey's deputy
Gull, Cyril Arthur Edward Ranger	1923.0	The race before us
Magnay, William, Sir, 2d bart	1917.0	A poached peerage
Stretton, Hesba	1911.0	Alone in London
Puddicombe, Anne Adaliza Evans	1908.0	A Welsh singer : a novel
Puddicombe, Anne Adaliza Evans	1908.0	Where billows roll : a tale of the Welsh coast
Ford, Sallie Rochester	1910.0	Evangel Wiseman, or, The mother's question
Vinton, Arthur Dudley	1906.0	The unpardonable sin
Bindloss, Harold	1945.0	The impostor
Tynan, Katharine	1931.0	Lover's meetings
Nin, Anaïs	1977.0	Winter of artifice;
Deeping, Warwick	1950.0	The golden cord
Franko, Ivan	1916.0	Boa constrictor, and other stories
Stratemeyer, Edward	1900.0	The campaign of the jungle;
Bacheller, Irving Addison	1900.0	Eben Holden;
Harris, Frank	1900.0	Montes the matador, and other stories
Jacobs, W. W. (William Wymark)	1900.0	A master of craft
Tarkington, Booth	1900.0	Monsieur Beaucaire
Stockton, Frank Richard	1900.0	The young master of Hyson Hall
Stockton, Frank Richard	1900.0	Afield and afloat
Ibsen, Henrik	1900.0	When we dead awaken : a dramatic epilogue in three acts
Phillpotts, Eden	1900.0	Sons of the morning
Phillpotts, Eden	1900.0	Sons of the morning
Read, Opie Percival	1900.0	In the Alamo
Le Gallienne, Richard	1900.0	The worshipper of the image
Flynt, Josiah	1900.0	The powers that prey
Von Arnim, Elizabeth	1900.0	The solitary summer
Richards, Alice Lewis	1900.0	Winks; a book of recitations for boys
Doyle, Arthur Conan, Sir	1900.0	Beyond the city
Doyle, Arthur Conan, Sir	1900.0	The sign of the four and other stories
Richards, Laura Elizabeth Howe	1900.0	Rita
	1900.0	Official guides
Anstey, F	1900.0	The brass bottle
Harland, Henry	1900.0	The cardinal's snuff-box
MacDonald, Flora	1900.0	Mary Melville, the psychic
Matthews, Brander	1900.0	The action and the word : a novel of New York
Duncan, Norman	1900.0	The soul of the street; correlated stories of the New York Syrian quarter
Merrick, Leonard	1900.0	The worldlings
Loomis, Charles Battell	1900.0	Yankee enchantments
Lloyd, John Uri	1900.0	Stringtown on the pike; a tale of northernmost Kentucky
Baring-Gould, S. (Sabine)	1900.0	In a quiet village
Barr, Robert	1900.0	The countess Tekla
Becke, Louis	1900.0	Edward Barry
Castle, Agnes	1900.0	The Bath comedy; a novel
Davis, William Stearns	1900.0	A friend of Caesar : a tale of the fall of the Roman republic, time, 50-47 B. C
Crockett, S. R. (Samuel Rutherford)	1900.0	The Stickit minister's wooing, & other Galloway stories
Crockett, S. R. (Samuel Rutherford)	1900.0	Joan of the Sword Hand
Wells, Carolyn	1900.0	Idle idyls
Roberts, Charles George Douglas, Sir	1900.0	The heart of the ancient wood
Weyman, Stanley John	1900.0	A gentleman of France; being the memoirs of Gaston de Bonne, Sieur de Marsac
Weyman, Stanley John	1900.0	Sophia;
Foulke, William Dudley	1900.0	Maya; a story of Yucatan
Adachi, Kinnosuk??	1900.0	Iroka
Ford, Paul Leicester	1900.0	Wanted--a match maker
Fox, John	1900.0	Hell fer Sartain and other stories
Crane, Stephen	1900.0	Wounds in the rain
Barrie, J. M. (James Matthew)	1900.0	Tommy and Grizel
Fuller, Henry Blake	1900.0	The last refuge; a Sicilian romance
Garland, Hamlin	1900.0	Her mountain lover
Holdsworth, Annie E	1900.0	The valley of the great shadow
Herrick, Robert	1900.0	The web of life
Hornung, E. W. (Ernest William)	1900.0	Peccavi
Hornung, E. W. (Ernest William)	1900.0	The boss of Taroomba
Hollingshead, John	1900.0	According to my lights
Belloc, Hilaire	1900.0	Lambkin's remains
Holbrook, Richard Thayer	1900.0	Boys and men;
Malet, Lucas	1900.0	The gateless barrier
James, Henry	1900.0	The soft side
Try-Davies, J	1900.0	A semi-detached house, and other stories
Connor, Ralph	1900.0	Black Rock; a tale of the Selkirks
Otis, James	1900.0	Aunt Hannah and Seth
Jerome, Jerome K. (Jerome Klapka)	1900.0	Three men on wheels
Kipling, Rudyard	1900.0	The city of dreadful night and other sketches
Pomeroy, Helen	1900.0	The new Swiss family Robinson; or, Our unknown inheritance
Rogers, Sara B. (Sara Bulkley)	1900.0	Ezra Hardman, M.A., of Wayback College, and other stories
Wister, Owen	1900.0	The Jimmyjohn boss, and other stories
Sichel, Edith Helen	1900.0	The household of the Lafayettes
	1900.0	Famous illustrations from Harper's magazine
Cable, George Washington	1900.0	Old Creole days, by George W. Cable. With an etching by Percy Moran
Wilson, Ellen M	1900.0	Sketches from life in Melanesia
Hobbes, John Oliver	1900.0	Robert Orange, being a continuation of the history of Robert Orange, M. P., and a sequel to The school for saints
London, Jack	1900.0	The dream of Debs
Bacon, Josephine Daskam	1900.0	Smith college stories
Roberts, Charles George Douglas, Sir	1900.0	By the marshes of Minas
Gordon, Samuel	1900.0	Sons of the convenant; a tale of London Jewry
Smith, Francis Hopkinson	1900.0	The other fellow
Twombly, Alexander S	1900.0	Kelea
Mallowan, M. E. L. (Max Edgar Lucien	1900.0	Fort Shalmaneser / commentary and catalogue by Georgina Herrmann -- fasc
	1900.0	The Best love stories of
Carter, Charles Frederick	1900.0	The wedding day in literature and art; a collection of the best descriptions of weddings from the works of the world's leading novelists and poets
Tolstoy, Leo, graf	1900.0	Resurrection. (The awakening.)
Mirbeau, Octave	1900.0	A chambermaid's diary
Ade, George	1900.0	More fables
Garland, Hamlin	1900.0	The eagle's heart
Howells, William Dean	1900.0	Bride roses;
Howells, William Dean	1900.0	The smoking car; a farce
Glasgow, Ellen Anderson Gholson	1900.0	The voice of the people
Clark, Felicia Buttz	1900.0	The cripple of Nuremberg
Henty, G. A. (George Alfred)	1900.0	In the Irish brigade : a tale of war in Flanders and Spain
Blyton, Enid	1900.0	The eleventh holiday book
Zangwill, Israel	1900.0	The mantle of Elijah : a novel
Chadwick, John White	1900.0	The immortal hope
Aksenov, Vasiliĭ	1900.0	Colleagues
Rodziewiczówna, Maria	1900.0	Anima vilis; a tale of the great Siberian steppe
Sienkiewicz, Henryk	1900.0	The irony of life;
Jókai, Mór	1900.0	Debts of honor
Swettenham, Frank Athelstane, Sir	1900.0	The real Malay;
Seton, Grace (Gallatin)	1900.0	A woman tenderfoot
Brady, Cyrus Townsend	1900.0	Recollections of a missionary in the great West
	1900.0	Persian literature
Allen, James Lane	1900.0	The reign of law
Dunbar, Paul Laurence	1900.0	The love of Landry
Crockett, S. R. (Samuel Rutherford)	1900.0	The Isle of the Winds; an adventurous romance
Shaw, Bernard	1900.0	Love among the artists
	1900.0	Miss Robinson Crusoe : the story of a desert isle
Weedon, L. L	1900.0	The pets' panorama
MacDonald, George	1900.0	The princess and the goblin
Golschmann, Léon	1900.0	Boy Crusoes : a story of the Siberian forest, adapted from the Russian [of Mme. Katchoulcoff]
Howells, William Dean	1900.0	An Indian giver
Winchester, James D	1900.0	Capt. J. D. Winchester's experience on a voyage from Lynn, Massachusetts, to San Francisco, Cal., and to the Alaskan gold fields
Miller, J. (Joaquin)	1900.0	True bear stories
	1900.0	Leaflet
Carus, Paul	1900.0	Eros and Psyche; a fairy tale of ancient Greece retold after Apuleius
Krymov, I︠U︡riĭ	1900.0	The tanker Derbent
Tolstoy, Leo, graf	1900.0	The awakening : (the resurrection)
	1900.0	Some specimens of the Roman, Oriental, and foreign types now in use in the offices of William Clowes & sons, limited
Malot, Hector	1900.0	Sans famille
Malraux, André	1900.0	Man's fate (La condition humaine)
Loti, Pierre	1900.0	Lives of two cats; from the French of Pierre Loti [pseud.] translation
Zola, Émile	1900.0	Fruitfulness <Fécondité>
Sienkiewicz, Henryk	1900.0	The knights of the cross. An historical romance
Sienkiewicz, Henryk	1900.0	In the new promised land; a novel
J?_kai, M?_r	1900.0	The day of wrath
Jacobs, Joseph	1900.0	English fairy tales
	1900.0	Tales of Tennalirama (the famous court jester of southern India)
Rouse, W. H. D. (William Henry Denham)	1900.0	The giant crab and other tales from old India
[Simonds, David Kendall]	1900.0	American wit and humor; a collection from various sources classified under appropriate subject-headings
[Simonds, David Kendall]	1900.0	American wit and humor; a collection from various sources classified under appropriate subject-headings
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Stories by English authors
	1900.0	Varsity stories gathered from the student publications at the University of Michigan, and now printed for the public
Sister. Katherine	1900.0	Towards the land of the rising sun : or Four years in Burma
Johnston, Annie F. (Annie Fellows)	1900.0	The little colonel's house party
Becke, Louis	1900.0	The adventures of Louis Blake
Reed, Myrtle	1900.0	Later love letters of a musician
Rosny, J.-H	1900.0	My Prison
Hilditsch, Jakob	1900.0	An Idyl
Hayes, J. Hurst	1900.0	The Medici Woman
Moberg, Nenne	1900.0	Disappointed
Sieroszewski, Waclaw	1900.0	A Sacrifice to the Gods
Meyer-Foerster, Elsbeth	1900.0	An Actress
Malagodi, Olindo	1900.0	The Old House
Tinseau, Leon de	1900.0	Calcatroni's Revenge
	1900.0	Fifty-Eight Years as a Child and Woman in South Africa
Hamsun, Knut	1900.0	Slaves of Love
Millay, Edna St. Vincent	1900.0	Fear
de Voragine, Jacobus	1900.0	The golden legend, or, Lives of the saints
Aĭtmatov, Chingiz	1900.0	Jamila
Whittier, Charles Albert	1900.0	In the Michigan lumber camps
Polevoĭ, Boris	1900.0	He came back
Harju, Irja	1900.0	Neebish Island memories, 1921-1927
	1900.0	County of Calaveras, California
Law, E. Norine	1900.0	Under the shadow of a curse
Champney, Elizabeth W. (Elizabeth Williams)	1900.0	Anneke : a little dame of New Netherlands
	1900.0	The adventures of Baron Munchausen
	1900.0	From Heinlein to here
Von Arnim, Elizabeth	1900.0	Elizabeth and her German garden; with twelve photogravure illustrations from photographs
Zola, Émile	1900.0	Germinal : or, Master and man
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
	1900.0	The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments
Philips, F. C. (Francis Charles)	1900.0	Little Mrs. Murray
Dix, Edwin Asa	1900.0	Deacon Bradbury
Peterson, Mildred	1900.0	Jonah's journey
Israëls, Jozef	1900.0	Spain : the story of a journey
	1900.0	Robinson Crusoe
Grant, Robert	1900.0	Unleavened bread : [a novel]
Vint, Hazel Lee	1900.0	Plenty and to spare
Henty, G. A. (George Alfred)	1900.0	Do your duty :
Henty, G. A. (George Alfred)	1900.0	No surrender!
Henty, G. A. (George Alfred)	1900.0	A roving commission, or, Through the black insurrection of Hayti
Henty, G. A. (George Alfred)	1900.0	Won by the sword : a tale of the Thirty Years' War
Grinnell, Elizabeth	1900.0	For the sake of a name : a story for our times
Paine, Albert Bigelow	1900.0	The bread line
Neukrantz, Klaus	1900.0	Barricades in Berlin
Gold, Michael	1900.0	The damned agitator ; Free! ; The coal breaker
Epley, Anna P	1900.0	A modern Herculaneum. Story of the New Richmond tornado
Flammarion, Camille	1900.0	L'inconnu. The unknown
Barr, Amelia Edith Huddleston	1900.0	Cecilia's lovers
Castle, Egerton	1900.0	Marshfield, the observer & The death-dance; studies of character & action
Dudeney, Alice	1900.0	Folly corner
Meade, L. T	1900.0	Light o' the morning
Barrow, Elizabeth N	1900.0	The fortune of war; being portions of many letters and journals written to and for her cousin Mistress Dorothea Engel ... by Katherine ... Patison, during ... the time of the struggle for the independence of the colonies, these writings have been condensed and arranged
Blanchard, Amy Ella	1900.0	Dimple Dallas : the further fortunes of a sweet little maid
Denison, Mary A. (Mary Andrews)	1900.0	The romance of a schoolboy
Dix, Gertrude	1900.0	The image breakers
Dorr, Louise Snow	1900.0	The mills of the gods
Davis, Edith (Smith)	1900.0	Two
Champney, Elizabeth W. (Elizabeth Williams)	1900.0	Anneke
Grinnell, George Bird	1900.0	Jack among the Indians; or, A boy's summer on the Buffalo plains
Stables, Gordon	1900.0	The island of gold : a sailor's yarn
Brown, Abbie Farwell	1900.0	The book of saints and friendly beasts
Waterloo, Stanley	1900.0	The seekers
Parker, Gilbert, Sir	1900.0	An unpardonable liar
Peck, George W. (George Wilbur)	1900.0	Sunbeams : humor, sarcasm and sense
Harben, Will N. (William Nathaniel)	1900.0	Northern Georgia sketches
Jefferson, Robert L. (Robert Louis)	1900.0	A new ride to Khiva
Jenks, Albert Ernest	1900.0	Childhood of Ji-shib́, the Ojibwa
	1900.0	The Life and adventures of Robin Hood and his merry men
MacDonald, George	1900.0	Cross purposes
Roberts, Morley	1900.0	Lord Linlithgow : a novel
Champney, Elizabeth W. (Elizabeth Williams)	1900.0	The romance of the feudal châteaus
Rodziewicz?_wna, Maria	1900.0	Anima vilis
Grismer, Joseph Rhode	1900.0	'Way down East
Munn, Charles Clark	1900.0	Uncle Terry; a story of the Maine Coast
Mott, Edward Harold	1900.0	The black Homer of Jimtown
Quiller-Couch, Arthur Thomas, Sir	1900.0	The world's heroes; a storehouse of heroic actions, golden deeds and stirring chronicles
Long, William J. (William Joseph)	1900.0	Wilderness ways;
Mabie, Hamilton Wright	1900.0	My study fire
Hume, Fergus	1900.0	Bishop Pendle; or, The bishop's secret
Edwards, Harry Stillwell	1900.0	Two runaways, and other stories;
Laut, Agnes C. (Agnes Christina)	1900.0	Lords of the North
Stockton, Frank R. (Frank Richard)	1900.0	The associate hermits
Stockton, Frank Richard	1900.0	A bicycle of Cathay; a novel
Thompson, Maurice	1900.0	A banker of Bankersville;
Braddon, M. E. (Mary Elizabeth)	1900.0	The infidel
Vance, Arthur Turner	1900.0	The real David Harum;
McManus, L	1900.0	In Sarsfield's days. A tale of the siege of Limerick
Marryat, Mrs. Frederick Townshend	1900.0	Mummer mystic plays
"Orpen, Adela Elizabeth Richards, ""Mrs. G. H. Orpen."""	1900.0	The jay-hawkers; a story of free soil and border ruffian days
Palacio Valdés, Armando	1900.0	The joy of Captain Ribot;
Glasgow, Ellen Anderson Gholson	1900.0	The descendant
Belloc, Hilaire	1900.0	The four men: a farrago
Wiggin, Kate Douglas Smith	1900.0	Penelope's experiences in Scotland;
Henty, G. A. (George Alfred)	1900.0	With Buller in Natal : or, A born leader
Lang, Andrew	1900.0	The adventures of Prince Prigio and of his son, Prince Ricardo
Van Zile, Edward Sims	1900.0	With sword and crucifix;
Bonner, Geraldine	1900.0	Hard-pan;
Parker, Clara	1900.0	An eventful night; a comedy of a western mining town
Bek, Aleksandr	1900.0	Volokolamsk Highway
	1900.0	The Arabian nights
Maugham, W. Somerset, (William Somerset)	1900.0	The round dozen
Osbourne, Lloyd	1900.0	The queen versus Billy, and other stories
Friedman, I. K. (Isaac Kahn)	1900.0	Poor people; a novel
Field, Charles K	1900.0	Stanford stories;
Knowles, Frederic Lawrence	1900.0	Cap and gown in prose;
Ouida	1900.0	The child of Urbino, and Moufflou
Cullen, Clarence Louis	1900.0	Tales of the ex-tanks;
Embree, Charles Fleming	1900.0	A dream of a throne;
Child, Frank Samuel	1900.0	Friend or foe;
Gallaher, Grace Margaret	1900.0	Vassar stories
Birmingham, George A	1900.0	The search party
Barr, Amelia Edith Huddleston	1900.0	"The maid of Maiden lane; a sequel to ""The bow of orange ribbon."""
Colton, Arthur Willis	1900.0	Bennie Ben Cree;
Davis, M. E. M. (Mollie Evelyn Moore)	1900.0	The queen's garden
Fraser, William Alexander	1900.0	Mooswa
Casey, Betty	1900.0	The wild white snow gum; collected verse
La Flesche, Francis	1900.0	The middle five
Hallifax, Sydney	1900.0	Annals of a doss house
Ollivant, Alfred	1900.0	Owd Bob : the grey dog of Kenmuir
Du Bois, Constance Goddard	1900.0	A soul in bronze
	1900.0	Sectional catalogue of special machinery for manufacturing military rifle stocks and accessories
Reeves, Ira L. (Ira Louis)	1900.0	Bamboo tales
Peake, Elmore Elliott	1900.0	The Darlingtons
Rizal, Jos??	1900.0	Friars and Filipinos;
Churchill, Winston, Sir	1900.0	Savrola;
How, Louis	1900.0	The penitentes of San Rafael
Martin, Chuck	1900.0	Tie-fast hombre
Edson, Milan C	1900.0	Solaris farm
	1900.0	Kruger's secret service, by one who was in it
	1900.0	Lights to literature
Gould, Elizabeth Lincoln	1900.0	"The ""Little men"" play;"
Stuart, Florence	1900.0	"""Punchinello."""
	1900.0	Colby stories
Gautier, Judith	1900.0	The daughter of heaven
Zola, Émile	1900.0	Fruitfulness
Castle, Agnes Sweetman	1900.0	The Bath comedy
	1900.0	Modern eloquence
	1900.0	Pamphlets on forestry. Fish and game
Abrams, Albert	1900.0	Scattered leaves from a physician's diary
Chiles, Rosa Pendleton	1900.0	Down among the Crackers
Calmerton, Gail	1900.0	A first reader
Calmerton, Gail	1900.0	A second reader
Calmerton, Gail	1900.0	A third reader
Demarest, Abraham Jay	1900.0	New education readers
McDonald, Etta Austin (Blaisdell), Mrs	1900.0	Child life in literature
Harrison, Elizabeth	1900.0	Two children of the foothills
Broughton, Rhoda	1900.0	Foes in law
Boldrewood, Rolf	1900.0	Babes in the bush
Britton, Alfred Dudley	1900.0	Stories & verse of Williams
Baskett, James Newton	1900.0	As the light led
Boothby, Guy Newell	1900.0	In strange company;
Martin, Edward Sandford	1900.0	Lucid intervals
Steevens, G. W. (George Warrington)	1900.0	Things seen;
	1900.0	A Century of humour
Crawford, F. Marion (Francis Marion)	1900.0	In the palace of the king; a love story of old Madrid
Tiel, C. van	1900.0	th century
Allen, James Lane	1900.0	The reign of law : a tale of the Kentucky hemp fields
Iliowizi, Henry	1900.0	The weird Orient; nine mystic tales
Rayner, Emma	1900.0	Visiting the sin; a tale of mountain life in Kentucky and Tennessee
Akum, Fomundam Peter	1900.0	The agony of early marriage
Balogun, Kolawole	1900.0	The crowning of the elephant [and other stories
Pansy	1900.0	Pauline
Mouton, Eugenie	1900.0	Josephine Joseph; Texas sketches
May, Sophie	1900.0	Little grandmother
Hadselle, Celia Antoinette Chapman	1900.0	Scraps: new and old
Finley, Martha	1900.0	Elsie's motherhood : a sequel to Elsie's womanhood
Fernald, Chester Bailey	1900.0	Chinatown stories
Post, Louis Freeland	1900.0	The open shop and the closed shop
Doyle, Arthur Conan, Sir	1900.0	The green flag, and other stories of war and sport
Doyle, Arthur Conan, Sir	1900.0	A study in scarlet : a novel
Grant, John Cameron	1900.0	The Ethiopian; a narrative of the society of human leopards
Oakley, G. R. (George Robert)	1900.0	In olden days : Lancashire legends : Rochdale and neighbourhood
Howells, William Dean	1900.0	Doorstep acquaintance, and other sketches
	1900.0	The little flowers of St. Francis of Assisi
Harte, Bret	1900.0	Mrs. Skaggs's husbands
Harland, Marion	1900.0	Dr. Dale; a story without a moral
Raymond, Emma Harmon	1900.0	A romance of New Meadows
Norris, Frank	1900.0	A man's woman
Haggard, H. Rider (Henry Rider)	1900.0	Black heart and white heart : and other stories
	1900.0	The Penguin book of French verse. With plain prose translations of each poem
	1900.0	Anecdotes. Indices
	1900.0	"The Pin in the Queen's shawl : sketched in Indian ink on ""Imperial Crown"" : from a conservative stand-point"
Erskine, Douglas	1900.0	A bit of Atlantis
Balzac, Honoré de	1900.0	Honor?? de Balzac in twenty-five volumes;
Balzac, Honoré de	1900.0	Honor?? de Balzac in twenty-five volumes;
Balzac, Honoré de	1900.0	Honor?? de Balzac in twenty-five volumes;
Balzac, Honoré de	1900.0	Honor?? de Balzac in twenty-five volumes;
	1900.0	World's great classics
	1900.0	Supplemental nights to the Book of the thousand nights and a night : with notes anthropological and explanatory
	1900.0	Supplemental nights to the Book of the thousand nights and a night : with notes anthropological and explanatory
	1900.0	Supplemental nights to the Book of the thousand nights and a night : with notes anthropological and explanatory
	1900.0	Supplemental nights to the Book of the thousand nights and a night : with notes anthropological and explanatory
	1900.0	Supplemental nights to the Book of the thousand nights and a night : with notes anthropological and explanatory
Du Bois, Patterson	1900.0	Beckonings from little hands; eight studies in child-life
Gerber, N	1900.0	The days of Abd-el-Kader : a tale of Algeria
Otis, James	1900.0	Silent Pete; or, The stowaways
France, Anatole	1900.0	The red lily
Anand, Mulk Raj	1900.0	Death of a hero : epitaph for Maqbool Sherwani
Barton, William Eleazar, 1861-1930	1900.0	Pine Knot; a story of Kentucky life
Bates, Arlo	1900.0	Love in a cloud; a comedy in filigree
Black, Alexander	1900.0	The girl and the guardsman
Fisher, Frederick Vining	1900.0	The transformation of Job, a tale of the high Sierras
Litchfield, Grace Denio	1900.0	The moving finger writes
Seawell, Molly Elliot	1900.0	The house of Egremont
Smith, Arthur Cosslett	1900.0	The monk and the dancer
Bell, Lilian Lida	1900.0	The expatriates;
Gilman, Bradley	1900.0	The parsonage porch; seven stories from a clergyman's note-book
Cunninghame Graham, R. B. (Robert Bontine)	1900.0	Thirteen stories
Lamey, Hiram Thomas	1900.0	Me̲moires of Nat. H. Jones, an insurance man
Lloyd, John Uri	1900.0	Stringtown on the pike;
Magruder, Julia	1900.0	A beautiful alien
McNeal, T. A. (Thomas Allen)	1900.0	Tom McNeal's fables
	1900.0	Soldiers' stories and sailors' yarns
Stevens, C. M	1900.0	Lucky Ten Bar of Paradise valley
Webster, Henry Kitchell	1900.0	The banker and the bear;
Balfour, Andrew, Sir	1900.0	Vengeance is mine
Barrett, Wilson	1900.0	In old New York;
Barry, William Francis	1900.0	Arden Massiter
Baylor, Frances Courtenay	1900.0	A Georgian bungalow
Banfield, Agnes Houghton	1900.0	Under blue skies and other stories
Banks, Charles Eugene	1900.0	A child of the sun
Bengough, Elisa Armstrong	1900.0	The very young man and the angel child
Besant, Walter, Sir	1900.0	The lady of Lynn
Bonsal, Stephen	1900.0	The golden horseshoe;
